Treatment,Store_cat,Site,Brix,TA,Firmness,DryMatter,K,Ca,Mg,P
su_poll,initial,Site1,12.0,13.45,3.2,18.7,1224,68.7,72.5,71.8
control,early,Site1,13.0,11.3,3.0,16.4,985,14.2,41.3,76.1
control,early,Site1,15.0,15.0,2.8,16.1,1081,25.4,51.3,68.9
control,final,Site1,11.5,7.0875,1.5,14.4,1190,34.1,59.2,88.4
control,initial,Site1,16.0,13.9,3.8,14.4,1126,28.9,60.9,73.0
extra,early,Site1,15.5,15.3825,2.75,17.6,1218,45.4,53.6,57.8
control,initial,Site1,15.0,17.85,3.6,16.2,1077,27.8,44.8,82.1
extra,early,Site1,15.5,17.4,4.05,20.2,1202,23.3,48.3,88.8
control,initial,Site1,15.0,18.95,3.9,19.4,1217,28.0,49.6,77.7
control,initial,Site1,15.0,21.55,3.5,18.2,1212,47.4,57.4,93.9
extra,early,Site1,11.5,11.97,2.5,10.8,1132,28.3,41.1,82.2
su_poll,initial,Site1,14.0,13.65,4.3,15.2,1334,30.0,57.6,71.7
control,early,Site1,16.0,13.2,3.9,20.3,1384,31.1,61.1,105.6
extra,early,Site1,16.0,13.9125,2.8,15.2,1405,22.8,58.0,108.2
extra,early,Site1,16.0,12.18,2.25,16.5,1263,20.0,52.8,90.2
extra,early,Site1,17.0,15.05,3.45,17.6,817,30.1,40.9,49.9
extra,final,Site1,15.0,13.545,1.9,17.4,1355,37.9,67.2,84.8
extra,final,Site1,13.0,11.97,1.75,14.6,1230,48.0,60.8,94.0
su_poll,early,Site1,15.0,15.3,3.65,18.4,1474,31.1,64.8,84.1
su_poll,late,Site1,15.0,8.5575,2.75,16.6,1622,33.1,70.7,93.1
su_poll,initial,Site1,15.0,16.1,4.4,17.1,1340,24.9,59.4,89.5
control,final,Site1,12.0,11.655,1.65,13.6,1326,64.2,69.6,89.1
control,final,Site1,14.0,9.45,1.8,17.6,1478,164.5,67.8,92.4
extra,late,Site1,15.0,9.1875,2.0,16.5,1348,22.8,53.6,114.7
su_poll,initial,Site1,15.0,16.85,4.1,18.9,1422,36.3,59.4,89.2
extra,early,Site1,14.0,12.285,2.05,13.2,1165,17.7,54.0,69.6
extra,final,Site1,14.0,9.9225,1.55,14.9,1168,20.3,51.8,100.4
extra,early,Site1,14.0,11.45,3.2,16.2,1148,46.3,56.7,105.2
control,early,Site1,14.5,11.6,4.15,18.1,1215,26.9,53.2,70.4
extra,late,Site1,13.5,9.66,1.65,14.8,1085,26.4,46.9,56.9
poll_ex,early,Site1,15.0,14.1225,2.0,17.2,1242,8.7,59.2,93.6
control,initial,Site1,16.0,24.05,3.6,14.3,1395,29.5,61.9,95.8
extra,early,Site1,14.0,15.8,2.95,16.6,1022,38.7,45.7,70.0
