Region,Water,Potassium,Iron,Calcium,Magnesium
Tunisia,55.12,332.17,2.71,31.9,37.71
Tunisia,43.31,267.02,2.53,50.54,35.04
Tunisia,39.33,170.12,2.36,30.51,24.99
Tunisia,25.12,500.28,3.89,69.27,56.31
Tunisia,29.27,298.63,3.27,63.4,48.29
Tunisia,27.11,519.71,2.66,72.23,64.88
Tunisia,29.0,287.9,3.16,45.54,31.43
Tunisia,15.19,386.15,4.25,57.62,51.6
Tunisia,27.78,356.25,2.84,80.37,46.49
Tunisia,32.37,289.54,3.7,43.34,34.65
Oman,18.5,624.0,0.6,81.9,60.9
Oman,16.5,603.0,1.09,55.0,66.8
Oman,12.6,742.0,0.58,84.7,76.2
UAE,80.1,215.318,0.2189,13.93,22.686
UAE,54.5,396.76,0.6825,10.465,37.765
UAE,44.1,450.554,0.3354,7.826,33.54
UAE,9.2,715.504,1.0896,13.62,42.676
UAE,83.7,169.031,0.3097,7.661,24.287
UAE,76.5,154.63,0.188,4.7,14.335
UAE,35.9,446.136,0.7692,8.333,36.537
UAE,18.0,574.0,0.984,15.58,46.74
UAE,84.2,155.788,0.2054,13.588,30.02
UAE,66.5,310.21,0.402,5.695,29.48
UAE,37.9,466.992,0.6831,5.0922,48.438
UAE,25.1,527.296,1.1235,11.235,44.191
UAE,83.7,179.463,0.3586,16.463,24.613
UAE,58.9,324.279,0.6576,24.66,36.579
UAE,41.3,345.156,0.8218,10.566,36.394
UAE,22.3,489.51,1.3209,12.432,48.174
UAE,85.1,155.109,0.2086,12.814,16.688
UAE,64.1,301.919,0.359,5.385,29.079
UAE,44.7,447.377,0.7742,8.295,39.263
UAE,25.5,593.765,0.894,11.175,47.68
UAE,84.6,184.954,0.2156,8.316,15.862
UAE,74.0,220.74,0.286,3.9,15.08
UAE,45.8,380.484,0.813,7.046,25.474
UAE,31.1,631.124,0.7579,6.89,34.45
UAE,83.2,195.384,0.1848,14.784,35.112
UAE,62.6,297.704,0.3366,3.74,16.83
UAE,39.7,481.797,0.8442,7.236,53.667
UAE,29.5,602.775,0.2115,8.46,57.81
UAE,81.7,195.81,0.3294,8.784,26.352
UAE,62.2,188.244,0.4158,3.6666,33.264
UAE,45.2,381.956,0.7124,4.5484,42.744
UAE,21.3,444.655,0.4722,7.4765,55.877
UAE,82.7,215.039,0.2595,9.169,20.933
UAE,72.1,308.574,0.3627,5.022,27.063
UAE,37.6,882.336,0.7488,8.736,42.432
UAE,27.7,660.822,0.8676,10.122,45.549
UAE,85.5,98.89,0.232,7.54,17.835
UAE,57.0,293.69,0.43,6.02,19.35
UAE,48.9,317.842,0.5621,5.11,27.083
UAE,32.1,478.016,0.8148,6.5863,38.024
UAE,84.6,172.634,0.2618,13.552,22.638
UAE,72.6,223.584,0.411,5.206,24.66
UAE,50.4,406.72,0.5456,8.432,30.752
UAE,84.2,171.43,0.316,9.322,18.802
UAE,70.5,262.55,0.4425,4.72,19.47
UAE,44.2,448.632,0.6696,6.138,28.458
UAE,82.4,293.6736,0.18128,33.9152,21.4016
UAE,62.8,565.7376,0.38316,59.6316,48.918
UAE,43.2,865.0072,0.58504,87.0744,66.6264
UAE,16.3,1280.4426,0.85374,158.1093,112.2417
UAE,82.9,275.7033,0.17442,24.8121,22.1958
UAE,59.1,452.5176,0.58487,34.356,31.0022
UAE,40.0,682.68,0.618,62.1,43.08
UAE,7.2,870.8352,0.75168,97.2544,100.1312
UAE,82.1,165.9688,0.12709,15.1255,14.8749
UAE,66.7,395.6706,0.57942,31.7349,28.638
UAE,44.2,415.5984,0.40734,47.4858,53.1216
UAE,12.8,780.876,1.09872,82.7528,77.2592
UAE,83.3,145.6741,0.15698,13.1262,11.2558
UAE,62.4,342.348,0.4324,21.8456,22.7856
UAE,13.1,485.6841,1.59027,42.4072,42.7548
UAE,82.7,102.5198,0.26642,9.7745,8.3386
UAE,72.8,156.0464,0.43792,13.7632,13.8448
UAE,12.6,569.9354,1.89658,42.1268,46.5842
