Region,Water,Fat,Palmitic,Stearic
Congo,59.7,27.9347519202823,12.0856910707909,0.373208285654972
Congo,58.7,29.4790910986033,11.7680531665624,0.426857239107776
Congo,67.3,24.2819060628349,10.0293984801933,0.236991403173269
Congo,53.9,30.3147672719683,10.6101685451889,0.550516173658944
Congo,50.9,30.5748259126398,12.1589967689386,0.440277493142013
Congo,65.5,21.3695926744553,8.44868215977266,0.304302999684244
Congo,65.6,22.3022722534918,9.39906961851157,0.246217085678549
Congo,69.0,18.7204391891892,7.70083986486487,0.28005777027027
Congo,68.2,21.7177207263619,7.46394625923607,0.549023979962429
Congo,59.1,26.2134354991078,9.7220389579091,0.264231429831007
Congo,65.8,22.4698011218766,6.83800987740949,0.722628804079551
Congo,71.2,17.0883331632132,6.11352207247116,0.229667197713586
Congo,69.4,17.9513314215485,6.37774902744777,0.219724296599754
Congo,73.2,15.7977505112474,5.63284592229039,0.18704536605317
Congo,79.2,8.48483343678874,2.96494019615146,0.074666534243741
Congo,64.2,21.6635147554376,6.51465215725518,0.861341346676197
Congo,69.0,19.2724032586558,5.91123152749491,0.2251016700611
Congo,68.2,19.4533906106168,6.07412668425898,0.415524423442774
Congo,68.6,18.9111088442314,5.96985883994696,0.275345744772009
Congo,62.7,26.7376041454989,9.57634030075188,0.327268274740906
Congo,69.1,18.1074,6.0116568,0.31869024
Guinea,87.8,0.1952,0.0733952,0.00515328
Guinea,87.7,0.1968,0.06785664,0.00362112
Guinea,86.0,1.036,0.3555552,0.0174048
Guinea,80.6,6.5184,2.52392448,0.13558272
Guinea,80.2,7.326,2.6783856,0.1582416
Guinea,76.3,9.5037,3.611406,0.25089768
Guinea,74.8,10.8108,4.26377952,0.26810784
Guinea,71.2,13.392,6.910272,0.4071168
Guinea,87.6,0.1488,0.0392832,0.00761856
Guinea,85.6,0.2016,0.06225408,0.00693504
Guinea,84.8,0.6992,0.181792,0.0531392
Guinea,76.6,9.8514,3.3888816,0.30736368
Guinea,65.6,20.1928,8.41635904,0.43616448
Guinea,63.4,21.8136,10.78464384,0.64568256
Guinea,88.2,0.1298,0.02554464,0.00913792
Guinea,87.6,0.1984,0.03999744,0.01206272
Guinea,87.1,0.2322,0.06260112,0.00538704
Guinea,80.3,7.7027,2.60043152,0.20335128
Guinea,73.4,13.3,5.24552,0.39368
Guinea,67.3,17.331,6.447132,0.415944
