Glucose,Fructose,MalicAcid,TartaricAcid,Potassium,Magnesium,Calcium,Genotype
28.3,11.5,248.6,139.6,181.6,6.8,14.2,G14
28.2,12.2,257.9,148.8,180.6,9.2,14.6,G14
38.5,11.4,249.6,166.4,150.2,7.5,11.3,G14
36.9,11.6,271.0,135.4,160.5,6.4,10.5,G14
38.3,10.0,248.5,144.4,142.9,6.4,12.2,G14
16.5,15.4,227.8,183.2,192.8,13.7,10.8,G14
16.5,14.9,219.7,175.9,183.4,15.7,12.4,G14
16.0,16.2,211.5,164.7,190.4,15.3,12.8,G14
17.7,13.7,207.0,194.6,183.0,15.9,13.6,G14
12.2,11.3,155.0,123.1,156.3,11.3,10.4,G14
35.2,13.5,245.4,175.1,169.0,10.1,17.0,G14
33.9,13.2,233.3,184.0,175.7,10.0,15.7,G14
35.2,11.5,264.3,136.2,163.5,6.2,11.2,G14
31.5,12.7,254.7,163.0,173.1,8.5,12.7,G14
36.9,10.9,274.5,135.2,159.2,6.8,9.7,G14
29.8,9.6,264.2,152.5,178.2,6.7,11.8,G14
39.8,11.1,264.4,122.1,168.7,4.7,8.3,G14
35.8,9.0,271.5,118.0,176.5,5.1,8.1,G14
24.8,8.7,271.9,139.2,184.5,8.3,10.9,G14
35.6,10.6,277.6,129.8,168.0,5.5,8.5,G14
32.2,9.6,224.6,114.4,155.0,9.0,10.8,G14
46.6,13.6,290.1,155.5,125.6,4.2,12.6,G14
43.5,13.7,301.5,137.7,131.2,3.0,13.6,G14
38.3,13.4,276.4,152.8,175.9,9.6,21.0,G14
34.0,14.4,250.0,140.6,158.6,12.5,13.4,G14
45.5,14.7,299.0,143.1,141.2,3.7,12.9,G14
43.8,12.0,271.1,146.7,129.5,8.6,13.7,G14
47.9,16.0,304.9,137.3,146.0,3.4,12.0,G14
36.9,10.2,261.4,158.0,177.9,12.8,12.8,G14
28.2,10.2,265.7,148.4,164.8,7.4,21.0,G14
221.6,177.7,140.5,103.4,131.2,4.8,10.7,G14
188.8,132.0,214.9,123.3,144.5,10.6,14.5,G14
53.3,15.2,242.4,137.4,145.6,5.2,12.0,G14
40.3,10.3,278.0,128.1,178.5,4.6,10.8,G14
43.4,11.2,281.7,123.4,144.6,11.5,19.3,G14
205.5,159.3,175.0,120.2,151.1,4.2,12.0,G14
47.6,15.2,244.1,139.2,173.1,7.0,19.3,G14
48.9,11.3,252.6,168.5,120.3,9.2,15.8,G14
