VitaminC,TA,SSC,Cultivar
62.51267,599.6819,8.695,Cengkir
58.55433,488.5819,8.825,Cengkir
62.096,549.249,9.225,Cengkir
62.30433,464.366,8.965,Cengkir
46.241,346.849,9.435,Cengkir
35.941,437.093,10.135,Cengkir
51.741,167.9413,13.705,Cengkir
53.451,156.7747,20.815,Cengkir
60.381,376.3858,11.295,Cengkir
44.351,342.8858,14.425,Cengkir
49.731,309.3858,13.387,Cengkir
57.311,319.2947,13.517,Cengkir
53.531,399.208,13.917,Cengkir
67.131,339.1635,13.657,Cengkir
63.841,186.5524,14.127,Cengkir
57.7986,191.1991,14.827,Cengkir
71.772,399.208,18.397,Cengkir
55.7637,346.3951,25.507,Cengkir
57.029,429.208,15.987,Kweni
77.8647,667.092,19.117,Kweni
51.9651,339.892,19.32,Kweni
54.1613,235.892,18.78,Kweni
70.2785,697.892,10.31,Kweni
67.1712,365.892,13.0,Kweni
68.7086,231.692,8.9,Kweni
71.3438,690.092,14.21,Kweni
73.1505,388.532,7.91,Kweni
70.3466,643.942,9.23,Kweni
58.3936,650.662,14.28,Kweni
59.9083,441.932,13.24,Kweni
62.3081,578.682,14.61,Kweni
43.875,620.502,9.8,Kweni
52.364,526.794,15.28,Kweni
42.952,685.827,19.9,Kweni
39.785,732.806,21.38,Kweni
44.325,705.826,14.33,Kweni
37.37718,651.9449,10.13,Kweni
46.44279,452.9449,17.52,Kweni
28.62967,490.1449,13.574,Kweni
32.0052,351.9449,14.974,Kweni
46.8884,745.0449,14.804,Kweni
25.9886,546.1449,18.204,Kweni
23.0614,457.2449,11.534,Kweni
28.0621,656.1449,19.044,Kweni
44.1048,545.0449,14.054,Kweni
44.9729,605.712,14.954,Kweni
33.7034,360.104,12.154,Kweni
42.23092,366.324,13.384,Kent
24.08667,374.254,16.564,Kent
43.87225,576.364,19.684,Kent
42.94437,439.614,17.494,Kent
33.21305,233.114,19.354,Kent
32.99609,631.014,16.304,Kent
34.29787,587.214,21.644,Kent
42.0051,683.114,25.254,Kent
44.1085,663.414,18.594,Kent
45.8884,754.514,19.034,Kent
36.7671,420.714,23.384,Kent
39.5933,420.014,19.594,Kent
33.3884,702.336,17.434,Kent
30.965,658.536,18.594,Kent
42.9907,754.436,16.734,Kent
46.9741,734.736,16.897,Kent
50.3255,825.836,11.907,Kent
42.6873,492.036,12.807,Kent
37.5583,491.336,10.007,Kent
31.3534,648.236,11.237,Kent
28.93,491.436,14.417,Kent
40.9557,592.136,17.537,Kent
44.9391,447.236,15.347,Kent
48.2905,477.236,17.207,Kent
40.6523,680.336,14.157,Kent
40.4811,437.436,19.497,Kent
56.45,647.254,23.107,Kent
43.0085,611.578,16.447,Kent
35.3703,326.402,16.887,Kent
35.1991,584.912,21.237,Kent
37.6771,353.032,17.447,Kent
21.367,415.612,15.287,Kent
28.967,375.332,16.447,Kent
22.597,515.302,14.587,Kent
34.207,533.062,11.982,Kent
18.327,505.7765,19.147,Kent
30.987,528.1099,21.111,Kent
35.777,632.521,18.63,Kent
29.565,305.321,15.58,Kent
23.195,201.321,21.924,Kent
34.805,663.321,24.53,Palmer
18.925,331.321,17.87,Palmer
31.585,197.121,18.312,Palmer
36.375,655.521,22.66,Palmer
40.375,353.961,18.87,Palmer
20.805,609.371,16.71,Palmer
35.955,616.091,18.214,Palmer
40.715,407.361,19.014,Palmer
29.725,544.111,10.5874,Palmer
20.815,585.931,18.0974,Palmer
25.055,492.223,13.1074,Palmer
38.264,651.256,14.0074,Palmer
41.114,698.235,11.2074,Palmer
29.985,671.255,12.4374,Palmer
37.9481,617.3739,15.6174,Palmer
40.7743,418.3739,14.335,Palmer
34.5694,455.5739,19.675,Palmer
32.146,317.3739,23.285,Palmer
44.1717,710.4739,16.625,Palmer
48.1551,511.5739,17.065,Palmer
51.5065,422.6739,21.415,Palmer
43.8683,621.5739,17.625,Palmer
43.6971,510.4739,15.465,Palmer
59.666,571.141,14.785,Palmer
50.152,486.258,22.11,Palmer
42.255,368.741,19.024,Palmer
39.874,458.985,12.112,Palmer
42.3144,183.4,15.73,Kent
21.4146,674.1,12.85,Kent
18.4874,538.6,13.11,Kent
23.4881,480.1,14.42,Kent
39.5308,331.7,10.36,Kent
40.3989,149.9,11.76,Kent
29.1294,424.4,11.59,Kent
37.65692,871.0,14.99,Kent
19.51267,178.6667,8.32,Kent
39.29825,681.1667,15.83,Kent
38.37037,122.8333,10.84,Kent
28.63905,993.8333,11.74,Kent
28.42209,495.0555,8.94,Kent
29.72387,654.1942,10.17,Kent
37.4311,501.5,13.35,Kent
39.5345,394.1,16.47,Kent
41.3144,252.1,14.28,Kent
32.1931,621.4,16.14,Kent
35.0193,422.4,13.09,Kent
28.8144,459.6,18.43,Kent
26.391,321.4,22.04,Kent
38.4167,714.5,15.38,Kent
42.4001,515.6,15.82,Kent
45.7515,426.7,20.17,Kent
38.1133,625.6,16.38,Kent
37.9421,514.5,14.22,Kent
40.4201,438.9,15.38,Kent
24.11,391.31,13.52,Kent
31.71,474.14,14.95,Kent
25.34,461.09,19.96,Kent
36.95,515.94,16.26,Kent
21.07,652.81,14.33,Kent
33.73,318.72,18.28,Kent
38.52,539.44,19.03,Kent
42.52,698.45,21.95,Kent
22.95,328.42,19.47,Kent
38.1,541.08,15.21,Kent
42.86,674.5,17.75,Kent
31.87,322.85,14.94,Kent
22.96,581.36,21.2,Kent
27.2,349.48,19.33,Kent
35.64,412.06,17.42,Kent
27.98,371.78,19.89,Kent
20.51,511.75,21.91,Kent
37.44,529.51,16.32,Kent
73.18549,949.1667,9.94,Palmer
71.85484,770.5,10.07,Palmer
70.99602,308.9445,10.47,Palmer
69.46215,301.5,10.21,Palmer
50.71856,610.4445,10.68,Palmer
52.69461,569.5,11.38,Palmer
56.97211,111.6667,14.95,Palmer
61.35458,141.4444,22.06,Palmer
49.17485,494.5555,12.54,Palmer
48.0943,516.8889,15.67,Palmer
52.08333,621.3,10.43,Palmer
55.10417,294.1,13.95,Palmer
57.29167,190.1,16.42,Palmer
53.33333,652.1,20.56,Palmer
56.875,320.1,12.95,Palmer
57.08333,185.9,14.33,Palmer
41.02,644.3,22.46,Palmer
30.72,342.74,14.85,Palmer
46.52,598.15,15.33,Palmer
48.23,604.87,18.94,Palmer
55.16,396.14,11.56,Palmer
65.0968,432.1,16.43,Palmer
66.9035,532.8,21.05,Palmer
64.0996,387.9,22.53,Palmer
52.1466,417.9,15.48,Palmer
53.6613,621.0,11.28,Palmer
56.0611,378.1,18.67,Palmer
