SSC,Malic,Citric,Glutamic,Fructose,Glucose,Type
5.2,0.6773,4.13095,1.9289500000000002,13.468510000000002,16.14816,ProcessingN
5.7,0.59649,4.63491,2.14396,15.82782,19.21075,ProcessingN
4.1,0.88822,4.0109699999999995,1.89781,9.70923,10.4437,ProcessingN
4.3,0.7728100000000001,4.055899999999999,1.74356,10.37562,10.75263,ProcessingN
5.1,0.7505700000000001,4.92851,2.4962999999999997,9.54788,11.64011,ProcessingN
4.6,0.6047,4.10407,1.4255799999999998,8.49954,10.804939999999998,ProcessingN
4.4,0.61187,4.4856,1.7929,10.00139,11.464269999999999,ProcessingN
5.8,0.83845,5.40062,2.69502,15.58942,14.6045,ProcessingN
5.4,0.63607,5.48181,1.64886,16.90416,15.67846,ProcessingN
4.8,0.45807000000000003,3.09726,1.1329,9.35533,8.80861,ProcessingN
5.2,0.61924,4.0249,1.68375,12.880429999999999,12.09194,ProcessingN
5.0,0.63159,4.0508999999999995,1.67829,15.96664,15.318,ProcessingN
4.9,0.61537,4.19335,2.19799,14.37224,13.898900000000001,ProcessingN
4.4,0.8099,3.0350099999999998,1.64709,8.536570000000001,10.64643,ProcessingN
4.4,0.74649,3.30158,1.6262999999999999,8.63231,9.92127,ProcessingN
4.5,0.84639,3.47007,1.51025,10.12822,10.52154,ProcessingN
5.3,0.77338,3.98558,1.36023,15.31636,13.13279,ProcessingN
5.3,0.75535,3.86031,1.4514799999999999,17.74936,15.2177,ProcessingN
5.9,0.5123,2.95116,1.3405799999999999,10.15954,12.1549,ProcessingN
5.9,0.61432,3.32308,1.14352,15.79964,18.232950000000002,ProcessingN
4.7,0.84729,4.41985,1.67612,14.76519,11.65185,ProcessingN
4.2,0.8330500000000001,3.47627,1.4779499999999999,12.74658,9.94067,ProcessingN
4.5,0.7286400000000001,5.4270000000000005,2.3502,12.89377,11.27605,ProcessingN
4.5,0.66348,4.629700000000001,1.65685,12.82645,11.66893,ProcessingN
4.7,0.7365200000000001,5.01949,2.08539,13.76143,12.69021,ProcessingN
5.4,0.68525,5.11503,1.03575,17.65222,16.383119999999998,ProcessingN
6.1,0.66943,6.7714300000000005,1.9244999999999999,19.15249,17.37903,ProcessingN
4.8,0.54673,3.3956299999999997,1.04596,7.16345,8.93047,ProcessingN
5.1,0.6462699999999999,3.74977,0.9340600000000001,11.42019,13.427829999999998,ProcessingN
4.5,0.55852,4.0129399999999995,1.74211,8.41535,10.14503,ProcessingN
4.6,0.32448,2.22207,0.86919,9.47355,9.20843,ProcessingN
4.8,1.00787,3.60216,1.52732,13.964490000000001,12.43769,ProcessingN
4.5,0.79375,3.09269,1.4931200000000002,13.258209999999998,11.7729,ProcessingN
5.2,0.76322,3.7061399999999995,1.5162,16.70059,14.916289999999998,ProcessingN
5.1,0.9399299999999999,4.82625,1.49144,16.91579,14.477170000000001,ProcessingN
5.0,0.94881,3.38527,1.11724,12.15982,14.0416,ProcessingN
4.8,0.7857500000000001,4.99218,2.06945,10.499770000000002,12.08469,ProcessingN
4.7,0.7432500000000001,4.47741,1.84691,7.7229600000000005,9.48349,ProcessingN
4.5,0.76024,4.89657,1.76935,8.82912,9.73659,ProcessingN
5.3,0.7113299999999999,5.18136,1.50915,12.82898,14.79986,ProcessingN
5.3,0.54615,4.42872,1.85635,12.9561,15.775,ProcessingN
5.3,0.63471,4.86602,2.17441,13.621690000000001,17.145319999999998,ProcessingN
5.6,0.70211,4.34371,2.53482,11.388340000000001,14.1645,ProcessingN
5.2,0.8306,3.73096,1.55618,15.19969,13.61682,ProcessingN
5.5,1.16055,4.47776,2.26018,19.20872,17.15741,ProcessingN
4.9,0.7096800000000001,5.152469999999999,1.76746,10.7022,13.471169999999999,ProcessingN
4.3,0.6140100000000001,3.74957,1.75053,7.466810000000001,9.17048,ProcessingN
4.3,0.79815,4.62033,1.57517,13.17919,13.03354,ProcessingN
4.7,0.6751900000000001,4.57435,1.57928,12.951600000000001,11.96811,ProcessingN
5.9,0.60771,4.86088,2.44949,17.63624,16.830370000000002,ProcessingN
5.2,0.59316,4.37377,1.6816499999999999,17.20493,15.70464,ProcessingN
4.6,0.7723099999999999,4.172149999999999,2.44632,14.631780000000001,13.197550000000001,ProcessingN
5.2,0.83517,4.10294,1.72708,15.95834,14.682319999999999,ProcessingN
4.2,0.95628,3.53297,1.81426,13.230599999999999,11.72346,ProcessingN
4.0,0.6717400000000001,4.36571,2.00334,8.1336,9.57455,ProcessingN
4.4,0.7985,4.4184,2.09822,14.19192,12.54711,ProcessingN
4.7,0.9281999999999999,4.85437,1.44006,12.48154,10.77062,ProcessingN
4.2,0.86785,4.58248,1.48716,12.552639999999998,10.249310000000001,ProcessingN
4.4,0.85685,4.32173,2.15535,12.68429,10.73933,ProcessingN
3.9,0.7027599999999999,3.99666,2.2132400000000003,14.18076,12.43518,ProcessingN
4.8,0.61639,3.8887599999999996,2.5574600000000003,15.22643,12.88166,ProcessingN
4.4,0.85954,3.05132,1.25797,12.18724,10.02103,ProcessingN
4.0,1.10019,3.47991,1.5326300000000002,12.802929999999998,9.390410000000001,ProcessingN
5.15,0.830208517342679,3.975475789625388,2.268124378017238,14.539738367736117,13.732637492739478,ProcessingN
5.45,0.8705151676819224,4.366174009847114,2.419536166847746,19.157996227772752,17.64949274552319,ProcessingN
4.55,1.023369050760409,4.41987760675407,1.8225265208629762,13.359399216428425,11.684411342105609,ProcessingN
4.85,1.2045551893766424,5.222316962316373,2.00080522931721,15.931306243468788,14.644409819921657,ProcessingN
4.35,0.9013038559362127,5.052482079657008,2.0329969233374676,12.179884662972482,12.68405175976834,ProcessingN
4.4,0.8008205136178145,4.967030196323731,2.060449164718633,12.359459233276493,13.196829022264197,ProcessingN
4.35,0.9804686693973105,5.214088463266064,2.1509051890630335,12.103166357116535,12.616055954928237,ProcessingN
