dataset,config,variant,metric,mean,std,n
Apple,apple_quality,full,corr_dist,0.5356,0.0224,3
Apple,apple_quality,full,mean_ks,0.0258,0.0034,3
Apple,apple_quality,full,calib_err,0.0109,0.0025,3
Apple,apple_quality,full,coverage_at_90,0.8992,0.0011,3
Apple,apple_quality,no_phys,corr_dist,0.5681,0.147,3
Apple,apple_quality,no_phys,mean_ks,0.0258,0.0034,3
Apple,apple_quality,no_phys,calib_err,0.0109,0.0025,3
Apple,apple_quality,no_phys,coverage_at_90,0.8992,0.0011,3
Apple,apple_quality,no_cov,corr_dist,1.4032,0.023,3
Apple,apple_quality,no_cov,mean_ks,0.0258,0.0034,3
Apple,apple_quality,no_cov,calib_err,0.0109,0.0025,3
Apple,apple_quality,no_cov,coverage_at_90,0.8992,0.0011,3
Apple,apple_quality,no_marg,corr_dist,0.5034,0.1055,3
Apple,apple_quality,no_marg,mean_ks,0.0258,0.0034,3
Apple,apple_quality,no_marg,calib_err,0.0109,0.0025,3
Apple,apple_quality,no_marg,coverage_at_90,0.8992,0.0011,3
Apple,apple_quality,no_calib,corr_dist,0.5443,0.0422,3
Apple,apple_quality,no_calib,mean_ks,0.0389,0.0041,3
Apple,apple_quality,no_calib,calib_err,0.0209,0.005,3
Apple,apple_quality,no_calib,coverage_at_90,0.8913,0.0063,3
Banana,banana_quality,full,corr_dist,0.3232,0.0266,3
Banana,banana_quality,full,mean_ks,0.0571,0.0079,3
Banana,banana_quality,full,calib_err,0.0217,0.0059,3
Banana,banana_quality,full,coverage_at_90,0.9016,0.0057,3
Banana,banana_quality,no_cov,corr_dist,0.6798,0.3361,3
Banana,banana_quality,no_cov,mean_ks,0.0571,0.0079,3
Banana,banana_quality,no_cov,calib_err,0.0217,0.0059,3
Banana,banana_quality,no_cov,coverage_at_90,0.9016,0.0057,3
Banana,banana_quality,no_marg,corr_dist,0.3417,0.046,3
Banana,banana_quality,no_marg,mean_ks,0.0571,0.0079,3
Banana,banana_quality,no_marg,calib_err,0.0217,0.0059,3
Banana,banana_quality,no_marg,coverage_at_90,0.9016,0.0057,3
Banana,banana_quality,no_calib,corr_dist,0.3249,0.0263,3
Banana,banana_quality,no_calib,mean_ks,0.0581,0.0069,3
Banana,banana_quality,no_calib,calib_err,0.0239,0.0045,3
Banana,banana_quality,no_calib,coverage_at_90,0.8944,0.0076,3
Date,biofood_date_region,full,corr_dist,0.5285,0.1611,3
Date,biofood_date_region,full,mean_ks,0.1962,0.0683,3
Date,biofood_date_region,full,calib_err,0.0839,0.0218,3
Date,biofood_date_region,full,coverage_at_90,0.8444,0.0255,3
Date,biofood_date_region,no_phys,corr_dist,0.4819,0.089,3
Date,biofood_date_region,no_phys,mean_ks,0.1962,0.0683,3
Date,biofood_date_region,no_phys,calib_err,0.0839,0.0218,3
Date,biofood_date_region,no_phys,coverage_at_90,0.8444,0.0255,3
Date,biofood_date_region,no_cov,corr_dist,0.6112,0.2875,3
Date,biofood_date_region,no_cov,mean_ks,0.1962,0.0683,3
Date,biofood_date_region,no_cov,calib_err,0.0839,0.0218,3
Date,biofood_date_region,no_cov,coverage_at_90,0.8444,0.0255,3
Date,biofood_date_region,no_marg,corr_dist,0.5556,0.2064,3
Date,biofood_date_region,no_marg,mean_ks,0.1962,0.0683,3
Date,biofood_date_region,no_marg,calib_err,0.0839,0.0218,3
Date,biofood_date_region,no_marg,coverage_at_90,0.8444,0.0255,3
Date,biofood_date_region,no_calib,corr_dist,0.5282,0.1426,3
Date,biofood_date_region,no_calib,mean_ks,0.22,0.102,3
Date,biofood_date_region,no_calib,calib_err,0.0824,0.015,3
Date,biofood_date_region,no_calib,coverage_at_90,0.8722,0.0173,3
Safou,biofood_safou_region,full,corr_dist,0.1079,0.0675,3
Safou,biofood_safou_region,full,mean_ks,0.2295,0.0074,3
Safou,biofood_safou_region,full,calib_err,0.1033,0.0014,3
Safou,biofood_safou_region,full,coverage_at_90,0.8974,0.0294,3
Safou,biofood_safou_region,no_phys,corr_dist,0.0984,0.0572,3
Safou,biofood_safou_region,no_phys,mean_ks,0.2295,0.0074,3
Safou,biofood_safou_region,no_phys,calib_err,0.1033,0.0014,3
Safou,biofood_safou_region,no_phys,coverage_at_90,0.8974,0.0294,3
Safou,biofood_safou_region,no_cov,corr_dist,0.1079,0.0675,3
Safou,biofood_safou_region,no_cov,mean_ks,0.2295,0.0074,3
Safou,biofood_safou_region,no_cov,calib_err,0.1033,0.0014,3
Safou,biofood_safou_region,no_cov,coverage_at_90,0.8974,0.0294,3
Safou,biofood_safou_region,no_marg,corr_dist,0.3205,0.0429,3
Safou,biofood_safou_region,no_marg,mean_ks,0.2295,0.0074,3
Safou,biofood_safou_region,no_marg,calib_err,0.1033,0.0014,3
Safou,biofood_safou_region,no_marg,coverage_at_90,0.8974,0.0294,3
