dataset,engine,corr_dist,mean_ks,gen_gap,coverage@90,calib_err,tstr_acc,tstr_auc
Apple (quality),Physics-MC,0.943,0.047,0.029,0.904,0.013,0.785,0.862
Apple (quality),Regression,0.676,0.037,0.025,0.885,0.021,0.828,0.907
Apple (quality),VAE,0.839,0.077,0.057,0.815,0.084,0.795,0.887
Apple (quality),Hybrid,0.494,0.024,0.106,0.901,0.01,0.867,0.941
Apple (quality),Real (ceiling),,,,,,0.886,0.96
Banana (quality),Physics-MC,0.35,0.086,0.103,0.956,0.076,0.883,
Banana (quality),Regression,0.345,0.074,0.102,0.999,0.039,0.827,
Banana (quality),VAE,0.362,0.106,0.075,1.0,0.063,0.887,
Banana (quality),Hybrid,0.292,0.054,0.16,0.896,0.024,0.917,
Banana (quality),Real (ceiling),,,,,,0.94,
Date (nutrients),Physics-MC,1.129,0.208,0.068,0.875,0.083,,
Date (nutrients),Regression,1.192,0.162,0.047,0.883,0.077,,
Date (nutrients),VAE,0.781,0.325,0.209,0.742,0.143,,
Date (nutrients),Hybrid,0.54,0.144,0.349,0.817,0.07,,
Safou (nutrients),Physics-MC,0.351,0.249,0.243,0.962,0.123,,
Safou (nutrients),Regression,0.653,0.301,0.364,0.885,0.13,,
Safou (nutrients),VAE,3.441,0.596,0.137,0.423,0.311,,
Safou (nutrients),Hybrid,0.112,0.29,0.247,0.846,0.128,,
