T,Dur,true_pct,single_pct,bootstrap_pct,vfp_pct,single_abs_err_pct,bootstrap_abs_err_pct,vfp_abs_err_pct
-0.6,12.0,10.0,0.0,16.4,3.4,10.0,6.4,6.6
-0.6,22.0,5.0,0.0,17.0,20.8,5.0,12.0,15.8
-0.6,32.0,31.6,0.0,14.1,47.9,31.6,17.5,16.3
-0.6,42.0,60.0,0.0,12.5,59.0,60.0,47.5,1.0
2.0,12.0,0.0,0.0,17.4,5.0,0.0,17.4,5.0
2.0,22.0,20.0,0.0,15.6,6.9,20.0,4.4,13.1
2.0,32.0,30.0,0.0,14.8,15.8,30.0,15.2,14.2
2.0,42.0,30.0,0.0,15.5,37.7,30.0,14.5,7.7
7.0,12.0,0.0,0.0,17.4,1.4,0.0,17.4,1.4
7.0,22.0,5.0,0.0,17.1,1.1,5.0,12.1,3.9
7.0,32.0,0.0,0.0,17.7,1.4,0.0,17.7,1.4
7.0,42.0,0.0,0.0,18.1,8.9,0.0,18.1,8.9
