ci_threshold,comparison,mean_error_reduction,ci95_low,ci95_high,wilcoxon_p,n
10,VFP vs bootstrap,0.0164,-0.127,0.1598,0.791,12
10,VFP vs single,0.588,0.4347,0.7413,0.0005,12
15,VFP vs bootstrap,0.0164,-0.127,0.1598,0.791,12
15,VFP vs single,0.1081,-0.0623,0.2786,0.1763,12
20,VFP vs bootstrap,0.0823,0.0018,0.1628,0.0342,12
20,VFP vs single,0.0749,-0.0361,0.186,0.3013,12
25,VFP vs bootstrap,0.0823,0.0018,0.1628,0.0342,12
25,VFP vs single,0.0749,-0.0361,0.186,0.3013,12
30,VFP vs bootstrap,0.0492,-0.0114,0.1098,0.1099,12
30,VFP vs single,0.0381,-0.0292,0.1053,0.4697,12
