dataset,cell,metric,mean,std
citrus_exp6,VAE,corr_dist,0.6973454869024016,0.278560256015399
citrus_exp6,VAE,mean_ks,0.15873333333333334,0.01633641996533974
citrus_exp6,VAE,energy_dist,0.052384828996972124,0.019589801751688878
citrus_exp6,VAE,coverage_at_90,0.89,0.026152449546532897
citrus_exp6,VAE,calib_err,0.06850617283950618,0.007354300366590295
citrus_exp6,VAE+calib,corr_dist,0.7113609637113831,0.2827134727415496
citrus_exp6,VAE+calib,mean_ks,0.08703555555555556,0.015239854184195994
citrus_exp6,VAE+calib,energy_dist,0.04578174024349657,0.0202393386725945
citrus_exp6,VAE+calib,coverage_at_90,0.9100000000000001,0.021984843263788197
citrus_exp6,VAE+calib,calib_err,0.08915432098765433,0.004237131643019886
citrus_exp6,PI-VAE-calib,corr_dist,0.39648291294383375,0.21933872437263122
citrus_exp6,PI-VAE-calib,mean_ks,0.1519333333333333,0.011488274215235498
citrus_exp6,PI-VAE-calib,energy_dist,0.049955773608376663,0.015326718268074274
citrus_exp6,PI-VAE-calib,coverage_at_90,0.8977777777777778,0.030651364942519434
citrus_exp6,PI-VAE-calib,calib_err,0.07335802469135803,0.012208206828872456
citrus_exp6,PI-VAE+calib,corr_dist,0.41828219250594734,0.23885403094176907
citrus_exp6,PI-VAE+calib,mean_ks,0.08703555555555556,0.015239854184195994
citrus_exp6,PI-VAE+calib,energy_dist,0.039033491570501955,0.013129629199071485
citrus_exp6,PI-VAE+calib,coverage_at_90,0.9100000000000001,0.021984843263788197
citrus_exp6,PI-VAE+calib,calib_err,0.08915432098765433,0.004237131643019886
tomato_nir,VAE,corr_dist,0.6361551754405524,0.20589901371982922
tomato_nir,VAE,mean_ks,0.07985128205128206,0.010039915370667086
tomato_nir,VAE,energy_dist,0.03907496805681214,0.013710152047137943
tomato_nir,VAE,coverage_at_90,0.9064957264957265,0.01187511414219382
tomato_nir,VAE,calib_err,0.028509021842355174,0.008576902454237458
tomato_nir,VAE+calib,corr_dist,0.6526306128731326,0.20262270749614117
tomato_nir,VAE+calib,mean_ks,0.07488717948717949,0.008933945062971618
tomato_nir,VAE+calib,energy_dist,0.03242658696992402,0.010994664100157718
tomato_nir,VAE+calib,coverage_at_90,0.8964102564102564,0.014336571860691814
tomato_nir,VAE+calib,calib_err,0.027089268755935425,0.004280357488978893
tomato_nir,PI-VAE-calib,corr_dist,0.5050018325052286,0.16852516685458674
tomato_nir,PI-VAE-calib,mean_ks,0.08213418803418804,0.009226406297195679
tomato_nir,PI-VAE-calib,energy_dist,0.042183817444463936,0.016874862669339585
tomato_nir,PI-VAE-calib,coverage_at_90,0.8970940170940171,0.01666644751116049
tomato_nir,PI-VAE-calib,calib_err,0.028095916429249756,0.006792473975381655
tomato_nir,PI-VAE+calib,corr_dist,0.5128339869215129,0.15749833763212362
tomato_nir,PI-VAE+calib,mean_ks,0.07488717948717949,0.008933945062971618
tomato_nir,PI-VAE+calib,energy_dist,0.03172840281049076,0.012860442762461965
tomato_nir,PI-VAE+calib,coverage_at_90,0.8964102564102564,0.014336571860691814
tomato_nir,PI-VAE+calib,calib_err,0.027089268755935425,0.004280357488978893
grape_berry,VAE,corr_dist,0.5522408973823827,0.06109599211663718
grape_berry,VAE,mean_ks,0.06756176014874497,0.005556216133635093
grape_berry,VAE,energy_dist,0.0300540943369235,0.005716524568228172
grape_berry,VAE,coverage_at_90,0.9093895258754262,0.005220809343328871
grape_berry,VAE,calib_err,0.029765003615328994,0.0034635644694574765
grape_berry,VAE+calib,corr_dist,0.5734606248913541,0.05422906632010801
grape_berry,VAE+calib,mean_ks,0.04990325379609544,0.005435220185227709
grape_berry,VAE+calib,energy_dist,0.024153963085491538,0.006495799263721509
grape_berry,VAE+calib,coverage_at_90,0.8998450573287883,0.004725726071449169
grape_berry,VAE+calib,calib_err,0.02074286402919808,0.0025964652422123973
grape_berry,PI-VAE-calib,corr_dist,0.2828350410168202,0.04515697569464786
grape_berry,PI-VAE-calib,mean_ks,0.07490963743414936,0.005686309044018076
grape_berry,PI-VAE-calib,energy_dist,0.0317738098628876,0.013405721575024681
grape_berry,PI-VAE-calib,coverage_at_90,0.919305856832972,0.004561108024288592
grape_berry,PI-VAE-calib,calib_err,0.034579588885445725,0.006412296304689932
grape_berry,PI-VAE+calib,corr_dist,0.30797799652236935,0.040745745262508404
grape_berry,PI-VAE+calib,mean_ks,0.04990325379609544,0.005435220185227709
