dataset,metric,base_mean,base_std,conf_mean,conf_std
citrus_exp6,coverage_at_90,0.9088888888888889,0.011439589045541071,0.9244444444444445,0.042397297840753106
citrus_exp6,calibration_error,0.09955555555555554,0.004072839319060404,0.10679012345679013,0.007986709734825443
tomato_nir,coverage_at_90,0.9064625850340136,0.02159261258245421,0.9272108843537415,0.014526637077593614
tomato_nir,calibration_error,0.03524187452758881,0.005573164333642993,0.04441798941798941,0.006305193797894159
grape_berry,coverage_at_90,0.8941249226963514,0.008510089010151916,0.8925170068027211,0.014394396067756316
grape_berry,calibration_error,0.025081770081770077,0.00453573423737598,0.03186937401223115,0.005149630225906782
apple_samnegard,coverage_at_90,0.910897435897436,0.01895095576806983,0.9384615384615383,0.008455708947610857
apple_samnegard,calibration_error,0.06556267806267806,0.007083001192546911,0.0782977207977208,0.010915584342317212
mango_composition,coverage_at_90,0.8880952380952382,0.024513405097588085,0.930952380952381,0.03642156795423417
mango_composition,calibration_error,0.06613756613756613,0.01840250888768507,0.08359788359788359,0.021185339791918494
biofood_safou_region,coverage_at_90,0.9357142857142857,0.04738035414793426,0.8642857142857142,0.1505093393264677
biofood_safou_region,calibration_error,0.1728968253968254,0.0806178506491302,0.2151587301587302,0.05456552665759314
