dataset,config,engine,metric,mean,std,n,values
Apple (quality),apple_quality,physics_mc,corr_dist,0.987,0.0591,5,1.0134;0.9558;0.9895;0.9098;1.0665
Apple (quality),apple_quality,physics_mc,mean_ks,0.0381,0.0036,5,0.0380;0.0319;0.0407;0.0408;0.0390
Apple (quality),apple_quality,physics_mc,coverage_at_90,0.9013,0.0041,5,0.9061;0.9013;0.9021;0.9021;0.8948
Apple (quality),apple_quality,physics_mc,calib_err,0.0171,0.0014,5,0.0160;0.0155;0.0177;0.0174;0.0190
Apple (quality),apple_quality,regression,corr_dist,0.7034,0.0457,5,0.7085;0.7459;0.7086;0.6264;0.7276
Apple (quality),apple_quality,regression,mean_ks,0.0454,0.0076,5,0.0445;0.0448;0.0383;0.0412;0.0581
Apple (quality),apple_quality,regression,coverage_at_90,0.8883,0.0061,5,0.8912;0.8952;0.8908;0.8799;0.8842
Apple (quality),apple_quality,regression,calib_err,0.0242,0.0042,5,0.0226;0.0248;0.0191;0.0241;0.0306
Apple (quality),apple_quality,vae,corr_dist,0.8335,0.0584,5,0.9200;0.7811;0.8581;0.7807;0.8275
Apple (quality),apple_quality,vae,mean_ks,0.082,0.0056,5,0.0873;0.0851;0.0749;0.0770;0.0855
Apple (quality),apple_quality,vae,coverage_at_90,0.806,0.0095,5,0.8044;0.7918;0.8064;0.8183;0.8088
Apple (quality),apple_quality,vae,calib_err,0.086,0.0074,5,0.0848;0.0971;0.0852;0.0762;0.0866
Apple (quality),apple_quality,hybrid_vae,corr_dist,0.5242,0.0369,5,0.5588;0.5339;0.5141;0.5486;0.4654
Apple (quality),apple_quality,hybrid_vae,mean_ks,0.0289,0.0053,5,0.0284;0.0219;0.0271;0.0305;0.0366
Apple (quality),apple_quality,hybrid_vae,coverage_at_90,0.8977,0.0037,5,0.8996;0.9001;0.8980;0.8995;0.8913
Apple (quality),apple_quality,hybrid_vae,calib_err,0.0117,0.0024,5,0.0115;0.0081;0.0129;0.0113;0.0146
Apple (quality),apple_quality,physics_mc,tstr_acc,0.7678,0.0185,5,0.7400;0.7658;0.7917;0.7725;0.7692
Apple (quality),apple_quality,regression,tstr_acc,0.8087,0.0154,5,0.7867;0.8208;0.8167;0.7983;0.8208
Apple (quality),apple_quality,vae,tstr_acc,0.8057,0.0158,5,0.8058;0.8250;0.7992;0.7833;0.8150
Apple (quality),apple_quality,hybrid_vae,tstr_acc,0.8663,0.0077,5,0.8600;0.8783;0.8675;0.8592;0.8667
Apple (quality),apple_quality,real,tstr_acc,0.8882,0.0139,5,0.8667;0.9000;0.8967;0.8817;0.8958
Banana (quality),banana_quality,physics_mc,corr_dist,0.2966,0.0745,5,0.3822;0.2614;0.3695;0.2545;0.2154
Banana (quality),banana_quality,physics_mc,mean_ks,0.0941,0.0094,5,0.0811;0.0915;0.0989;0.0927;0.1063
Banana (quality),banana_quality,physics_mc,coverage_at_90,0.9433,0.0161,5,0.9687;0.9340;0.9487;0.9273;0.9380
Banana (quality),banana_quality,physics_mc,calib_err,0.0757,0.0112,5,0.0570;0.0743;0.0828;0.0797;0.0848
Banana (quality),banana_quality,regression,corr_dist,0.3032,0.0577,5,0.3688;0.3378;0.3173;0.2693;0.2228
Banana (quality),banana_quality,regression,mean_ks,0.0695,0.0032,5,0.0739;0.0689;0.0651;0.0697;0.0700
Banana (quality),banana_quality,regression,coverage_at_90,0.9936,0.0059,5,0.9960;1.0000;0.9973;0.9873;0.9873
Banana (quality),banana_quality,regression,calib_err,0.0364,0.005,5,0.0415;0.0327;0.0339;0.0420;0.0318
Banana (quality),banana_quality,vae,corr_dist,0.3588,0.0821,5,0.4391;0.3727;0.4316;0.2523;0.2983
Banana (quality),banana_quality,vae,mean_ks,0.094,0.0088,5,0.0899;0.0989;0.0837;0.1063;0.0910
Banana (quality),banana_quality,vae,coverage_at_90,0.9759,0.0166,5,0.9767;0.9760;0.9867;0.9487;0.9913
