dataset,method,k,mae_mean,mae_std,n
mango_composition,Representative,6,0.11054495446539621,0.08506600184777298,60
mango_composition,Representative,10,0.11662338583794524,0.09348621707264947,60
mango_composition,Representative,16,0.1380476742988951,0.0886893033226035,45
mango_composition,Target-bootstrap,6,0.08058757251729981,0.040392418392971835,60
mango_composition,Target-bootstrap,10,0.06394758470437983,0.033280626417746456,60
mango_composition,Target-bootstrap,16,0.04422036410988406,0.027905550767374977,45
mango_composition,Pooled-bootstrap,6,0.07744482883830416,0.028683889445819392,60
mango_composition,Pooled-bootstrap,10,0.07552222347431949,0.027787130916997405,60
mango_composition,Pooled-bootstrap,16,0.06987705573502283,0.029248760149352657,45
mango_composition,Empirical-Bayes (Beta),6,0.06032372494997022,0.02607356584878291,60
mango_composition,Empirical-Bayes (Beta),10,0.05460306041793607,0.026718837944978126,60
mango_composition,Empirical-Bayes (Beta),16,0.05143096659109288,0.029390639208398954,45
mango_composition,Shrinkage MVN,6,0.05897958831041995,0.030623316305787327,60
mango_composition,Shrinkage MVN,10,0.056195893120977634,0.027643443364926166,60
mango_composition,Shrinkage MVN,16,0.05464468150819287,0.026249651752395676,45
mango_composition,VFP (conditional),6,0.0496868584044942,0.027389322283131755,60
mango_composition,VFP (conditional),10,0.045816648302573475,0.0245748779637226,60
mango_composition,VFP (conditional),16,0.04061758501044805,0.022704974949066196,45
biofood_date_region,Representative,6,0.1677083333333333,0.18158792731682968,30
biofood_date_region,Representative,10,0.3229166666666667,0.02551551815399146,15
biofood_date_region,Representative,16,0.3055555555555556,0.01299186592629842,15
biofood_date_region,Target-bootstrap,6,0.07942777777777778,0.1142274269692549,30
biofood_date_region,Target-bootstrap,10,0.14028888888888885,0.08055091417024732,15
biofood_date_region,Target-bootstrap,16,0.08019074074074073,0.03409423799517859,15
biofood_date_region,Pooled-bootstrap,6,0.22642407407407408,0.05490259375564504,30
biofood_date_region,Pooled-bootstrap,10,0.14154444444444447,0.06035887342241442,15
biofood_date_region,Pooled-bootstrap,16,0.12997407407407408,0.048072343959622885,15
biofood_date_region,Empirical-Bayes (Beta),6,0.10163492904223838,0.08708853218987542,30
biofood_date_region,Empirical-Bayes (Beta),10,0.1369949494949495,0.0748754407287466,15
biofood_date_region,Empirical-Bayes (Beta),16,0.07949346405228756,0.0325624426839321,15
biofood_date_region,Shrinkage MVN,6,0.15192314814814814,0.1494508728968703,30
biofood_date_region,Shrinkage MVN,10,0.2991648148148148,0.0017348837636929453,15
biofood_date_region,Shrinkage MVN,16,0.29516481481481477,0.002863267196714362,15
biofood_date_region,VFP (conditional),6,0.09251388888888887,0.10137546683101273,30
biofood_date_region,VFP (conditional),10,0.1588388888888889,0.05337868750573951,15
biofood_date_region,VFP (conditional),16,0.1914537037037037,0.03887567323946523,15
