Engine,Feature,KS Statistic,P-Value
Physics-Informed Monte Carlo,Size,0.04583333333333334,0.19568267993470947
Physics-Informed Monte Carlo,Weight,0.07150000000000001,0.007182909878459217
Physics-Informed Monte Carlo,Sweetness,0.061000000000000054,0.033059694126866566
Physics-Informed Monte Carlo,Crunchiness,0.0561666666666667,0.06155196896346435
Physics-Informed Monte Carlo,Juiciness,0.02983333333333338,0.7044503672135418
Physics-Informed Monte Carlo,Ripeness,0.023999999999999966,0.9038398525294304
Physics-Informed Monte Carlo,Acidity,0.038666666666666655,0.3785115653784419
Regression,Size,0.035666666666666624,0.4801180216157036
Regression,Weight,0.035,0.5044298960056747
Regression,Sweetness,0.026999999999999913,0.8105173615689774
Regression,Crunchiness,0.031166666666666787,0.6520886609194144
Regression,Juiciness,0.03450000000000003,0.5230120520373737
Regression,Ripeness,0.028666666666666674,0.7494019002712341
Regression,Acidity,0.04250000000000001,0.27003741293532657
Variational Autoencoder,Size,0.08083333333333331,0.0015095760537273029
Variational Autoencoder,Weight,0.08616666666666661,0.0005681495664143565
Variational Autoencoder,Sweetness,0.06283333333333335,0.025768822420745886
Variational Autoencoder,Crunchiness,0.1245,8.01256925522977e-08
Variational Autoencoder,Juiciness,0.0688333333333333,0.010829757277527762
Variational Autoencoder,Ripeness,0.06016666666666669,0.036933964027641826
Variational Autoencoder,Acidity,0.05833333333333335,0.04687926673201801
Physics-Informed VAE (Hybrid),Size,0.022333333333333316,0.9424389397253375
Physics-Informed VAE (Hybrid),Weight,0.032999999999999974,0.5802444193543441
Physics-Informed VAE (Hybrid),Sweetness,0.027833333333333377,0.7805425013668328
Physics-Informed VAE (Hybrid),Crunchiness,0.024499999999999994,0.8902321532094603
Physics-Informed VAE (Hybrid),Juiciness,0.021666666666666723,0.9548047803238222
Physics-Informed VAE (Hybrid),Ripeness,0.022166666666666668,0.9456979831608073
Physics-Informed VAE (Hybrid),Acidity,0.014666666666666633,0.9997017198168157
