Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity
1.7943405,-0.58705497,-1.2572871,0.40835398,1.8436273,-1.0327841,2.599856
-2.0709527,0.37970793,-0.8807677,0.94877344,-0.09571745,-0.47813594,-2.5506015
-0.8906555,-2.9403474,0.32877034,-0.9524521,-1.2418119,0.5312364,-4.8978696
-1.561193,-1.4852076,2.4296708,-1.3558596,0.62759966,0.53344446,1.3670223
-3.0782254,-1.3595582,2.9136312,-0.32643706,2.8322341,1.206267,-3.1854136
-0.63295835,-2.0123315,0.4684182,1.1186779,3.5067625,-1.0653512,0.52557516
0.2390276,-1.2453667,-2.6649344,1.3160777,-1.1529272,0.50175893,-2.4355772
1.3299505,-0.6639741,-1.3134862,-0.50499207,2.7421346,-0.5934145,0.47118047
-0.55018675,-1.1918664,-3.3505902,0.27108037,-2.502571,2.4366572,-3.0215359
-2.3356893,-0.98781395,0.95551103,-0.9905902,0.27880365,0.90034175,-3.5341408
3.2561889,1.4868155,-4.5014133,1.9470732,-1.1738888,2.0309982,0.8020392
-1.377609,-0.067253925,-0.40655124,3.3824768,-3.4855447,-2.9884572,-0.9356403
2.316484,-1.8399311,-3.9995086,0.9941202,1.7861446,1.9708335,-0.3046817
-0.13979407,-1.6342741,-0.9848165,0.51912504,-0.83642477,1.4096625,-1.7219371
-1.7205781,1.2969444,-1.2686944,4.8897467,-3.393319,0.72625273,3.4168236
-0.03529393,-0.35963014,-3.469356,-0.89985067,2.49341,2.6505365,-0.3468629
-2.466188,-1.028936,1.4820695,0.28473282,-1.4864722,-0.36825383,-1.6380105
0.6589303,-1.3374586,-1.3314046,2.0692825,3.1274512,-1.9349593,-0.59421927
-5.2222514,3.0987856,2.3478944,-1.3948829,3.4706786,-2.3190134,1.937343
2.346259,-2.461438,-0.34450114,2.1938293,-0.31909677,-1.535715,0.24338809
-4.630333,-1.3359939,-2.0092072,0.93534535,0.2616018,4.5914464,-0.6772753
-2.5990906,-3.5246897,0.6584797,3.7557635,1.5228922,3.282503,5.6650577
1.5851432,0.28697553,-2.0976164,0.72569245,2.2609093,-0.68207854,1.122082
-3.0874288,-2.043161,1.5134693,0.31383863,2.7783637,1.7856356,-0.016686017
-2.745034,-1.5461068,1.5819575,1.4816775,2.2564516,0.54293466,0.78559476
-1.0149703,-2.0036726,1.3988811,1.0751185,0.9465734,1.7831951,-2.3391805
1.081581,-0.30157024,-1.134575,1.7134315,-0.6588797,0.32790235,0.58485085
-0.106881194,0.5214088,-0.35299966,2.6091592,-1.6004933,-2.7116933,0.2481939
1.8899126,1.2882842,-2.760825,2.2639196,-0.98952377,0.4768668,0.6895375
-1.4436513,1.2202587,-1.6390476,0.95878744,-1.4405298,-0.8016427,-2.0724862
0.5244476,-2.3812983,-0.2178524,0.9453219,2.0939758,0.6322325,2.283841
1.6492227,-1.3994172,-2.8342507,2.4028528,1.4300963,-0.33326843,-0.7528123
-3.7346916,-1.5158983,-0.44704273,0.6888878,0.30026156,3.6795955,-0.32911682
0.48292193,-2.0307724,-0.9611436,0.93036926,2.3709664,1.0239702,5.1189694
2.4770286,-4.287629,-0.50393474,1.5504931,2.3672662,2.2696352,1.5813742
2.805517,1.2388594,0.8057075,2.3565233,-3.6024222,-1.3076582,4.9915614
-2.294105,1.0348188,-0.59112036,1.2425251,0.9384893,-0.818155,-2.306148
0.59521735,-2.3655484,-0.4645832,2.0076206,0.8942205,2.9971538,2.1196826
-1.7971534,-0.48074543,0.88259715,2.9760668,-1.1183333,-0.7827071,2.5897548
-0.20233831,-1.976524,0.4044341,-0.32341427,2.3639615,0.52704656,-0.5119538
-0.48509133,0.65386695,-3.7659183,-0.5837703,0.34547633,2.8956852,-2.1408134
0.46272314,-0.15455216,-2.104847,0.26850206,2.1964812,0.83248216,-0.5406603
-2.600575,-1.98815,3.4520347,0.9877967,1.2025276,-1.2967848,4.0249996
0.012433764,-1.5575843,-2.354104,1.432645,-2.0886567,0.78916526,-2.1758199
-0.87530404,1.0013708,-1.1039722,0.047579106,-0.46456826,0.46516004,-0.85366744
-1.2211518,-0.6259533,1.4365185,0.55161345,1.7134588,-2.1753988,-1.5628128
-3.8204687,-1.1828915,2.7520406,2.7627866,1.5394492,-0.9511073,1.4293356
0.25705266,-1.5643643,-1.1933396,1.2689513,1.1014632,1.2915504,-1.0519334
-0.5311392,-0.72795117,0.29165667,1.2375683,0.95571536,-0.3204242,1.286158
4.004529,-4.7044015,-0.20246947,2.2393086,0.59762424,4.345464,0.033755437
-3.191782,2.1958208,1.7833394,0.4498316,1.5215853,-2.9004533,-1.608449
2.5838032,-2.725934,-1.7843057,1.3025545,3.7603912,-1.9154435,0.873629
-1.9719579,-1.3740417,0.34412113,0.1977428,1.1347865,2.4250278,-1.7242941
-0.026416346,-2.5754967,-0.20671897,0.19126374,1.445401,1.9540433,-2.2302752
-1.6216938,-2.9523368,3.0389705,3.0352254,0.8099151,-0.87053376,-0.6040456
-2.6630251,-0.7470722,-1.2388021,0.40051574,-0.0026004843,2.892829,-0.27811366
-0.6921844,-0.66095316,-0.1529114,0.3851372,0.09501444,1.063054,0.002333233
0.078985885,-1.7889915,-0.83921856,1.3235744,-0.2649393,1.2827502,-1.7175266
2.2072928,-2.5708354,-2.7209463,1.881548,-1.9961509,1.2596991,-1.9834625
0.61745715,-3.1897912,2.2594948,2.2253177,1.4052411,0.94519335,-0.15722957
-3.1590073,0.5340935,0.5641767,0.31000286,1.7945659,-0.58466494,-4.062937
1.115432,-3.9153237,-0.8320806,2.0737247,1.4858496,1.336118,-3.1657279
3.0877063,-4.091475,-1.2036666,-1.5433711,3.9726565,0.4517904,5.1821003
1.899853,-1.2739062,-1.8129203,1.915923,0.6550679,-1.175245,-0.08944344
0.40231824,-2.243567,-1.3505341,1.5395906,-1.6984426,-0.12660912,-2.3979895
2.3363023,-1.5718321,-1.4422989,1.4431546,1.0915629,1.4417415,1.8723844
0.67386675,-1.9346712,-0.91067857,-1.4712313,3.3638198,-0.9465352,3.027616
-1.9950947,-0.7106849,1.2099664,0.6154308,2.1182795,0.45409217,-1.3166376
1.5575254,-2.4821548,-3.6020446,-2.671687,4.265808,1.6975083,2.7140467
-1.1358602,1.7277129,-0.124621265,0.24052222,3.7519426,-2.6462688,-1.6681151
