Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity
1.4959687,-4.966118,3.3767068,2.7165978,-2.6715698,-0.3585685,-1.8434919
-0.8920409,-0.891778,-0.3129946,0.8271468,0.31578487,1.1019169,-1.18819
-1.3363094,-1.3067867,0.27562898,0.64367825,0.62333226,1.6156222,-0.38465622
-0.4551946,-3.8952215,4.139892,2.2323484,0.2146635,-0.29829,-0.67573446
-0.37234107,1.9835402,0.043871786,1.8953357,-1.5525596,-1.8341764,3.1208467
-1.5953379,-1.3806099,-0.01508599,0.8287035,-0.6768584,-0.49943203,-4.0977173
3.3357785,-2.5969188,-2.8957286,2.5357726,0.27311647,0.6319552,-0.04078977
0.11616664,-1.8586034,-0.24500227,1.2160478,1.203669,0.6936657,1.4526263
0.15627831,-1.9767873,-1.16583,0.22985692,3.2704985,0.4926908,1.2579179
-2.1776385,-0.13701293,-0.65611124,0.6126663,-0.1237379,1.9995315,0.72361374
0.22008193,-0.055361018,-1.9780335,1.5369819,-2.175466,0.5105199,-0.5318926
2.179032,-0.32156655,-1.8226657,1.0190574,2.0230033,-1.1210905,1.249915
0.051092565,-1.7892448,0.37158102,1.577111,0.45991588,0.34454644,0.018019294
1.6735241,-0.5577703,-0.2306686,0.37332025,2.1742165,-1.6236917,3.0499241
-0.82945114,-0.21682961,-1.9887474,0.5096237,0.5171185,2.0311,0.12921715
1.2688519,-3.4188364,1.1423032,2.2052293,1.4481115,0.48959878,3.1381993
1.5475739,-1.2488889,-0.20717327,2.0267923,2.0955005,-2.8045995,2.175059
1.280593,-2.480678,-2.0284634,0.178258,3.5510178,1.0365891,1.1954879
-1.986027,-0.15537329,0.44686767,0.97329986,3.280395,-1.436581,-1.8334244
-1.025237,-1.5646466,0.42778563,1.0823159,0.63995916,1.6162057,0.16183533
0.9716203,-0.98679805,-1.7324568,1.8328565,0.055328716,0.21345443,-0.21304923
1.218351,-2.7103052,-0.6609169,2.0329869,-0.25767156,1.2341919,-0.9352024
1.402208,-1.824495,-1.7861452,0.75067437,1.9107925,0.75525457,1.2467883
-2.2442658,-0.3749521,0.20985016,0.2842193,0.16480228,1.6051984,-0.1903338
-0.43653792,-2.3322105,-0.16422473,1.2836654,-0.35754162,2.8370855,0.06586188
-0.38465238,-1.0327092,-0.13431428,1.2053474,-0.15066692,0.49782094,-0.2578318
0.27744815,1.1467564,-1.2245795,1.3079042,-0.85591346,-0.3826938,1.9307904
-2.0435438,-0.13453297,0.69089305,0.59588754,0.37313935,0.5058989,-0.018974729
-0.52772,-0.91657937,-0.36995298,1.1038141,-1.4011207,0.7550523,-0.73449814
0.49697822,-2.5058515,-1.3553139,1.082329,-0.7683937,2.3973038,-1.7399079
0.3540694,0.43466747,-1.8672845,2.647391,-3.2646053,-1.4836072,-1.1781095
1.073994,0.4940417,-0.9188409,1.4179991,0.55839056,-1.4901203,1.6947069
-1.4814838,-0.6877149,1.5621916,1.0918378,1.5303029,-1.6854126,3.4666653
0.73590654,-2.2248495,-1.7144544,2.5917664,-1.5673931,-0.06521436,-2.351248
-0.54137486,-0.84404784,-2.5259356,0.9309523,-2.330681,2.228715,-1.8188475
0.2231408,-1.891618,-0.93887293,1.6060828,-0.16409165,2.2215145,0.7922677
-0.28455132,-1.4890981,0.4726026,1.6506729,0.8039025,-0.2155276,0.40576357
0.16087723,-0.76726127,-4.2816563,0.7059175,0.37103623,2.832867,-2.4628158
2.295108,-1.4290744,-1.8921877,0.14447032,3.2986364,-0.30543572,1.2691551
0.6429041,0.77359843,-1.6513145,2.2014854,-2.5762703,-0.45369637,0.66592705
0.21782877,0.5780928,-0.9850564,2.248826,-0.77687806,-1.4885582,0.49019554
1.3041897,-0.62163156,-2.2724953,1.5341419,0.0904062,0.48960543,-0.028258897
-4.355641,0.45903525,1.4951695,-0.34485906,2.5204895,-0.014451304,-1.7521751
-3.137371,-1.2215451,1.6813372,-0.9864195,1.3627797,1.6494417,-3.6348736
-2.4188025,0.13215338,1.2295156,1.279604,-0.53544563,-0.11373755,1.9551129
-0.8889226,-1.8812133,0.78361726,0.9716452,0.9387104,1.2672656,-0.11547749
0.57859457,-2.3536413,-0.2752209,1.9573904,-0.035969824,0.30213916,-1.2143025
-0.15211686,-0.96853065,0.35440892,2.3419487,-3.5972292,-0.9040289,-0.019314045
-1.1531945,0.22317271,-0.9460394,0.75988346,-0.5505835,0.81287324,-0.8952876
-3.4319196,-0.5523082,2.9046793,1.5146319,0.83552045,-1.0161922,3.0576952
-0.5767505,-1.3309956,-0.71181905,0.9736886,1.1621722,1.3192797,2.3634937
4.31124,-2.6080818,-3.0346222,-0.4075688,4.3951683,0.2970496,1.7175672
1.0944314,0.26277587,-1.994482,0.2550022,0.9624686,0.63224673,2.0371108
-2.3634377,-0.15239327,-1.4736881,-0.1271631,-0.8678635,2.5008101,-1.0836657
-0.90583926,-1.917496,0.5988436,1.2936524,1.0142576,1.0422496,1.5425495
1.4418175,-2.2468905,-0.9192687,1.7380301,1.5901804,-0.13848108,0.6293683
0.54522014,-0.48804063,-2.0920167,2.2830145,-0.7556934,-0.24810733,-0.7080913
0.7703006,-0.7357102,-2.7577062,1.3740884,0.029680558,1.1673397,-1.0129652
-2.3029788,-0.38918507,0.39815918,0.036497563,0.56582785,0.04173105,-3.5692792
3.8680997,-4.335211,-0.83261067,1.0367844,3.878987,0.0075154034,2.6799057
1.3059427,-4.444754,1.7738268,1.631658,-1.7390431,2.230565,-1.6847793
-0.7351913,-0.45696276,-2.743128,0.10296888,1.4352741,2.4161303,-0.42268604
-0.72350234,-0.49915692,-1.3349389,0.84261143,-0.36234993,1.92116,-0.06530967
2.9892683,-0.17190209,-0.10063966,0.9060314,3.0560238,-4.0336113,4.141214
-2.186052,-0.44009867,1.348506,1.1986004,0.28032124,-0.037549816,2.48608
-1.7087425,-1.265735,-0.44767675,-0.1908868,-0.12022508,2.3579106,-2.344286
-1.5257177,-2.7169626,2.480703,1.5880133,1.0047084,1.2076523,1.1399217
-1.2662166,0.27601278,-1.4904135,0.47750768,-0.18022837,1.2156782,-1.5557226
0.4394663,-2.5378075,-1.0334619,1.2188882,1.6461219,1.966145,2.213615
-0.12891266,-0.5524891,-1.5217348,0.71269095,1.0807008,0.98596317,-0.1587554
-1.0403788,-0.65311575,0.32394975,1.2677455,-2.145761,-0.3475338,-1.0768081
1.0721182,-1.1916025,-1.3354055,0.9673631,1.024553,0.58941966,1.3358008
-2.197166,-0.2117122,-1.3296024,-0.13588294,0.892217,1.1127317,-4.208694
-0.38916194,1.0015062,-2.4523213,1.3360138,-1.8205968,1.0141615,-0.38138554
-3.5425766,-0.9241438,2.9386997,-0.8155655,1.8625582,0.4761694,-3.4524217
1.5970496,-1.1840239,-1.4301821,3.2967243,-3.396622,-1.7155479,-0.6715936
-1.3126297,-2.33925,2.408488,0.9666472,-2.7745943,0.18684855,-1.147856
-0.542062,-0.7828209,-2.9388363,0.64156055,-0.2679198,2.9638813,-1.2521191
0.64859945,-2.228148,-1.2764121,1.3543671,-0.05415495,1.9581599,-1.2156545
0.48816863,-0.34399635,-1.2482849,1.6486467,-0.03424828,-0.27775922,0.28157085
0.42200357,-0.12046086,-2.157461,1.2330279,-0.25714087,0.78612804,-0.43755355
0.8885795,-1.1606585,0.06261231,-0.5278548,4.5925403,-2.3267796,2.7958033
2.2930386,-2.3144624,-0.82874167,2.129539,1.1780919,-0.41138476,1.5130775
0.055032086,1.0119452,-0.47569692,1.0359263,0.22334635,-1.2320852,1.8831611
-2.7843392,-1.3036942,1.600379,1.016333,1.4182907,0.7020595,1.771842
-0.06412987,-0.7613416,-0.73509604,-0.18210617,2.7539434,0.0039968593,2.6139262
0.3474014,-1.0258273,-0.58281845,0.6975223,1.5661061,-0.05712311,3.0658004
0.87294185,-2.1416194,-0.23366371,2.06155,0.13911122,1.0041702,1.7471875
-0.3620995,-0.36326826,-0.49595463,1.2328527,0.19084859,0.08215415,0.26839742
-0.61119425,0.037100695,-0.6075101,1.0038607,0.36727512,0.26844808,0.710859
3.1792989,0.7004361,-3.3514576,2.9621236,-1.8827212,-0.85086304,0.7638157
1.2575378,-0.4240216,-3.387986,1.4510075,-0.43753296,1.5605143,-0.6943427
-1.0234872,-2.6802516,-2.027196,0.26244733,-1.0241765,4.170928,-2.5460956
-0.19839999,-0.42973402,-0.86672604,1.1324939,-0.037101123,0.526592,0.17512193
-2.0779479,-0.19511609,0.33464882,1.2677706,0.09739038,0.33541876,4.1976476
-3.6743376,-0.09336875,-0.22746086,-0.81922364,1.3158996,2.333556,-2.1267686
-0.6404384,-0.9015277,-1.4539809,0.6816067,-0.459619,1.5267422,-1.8304113
-2.6109307,-0.9832767,2.1185968,0.03432008,0.5716123,0.63645405,-1.4349302
-1.4234759,-0.6186576,0.080877505,0.46944422,0.4042848,1.2397752,-0.8252807
1.258642,0.6755744,-2.4172785,2.495595,-1.6776867,-0.43387207,0.10512032
1.6381283,-2.5335827,-2.065248,0.9111949,2.1341069,1.2464275,0.46284544
0.76715064,0.52093,-0.59496117,1.9347142,0.24927147,-2.2651134,1.729118
-0.31661627,-0.84974855,-0.043896273,1.5551952,-0.2139093,-0.022789555,-0.12541872
-3.6309404,-0.12522633,2.4000216,0.55603707,1.4196485,-0.602037,0.1562715
-0.4256411,-0.94453603,0.2360441,1.5943693,-0.3336268,0.26158026,0.74859136
-3.1034493,0.08069315,-0.9160078,-0.89561427,1.4687567,1.8843726,-4.3348303
-2.0539732,-0.211537,-0.9686546,0.17638692,-1.339063,1.8584559,-1.1274433
0.8967341,1.207015,-2.0406015,3.0128508,-1.5145861,-1.8188527,0.18349391
-1.5618159,-0.8912093,-0.16739598,0.15558693,-1.4923762,0.860308,-2.2407591
-3.634704,-2.0680952,3.649739,-0.6377865,1.4601722,1.650519,-2.407965
-1.7278755,-2.042425,0.68569505,1.4112694,0.950052,1.8051074,2.7509134
-1.6536605,-0.26377743,1.4675757,1.6946565,-0.30575886,-1.0241889,0.70131606
-2.7080028,-2.347312,3.09666,0.4981152,0.2512528,1.9208536,0.024999803
-0.12245354,-2.1430688,-2.7643795,0.6911463,-1.5729878,3.3156254,-2.5657198
0.10307034,-1.7420621,-3.157318,0.74134195,0.6701629,3.1141772,-1.7754163
-1.5440161,-0.7964157,-2.2918208,0.24892552,1.5030094,2.934963,1.0836061
-0.4807179,1.0640167,-0.35708356,1.9355018,-1.0703903,-1.4118638,0.8944034
-0.6368015,-1.5144347,0.3825849,1.2056265,1.0969636,0.63972676,1.925218
-1.185025,-1.1392937,0.22316825,0.5571414,0.2152738,0.7272048,-2.0459752
0.120909356,-0.5777704,-1.1066515,0.83295095,2.0885344,-0.38445896,0.06457581
0.30514842,-0.18044084,-0.119573615,2.2123852,-0.79237765,-1.2969828,1.3221467
-2.6611562,0.46976188,0.76094073,0.48885432,3.3334901,-1.7870978,-1.3652302
-2.8934371,0.96563184,0.5134881,-0.026073119,0.6148059,-0.11793104,-1.7096368
0.24625655,-0.91573197,0.26865304,0.5145688,2.2504106,-1.319659,2.3461568
-1.5360826,0.12740171,-0.28898957,0.5253096,1.0526271,0.48698926,2.3018925
0.6957483,-0.8996745,-0.1637415,1.9431783,0.11279275,-0.82682943,2.0382462
0.3787091,-2.7125304,-4.4660316,0.3179106,2.187526,4.52735,0.3190441
-1.5313065,0.2165198,0.87092835,0.32880554,1.9013385,-1.0606363,2.9344952
-0.3388545,0.21807712,0.2750765,0.08206829,1.7717032,-1.1714188,2.8735952
-1.3067553,-0.743808,0.28778678,1.0573593,0.61446226,-0.30654123,-1.3327904
2.5678186,-1.2004263,-2.8895953,-0.6316149,2.6655874,1.5222225,2.8164978
0.18950523,-2.0329182,-1.1726246,1.0146068,-0.7730699,1.9652715,-1.587071
-1.1954142,-1.0247331,-0.21121569,0.76024324,0.6532598,0.6632216,-2.3360972
0.56253606,-0.21913765,-4.161477,1.7701172,-3.7151897,1.2359474,-2.5952964
-0.32119286,-1.8972602,0.7042559,1.4922379,2.8930566,-1.288901,0.2618072
-0.60287374,-1.4379337,0.79330987,2.2778401,-1.1004224,0.85872346,2.3111498
-3.1001682,-2.604008,1.9382873,-0.48618805,0.6686299,3.4012408,-1.7746054
-2.1981413,-0.46354026,1.0775274,0.47225642,1.5247798,-0.48543543,-2.833178
-0.67027646,-0.5960923,-0.03340782,1.0625678,0.61427736,0.18887448,0.39453304
-2.146738,-0.7935027,0.11017072,0.64460176,1.3351322,1.1737548,2.9529707
0.08296102,-0.72923154,-0.5624659,1.4570382,0.66713774,-0.26160386,0.40463004
-2.5818827,-2.224193,3.5145078,0.27599037,-1.4053234,0.22937979,-1.371793
-3.010373,-1.0240052,2.6167,0.75102276,1.0657254,0.2093956,0.3233849
0.96769476,-0.7543884,-1.1266513,1.7340828,0.4459841,-0.4531486,0.6574525
0.75750583,-1.07393,-2.0181315,1.3028265,0.2939961,1.0276554,-0.54073185
-0.12923215,-0.3786944,0.82975286,2.821822,-0.79761016,-2.5620434,1.3073437
0.80164427,-4.0950785,-3.8725755,-0.63956404,5.6911836,3.7247431,3.5951166
0.9014355,-2.4898577,0.16400647,2.1038334,0.3349972,1.1585903,1.9169552
-1.7763174,-0.21982777,-1.5355619,0.38042653,-1.0066848,2.3732624,-0.3734439
-1.2581851,-2.3398168,0.6315829,0.6996882,-0.8284766,2.7406192,-0.7505258
-1.1642591,-2.3148637,2.3252244,0.91605955,0.005371781,0.4114705,-1.415774
0.6731918,-1.2452314,-0.48720884,-0.18567394,3.472185,-0.92242414,2.065809
2.4349926,-2.5695472,-1.3165519,0.9633561,2.3067682,0.3183987,1.7121701
-2.6120663,-2.6247625,3.6426187,-0.8548894,1.1854159,0.34380403,-4.7332544
1.1603723,-0.91333055,-1.2739673,1.7621527,0.6333059,-0.43603733,0.89615077
-1.1935517,-1.2278248,1.0660038,1.4196639,1.716659,-0.78398544,0.45381895
-1.5528814,-0.12693098,0.4466931,0.90818167,0.38343203,-0.21438177,-1.1291603
-2.409991,-1.3828962,-0.7259562,-0.00095720467,0.87610507,3.3281794,-1.4998623
-1.2763238,-1.773085,-2.207899,0.66632617,0.0947683,3.9199312,-0.7653212
-1.4941918,-0.19067003,0.62514806,1.109032,1.231299,-0.863808,0.12653174
0.07559989,-2.1576498,0.35307002,1.3181841,-0.5132736,0.9900148,-1.1129006
