Engine,Feature,KS Statistic,P-Value
Physics-Informed Monte Carlo,Brix,0.17354545454545456,0.023267205835026575
Physics-Informed Monte Carlo,TA,0.091,0.5620216423862693
Physics-Informed Monte Carlo,Firmness,0.22453246753246758,0.0011727268102764985
Physics-Informed Monte Carlo,DryMatter,0.16223376623376629,0.04128802226789626
Physics-Informed Monte Carlo,K,0.18253246753246755,0.014547201599992003
Physics-Informed Monte Carlo,Ca,0.2571298701298702,0.00011984381306640152
Physics-Informed Monte Carlo,Mg,0.2073246753246753,0.003577061214863213
Physics-Informed Monte Carlo,P,0.25937662337662337,9.809880109114911e-05
Mcmc,Brix,0.0635714285714285,0.9154136102586425
Mcmc,TA,0.12235064935064938,0.2156206499928111
Mcmc,Firmness,0.11202597402597403,0.307039985737318
Mcmc,DryMatter,0.0659090909090908,0.8929207962486518
Mcmc,K,0.06654545454545446,0.8866966999891325
Mcmc,Ca,0.12425974025974029,0.20175279873264784
Mcmc,Mg,0.06503896103896112,0.902487057831938
Mcmc,P,0.1036103896103896,0.39667290344538253
Regression,Brix,0.13754545454545458,0.12035723361799154
Regression,TA,0.07848051948051948,0.738439055420028
Regression,Firmness,0.157025974025974,0.052528081497362704
Regression,DryMatter,0.12148051948051952,0.22169493472253585
Regression,K,0.14153246753246757,0.10228083441578664
Regression,Ca,0.17712987012987014,0.019750735362604625
Regression,Mg,0.1442597402597403,0.0921986641999559
Regression,P,0.1964545454545455,0.006729404803946692
Variational Autoencoder,Brix,0.2695454545454546,4.353909238155383e-05
Variational Autoencoder,TA,0.16870129870129874,0.029667033098640952
Variational Autoencoder,Firmness,0.29353246753246753,5.8163644028336305e-06
Variational Autoencoder,DryMatter,0.1992337662337662,0.005838764292515275
Variational Autoencoder,K,0.2863116883116883,1.116248966714976e-05
Variational Autoencoder,Ca,0.2711298701298702,4.009929668898754e-05
Variational Autoencoder,Mg,0.3383246753246753,8.394222423251965e-08
Variational Autoencoder,P,0.2914545454545455,6.965413174980216e-06
Physics-Informed VAE,Brix,0.06803896103896112,0.8716056712556124
Physics-Informed VAE,TA,0.07048051948051948,0.842850696922438
Physics-Informed VAE,Firmness,0.09901298701298701,0.45497039300525954
Physics-Informed VAE,DryMatter,0.11150649350649355,0.3108240477201693
Physics-Informed VAE,K,0.10724675324675326,0.35712091160157017
Physics-Informed VAE,Ca,0.1231298701298702,0.21045789278936886
Physics-Informed VAE,Mg,0.11332467532467527,0.29391501725481917
Physics-Informed VAE,P,0.14761038961038964,0.07888015823915978
