Brix,TA,Firmness,DryMatter,K,Ca,Mg,P
14.5,12.65,2.2,14.7,1153.0,24.4,51.7,79.6
13.0,10.2375,2.1,17.1,1307.0,89.7,69.6,89.5
15.0,13.545,2.55,13.6,1348.0,31.1,57.5,89.1
11.0,6.8775,1.5,12.4,836.0,38.7,45.7,53.2
14.0,12.75,4.4,15.4,1340.0,49.1,81.3,103.7
12.5,7.7175,1.95,16.2,1259.0,64.8,71.5,90.0
12.5,11.655,3.2,14.6,727.0,33.3,38.7,44.1
10.0,7.245,1.45,14.4,737.0,49.4,47.5,52.5
12.0,6.8775,1.5,13.7,1353.0,54.7,96.1,134.2
16.5,12.45,3.8,18.4,1326.0,31.1,58.6,87.5
12.0,6.51,1.65,12.0,678.0,37.4,36.3,44.4
11.5,6.1425,1.45,14.9,730.0,35.5,41.3,47.2
10.5,6.825,1.6,10.9,726.0,29.4,38.3,49.4
13.5,11.6,2.8,14.4,746.0,30.0,39.3,48.4
13.0,10.35,4.1,13.9,582.0,36.8,29.4,36.2
15.0,17.1,3.1,17.7,1165.0,28.6,49.4,84.8
13.0,11.6,3.5,15.4,632.0,53.1,33.8,32.3
11.0,6.825,1.55,14.4,814.0,63.9,51.0,52.4
16.0,15.6,4.3,15.3,1001.0,28.6,47.5,59.7
15.0,15.3,4.9,16.6,1622.0,45.0,96.1,132.6
14.0,8.295,2.1,16.1,1512.0,47.2,85.7,114.7
15.0,12.5,2.25,18.0,1290.0,47.2,59.2,89.5
16.0,12.18,4.2,20.0,1659.0,55.9,99.6,127.8
12.5,11.13,3.8,12.9,541.0,31.1,26.8,34.0
13.0,11.35,1.9,14.8,1632.0,66.2,103.5,144.8
11.0,5.67,1.4,13.3,733.0,32.0,38.7,49.0
13.0,8.7675,3.0,15.5,733.0,54.9,41.1,39.3
14.0,7.0875,4.4,16.2,1325.0,46.5,83.0,89.8
13.0,10.6,1.85,16.0,670.0,30.9,34.8,34.6
13.0,7.9,3.6,12.0,730.0,38.1,37.5,37.3
15.0,13.6,2.1,15.9,1046.0,22.5,48.5,76.1
15.0,15.9,3.8,17.2,1022.0,35.7,48.4,65.1
15.0,10.6575,2.75,18.3,1009.0,52.8,49.1,49.0
14.0,9.765,1.75,16.5,760.0,33.7,38.8,40.6
14.0,12.65,1.75,16.3,1163.0,23.6,51.0,84.2
14.0,13.0,3.2,16.2,1212.0,32.0,53.8,82.9
13.0,6.405,3.6,13.8,607.0,51.4,37.7,37.6
11.5,7.0875,1.5,14.0,943.0,64.2,59.4,68.9
13.0,7.4025,1.7,16.6,1355.0,66.2,83.2,104.5
12.0,8.4525,1.65,11.8,1290.0,45.1,63.6,88.4
13.0,7.455,3.6,12.0,666.0,37.4,34.4,34.2
12.0,6.51,1.65,12.7,795.0,37.8,41.9,50.4
14.0,18.3,5.8,14.6,1478.0,38.4,83.2,94.0
12.0,6.825,1.55,14.6,742.0,31.6,39.1,41.5
11.0,9.45,1.6,13.5,917.0,40.8,50.0,59.5
