Brix,TA,Firmness,DryMatter,K,Ca,Mg,P
14.521377,9.318649,1.5434556,18.826517,1298.5684,66.85909,57.93391,79.75817
13.913619,14.38275,3.4133222,11.222078,1444.6107,43.703503,73.12096,98.88519
16.85744,12.859913,5.5484447,15.296354,1436.9596,33.804855,75.68472,84.774734
12.021744,10.975432,2.7458096,16.613968,1163.8231,100.068565,66.6767,72.71471
13.799372,10.258411,4.8762083,13.616477,977.3459,37.56101,53.61467,66.06155
16.035496,19.737434,4.0589128,13.680293,1302.5422,26.160526,56.537846,73.48703
13.574108,9.346272,5.090024,14.013298,790.6276,55.07271,47.57029,47.549805
11.767268,8.4834385,1.7881916,12.958647,973.534,17.299814,45.05163,54.20202
14.332413,14.125266,4.591756,14.978699,1307.5737,36.777718,68.51165,95.87463
11.061487,12.021986,4.1863823,13.637114,693.00616,37.784477,37.2049,39.264153
12.477861,8.269859,1.8849285,14.643915,964.3273,43.745323,49.61142,60.87207
14.589893,17.724483,3.6605573,15.596365,1190.845,25.974504,54.869457,81.20301
12.261917,17.418903,4.988199,12.646999,1276.5594,49.478245,72.70869,83.70624
15.893826,16.384089,3.6560373,17.19402,1075.4083,29.826015,48.69493,72.88212
13.113112,11.571786,3.8501194,16.473043,972.97217,49.144207,51.246105,63.629303
12.81205,14.240994,4.46756,15.849918,1199.9581,55.42976,66.685905,87.817505
12.816033,7.6929283,1.7572294,13.80529,937.3084,23.27738,43.267136,61.052013
13.620189,10.134179,4.435336,14.357312,1573.8424,91.842354,106.322,139.37796
17.560951,10.157864,6.239524,15.727876,1002.5616,46.640007,60.069275,35.29086
10.956573,5.4673257,2.3700116,10.375414,767.98157,55.4216,45.593307,54.879875
13.390373,8.9192,2.0476205,11.53184,1100.8071,24.538738,47.941753,66.793144
12.99868,10.137475,4.902383,14.912967,967.839,98.832596,61.348824,62.75611
10.971186,22.52501,3.003579,12.530552,1278.8903,58.844772,76.86214,85.68066
13.709389,9.056226,1.5412834,17.18406,1489.6624,122.85675,76.2547,97.689674
11.863521,6.6869926,2.1800756,13.662921,1090.2374,59.605583,61.28064,84.15152
13.190568,5.857206,1.5244745,16.41051,782.0072,82.30022,45.436886,47.619987
12.407435,12.656742,4.4396586,14.776769,1017.61,46.231922,55.231308,67.85141
13.129045,8.913809,2.8257058,14.752008,1120.8019,49.230885,59.838326,84.05322
12.156145,8.450072,3.6841993,13.177041,783.03796,61.52748,46.417843,53.368816
11.413541,6.751371,1.5587198,13.238323,746.97076,37.243355,40.59826,44.89782
14.569205,9.659508,5.1783175,14.095769,1207.0824,36.830555,68.49124,85.63963
13.275752,16.709747,2.97712,15.487099,1330.4438,47.20435,71.35895,97.21395
14.415362,12.998413,2.1352959,19.285877,1369.2029,74.080154,66.99661,89.86796
18.012398,18.9231,4.2729254,12.550947,1705.5603,21.705975,77.31649,96.682205
11.816009,8.869372,1.5652665,12.944181,1035.0693,36.612682,53.248104,62.89713
14.699129,10.774612,2.075722,19.587944,1257.9684,205.86551,56.499428,58.944355
13.19774,9.603013,4.0868163,13.745253,552.73944,38.819298,30.689096,35.65236
15.706513,16.280882,2.9162877,17.341513,1193.0414,22.083456,53.298027,82.09935
13.806447,8.328444,3.3220654,9.46316,900.4221,35.073524,36.76754,46.366295
11.738853,8.920322,1.7694838,13.043219,841.2374,25.956944,39.623062,46.620346
13.621626,7.128214,3.2506742,11.194101,1272.5348,29.788116,63.62706,82.33329
11.742009,6.667134,1.6842878,14.021368,967.5449,78.909744,51.046394,68.428276
12.290068,13.414223,2.6855133,13.50373,1459.274,214.39157,94.69115,117.58818
14.066569,8.544323,2.3121367,16.71447,1573.282,44.810177,82.578354,120.65726
14.405498,16.76555,2.5433514,17.331413,1244.7056,39.324776,59.639786,75.819244
14.553769,12.6847,6.2288504,17.058603,1319.5458,85.32404,80.09773,76.87791
13.939194,14.757584,3.187803,14.256423,1284.4482,33.463337,63.88783,90.679504
13.361859,11.447848,3.320693,17.555006,1341.1124,196.99776,73.16838,87.39488
13.441962,14.76103,1.9567618,12.732929,1157.8246,25.486767,51.80192,64.46315
12.891542,9.581806,2.7309577,14.9714575,1361.7927,113.6711,81.77114,110.586525
13.352049,12.400921,2.581713,16.318233,838.865,36.77195,41.438503,47.552895
12.938369,12.867304,2.5424612,16.147747,1171.5104,50.118763,59.772808,77.40787
17.145325,12.977788,3.846992,16.359756,1196.6284,16.218992,53.624043,80.715065
13.49475,14.2607565,4.137613,16.549276,1196.8726,45.090034,60.57627,83.80067
16.082825,13.081291,3.4010987,16.890976,910.06757,25.217323,42.939774,57.67425
13.89973,13.824906,6.7506456,12.675055,1456.4321,90.14997,96.99782,99.29114
10.350713,6.901018,1.5223761,11.656626,651.7948,40.802204,36.6173,48.914623
12.82156,9.804513,1.4280032,10.002566,1175.2834,26.776329,49.391865,63.007088
18.693468,16.86847,4.022192,15.3403225,1056.824,31.638168,44.768215,56.634087
15.587849,10.875575,5.627421,16.17072,803.3188,78.960724,47.914085,23.776306
12.546985,11.882993,1.7246957,15.785818,1416.2495,115.85248,83.16994,98.47342
11.680594,7.084017,1.5145099,13.607065,833.1447,41.497948,44.299458,50.603302
14.670146,10.87835,3.363069,17.375515,1708.6191,145.12537,98.4798,138.89842
12.673838,16.624058,3.5418777,13.898346,947.56134,27.275623,45.78137,52.20535
12.278889,7.996496,1.4606183,15.588456,955.44275,49.417084,49.39457,52.580482
12.792612,8.993251,3.454732,13.527174,1140.1863,56.91233,65.69715,89.05563
11.642459,8.497605,2.7957993,13.222964,750.1886,46.309566,43.416397,50.040287
12.685451,19.572453,5.5350666,12.62337,1405.8828,48.351265,81.920425,89.761765
14.8207245,12.974661,3.5408204,16.045748,665.94666,41.256496,35.061684,36.49558
12.934874,7.097078,1.5704161,14.969317,1068.4526,27.248344,50.798603,72.72279
10.946772,6.598346,1.4582969,12.841712,852.2632,45.18168,46.51936,54.8008
11.777809,10.960735,2.9757917,14.700573,741.5059,39.70662,39.901207,39.624737
15.574436,8.620776,1.9377148,18.658747,1473.0286,15.014254,58.567833,105.11802
15.9282,14.754245,2.6587498,21.195139,1684.7085,91.83653,85.97525,127.14357
14.965038,15.796923,4.648723,10.898596,1303.0106,34.726765,62.083157,64.79731
11.180833,15.9048195,3.2127516,12.974676,1240.884,97.27243,83.39403,97.680405
12.0883255,14.080722,2.589606,15.00456,1058.3544,42.56612,52.92393,59.44575
14.012277,10.614405,2.8526576,11.966262,1050.4152,26.797783,47.742897,62.072063
15.123335,17.494505,4.2326593,16.524805,1242.7528,28.663353,56.109097,87.0314
13.454941,6.7496605,1.4460752,16.36863,989.87213,32.578495,45.345215,61.132504
15.47624,18.871748,2.6161969,19.61264,1380.6135,47.89156,65.464165,96.36918
13.480971,15.529804,3.3615162,15.214272,998.14294,29.286694,46.49496,60.068684
14.377201,12.151185,4.0304794,14.686252,621.07324,39.328987,33.752728,33.439163
14.691729,9.943782,2.923288,16.462992,1377.7122,38.209454,66.04228,102.17639
12.152246,13.863234,2.2103372,15.568857,1196.9225,55.993355,63.856407,75.681
13.012806,11.249949,3.859418,16.854391,1132.0674,148.66293,65.09856,75.26798
15.588119,19.50033,2.565381,18.97506,1369.0243,39.913185,63.962765,92.38638
13.065803,11.207506,1.9714645,15.818307,1459.05,128.37648,85.403,108.566605
11.303877,18.283651,3.7671022,15.446135,1164.3815,45.419666,66.477905,77.439476
14.09838,11.4706,5.709444,16.130087,1233.2668,67.5556,71.52522,84.065704
12.768566,6.607228,2.2891388,10.851591,1026.8824,24.800957,47.726994,64.1477
15.739114,8.785433,3.3553245,13.900097,1271.8757,15.196672,59.087067,80.52722
14.165231,14.052139,3.2850368,18.122295,1234.0128,50.323017,59.1376,82.70802
10.646924,12.503456,3.9709468,14.109073,645.05316,35.432236,34.893562,38.65451
12.618861,8.990818,1.8410071,12.019083,1281.4828,30.84269,64.80803,90.60212
13.961071,15.302385,2.9718325,12.421107,860.71747,28.732208,39.21904,43.232155
13.724539,7.9800487,2.4598196,15.159858,625.4175,38.191982,34.262016,37.077736
13.681097,8.907907,3.8329697,15.050001,1137.0823,74.67531,67.53151,82.26381
14.210325,7.60895,2.374172,15.380403,1580.7598,20.457651,78.5362,120.185104
11.964935,6.0925736,1.5343293,15.492653,936.7432,45.39241,51.803265,52.301266
11.885982,12.124858,2.7931244,13.242916,1181.4155,54.621128,66.37431,85.92868
11.166293,15.4476185,3.7676723,14.337905,794.3047,32.67225,42.416004,43.400356
12.792638,13.088062,4.3278,16.996304,801.4458,77.092865,43.61669,41.98342
10.712509,11.969967,2.851489,13.111775,877.75024,39.019234,48.334755,52.275124
13.998269,7.817342,2.5372694,14.190746,1085.2727,23.937061,51.804733,78.55004
14.465262,14.811285,3.1164699,17.843689,851.9854,51.64397,41.435806,43.903694
12.082054,9.622053,2.7166731,13.963867,1225.6816,163.40314,75.8032,97.70746
14.503465,14.232569,3.039128,18.125237,1109.6847,44.564346,51.002316,68.660065
12.046636,6.78603,1.6732527,14.5905905,769.86725,28.60978,38.79175,41.86621
10.10695,10.77319,2.3322082,13.582022,973.4137,89.9396,60.623226,58.868862
14.982193,10.990002,2.9552624,17.450712,1512.8098,35.91468,73.92354,113.01973
14.6035,11.549041,2.6298046,15.701032,664.1179,29.887497,32.645187,39.034527
12.008053,11.892354,4.0367675,14.294363,673.34827,36.38461,36.886547,39.009018
10.774222,12.3188305,1.7884219,9.711063,1094.3651,47.29634,53.028683,65.917244
11.755774,14.959866,2.4649394,12.124028,1156.2478,44.652256,59.271893,73.384544
14.7508545,8.136527,2.1476538,15.454493,1124.8004,19.523254,50.24615,79.94637
14.484598,8.281584,3.6289215,13.710327,694.6179,27.333094,38.089462,44.167496
13.757304,10.604482,1.9700364,15.307758,1081.2241,24.488148,49.579712,67.29898
12.45571,5.842705,2.510036,10.107258,1035.5411,33.24882,51.17456,65.78868
15.471023,16.07935,2.9263818,18.598286,1345.4092,37.152256,60.975693,92.05643
10.681666,4.7682757,1.5590312,8.072166,869.4787,46.79088,38.296192,57.008545
13.79249,12.55107,2.1471536,18.224377,1345.5842,70.19954,68.80168,91.9095
12.666172,6.194738,1.5421364,15.329433,877.04175,38.591114,42.82614,55.451126
11.702934,7.2007947,1.5209147,12.34767,1002.4934,25.598442,49.87258,61.904903
12.778204,7.287448,1.7449305,15.375824,898.28296,41.85866,46.25627,55.340263
15.845525,12.605495,3.3883908,14.408635,1258.5239,18.632145,56.60404,82.663574
13.349132,7.035898,2.0525339,15.220379,1186.4323,37.965374,58.639023,87.74823
13.359726,10.584757,3.4338608,15.923063,672.40906,39.246574,35.234142,38.281944
12.790614,10.811113,2.249376,13.1081085,1604.4242,62.10274,104.87807,140.78802
14.021138,13.76669,5.0117035,17.055613,1343.199,75.37642,79.881454,105.76151
13.550092,7.367782,2.5196986,15.66539,1361.11,51.2502,72.36455,105.313095
12.903881,7.326872,1.8078828,11.08333,594.0947,25.68378,20.747988,29.834373
13.055977,11.467623,1.8448421,11.630111,1125.154,29.60943,51.352547,66.32574
11.643698,12.157379,4.520643,14.327596,721.4833,50.4477,40.362263,41.581085
12.409516,9.291351,1.6270335,12.789932,1077.1881,24.972363,51.968933,65.220604
12.813863,10.744587,4.144416,16.075012,849.937,87.62279,50.705532,54.527035
16.177795,14.35907,4.0139546,16.666372,1318.5515,20.394817,59.191494,92.30237
14.969664,14.162315,2.0802548,11.149522,1199.0299,26.562248,47.955273,62.0549
14.593187,18.029501,3.897902,18.745512,1377.4242,59.490585,76.604,112.09155
17.213013,23.998844,3.3722918,18.602072,1300.6475,25.276428,53.163986,88.736084
11.98046,11.465296,3.6161237,14.451075,726.647,37.5186,39.046448,42.409042
13.70671,8.66686,2.5181305,16.066614,812.8927,38.41364,41.74905,48.42423
14.878774,19.331657,3.9229984,16.124472,1174.634,29.992304,52.859287,79.55841
18.22565,14.92202,3.8873527,14.363487,1396.2161,16.683687,59.15594,78.20597
12.06251,7.5848603,1.5710089,14.249447,966.74255,29.668514,47.358963,55.49354
14.668778,15.624508,4.818398,18.755987,1413.0946,84.45897,83.87754,100.16577
14.618014,14.616766,2.0540845,15.885188,1262.5292,27.28523,58.848457,80.51487
12.485714,15.759821,3.6499238,12.203844,1053.2944,35.751297,50.898323,58.15901
15.712331,15.82289,4.286046,15.45485,1412.8981,27.011429,66.86691,94.646835
12.11818,12.478654,3.5251112,15.449134,865.1746,42.204895,45.146202,50.284058
14.95586,9.765964,1.7333187,16.469967,1312.4137,15.504812,56.566273,98.42079
10.688019,12.285854,1.912867,13.784645,1121.9604,64.87291,64.373795,64.511826
11.519358,9.438725,1.74887,12.92747,1238.4299,69.122986,74.865,91.808395
