Engine,Feature,KS Statistic,P-Value
Physics-Informed Monte Carlo,ripeness_index,0.10166666666666668,0.01580706911063452
Physics-Informed Monte Carlo,sugar_content_brix,0.08533333333333337,0.06561475594081739
Physics-Informed Monte Carlo,firmness_kgf,0.093,0.03469677997022317
Physics-Informed Monte Carlo,length_cm,0.06366666666666665,0.294775622148817
Physics-Informed Monte Carlo,weight_g,0.08700000000000002,0.057394284063480606
Regression,ripeness_index,0.07166666666666667,0.17830948015752746
Regression,sugar_content_brix,0.06466666666666665,0.2777820719110724
Regression,firmness_kgf,0.052999999999999936,0.5191947516336174
Regression,length_cm,0.07799999999999996,0.11466343097688314
Regression,weight_g,0.07666666666666666,0.1262282667184008
Variational Autoencoder,ripeness_index,0.11833333333333329,0.0028619453900707767
Variational Autoencoder,sugar_content_brix,0.08366666666666667,0.07481879044682191
Variational Autoencoder,firmness_kgf,0.11266666666666669,0.005268163764541255
Variational Autoencoder,length_cm,0.081,0.09180923473833105
Variational Autoencoder,weight_g,0.077,0.12325132109723405
Physics-Informed VAE (Hybrid),ripeness_index,0.07466666666666666,0.14534306137586098
Physics-Informed VAE (Hybrid),sugar_content_brix,0.05033333333333334,0.5854097815160919
Physics-Informed VAE (Hybrid),firmness_kgf,0.0606666666666667,0.35008137885100415
Physics-Informed VAE (Hybrid),length_cm,0.044333333333333336,0.738119607648162
Physics-Informed VAE (Hybrid),weight_g,0.041000000000000036,0.8177222937385226
