ripeness_index,sugar_content_brix,firmness_kgf,length_cm,weight_g
6.04,19.93,2.04,12.385406,231.30872
6.95,18.06,0.739015,22.09,150.67291
5.870345,17.370491,3.3431149,22.146519,91.463715
3.93,16.58,3.018865,16.460775,108.068115
1.185235,18.133076,3.27,11.6338005,237.05032
5.8,17.58173,1.4714949,21.930546,89.52095
6.93,19.639034,1.74,16.228947,107.13212
6.3012295,15.723305,4.7,16.341366,215.17516
1.153765,15.78,4.19,29.27742,129.12476
1.7980149,20.559574,3.08,16.26506,126.926094
2.94,16.82,1.640995,27.121613,185.94357
3.8737104,21.386335,3.92,10.546375,220.47766
3.593275,15.74,1.32,15.785545,142.7894
4.96,21.72,1.4136349,13.939461,81.522316
4.74,19.93,1.3499999,24.296295,174.86539
4.24,20.8,1.897285,20.110535,154.89827
1.3500001,19.95,0.9215249,23.26,162.10637
5.835395,16.01778,0.74998486,13.230825,176.7738
4.82,16.822065,3.9516149,14.10498,238.13303
2.274405,19.656994,3.8200002,28.28534,227.56
5.14,18.34,4.172285,22.51,86.6311
6.395465,17.05,2.6,17.504906,243.71143
5.948205,21.147705,1.59,27.320814,154.00757
3.8355799,18.980776,1.71,25.27,222.6568
6.21,19.411375,4.02,13.540001,227.25684
5.795495,17.40039,0.5813551,15.05,136.34767
4.3630447,18.010265,3.172545,11.946575,166.84767
6.95,15.75081,1.8627298,12.642196,198.47563
3.3899999,17.129526,4.589345,14.948805,144.10683
6.6671047,20.469774,4.357805,24.76,243.37521
5.84,15.841225,3.53,22.91,160.59988
4.61,16.162766,3.92,28.631289,238.49158
4.749235,18.66,1.23,24.848036,208.57214
2.3721652,21.227604,4.6504297,10.404651,139.24812
5.5777097,15.456775,3.259335,27.739191,144.42862
2.29,15.3300705,2.68,22.25999,132.85625
5.13,20.63,4.8468046,22.555876,152.83868
5.4,18.017256,0.72406495,26.247335,162.21552
1.222125,20.336044,2.76,16.300001,129.3221
4.064515,19.520205,4.27,18.15247,102.036835
2.777585,20.0,4.6800003,12.790331,161.11557
4.0949497,21.746805,0.885605,28.596127,246.07312
5.1,18.537525,1.193165,27.6,97.81422
3.77,20.817234,0.61125493,14.08,109.401566
2.6933298,19.126295,3.3242903,18.014006,133.69269
3.286785,17.842505,2.4051151,23.611511,113.7567
6.613225,20.59,4.123355,10.799216,158.09761
6.80187,17.496109,1.360725,16.143421,114.325226
1.5369301,19.502245,0.55999994,29.427065,108.29422
1.318985,17.05,4.084425,23.650002,165.03532
1.522495,15.46,1.75,11.6037655,85.82016
4.62,15.31,3.94,26.2673,165.20712
5.79,21.89,4.0,29.847576,149.11252
2.83,16.600325,1.0546901,10.26,223.39275
1.041455,19.509235,3.8169646,16.86387,128.70323
5.3285103,19.36,1.7267148,16.560001,247.38165
4.7,21.1,0.83548987,20.01,238.52652
4.66,17.122536,1.9100001,21.118965,183.91869
5.68,20.067366,3.3650553,10.970001,154.63309
3.088055,20.55,4.5404153,22.89011,95.03386
5.11523,20.36597,3.45,20.95231,165.81929
2.5900002,17.44,4.7878747,23.886906,172.80473
5.18,21.35,0.95948505,21.004284,190.41649
2.863405,19.74,0.732025,17.069176,148.01562
4.04,21.32,1.4066449,29.07197,83.1994
2.3200002,21.136736,0.8000001,29.321299,82.95509
4.37,16.05583,1.32,18.28829,93.84054
3.73,20.42,4.7200003,23.467176,165.38876
3.845885,18.09431,1.4499999,23.45,118.59904
5.828405,21.542585,1.48,20.295622,147.5878
6.62,16.96,4.21,13.97,212.3389
1.5900002,19.0,0.5743649,24.85,247.38864
1.9253397,21.05173,4.83963,10.9174,162.26317
1.53,20.386965,1.58229,10.000001,97.933044
2.647685,18.513111,0.53999996,18.2427,203.3121
4.72,21.69,4.8507853,13.688665,224.30418
2.0,18.48,1.3800001,20.977125,88.40024
2.0,17.00363,1.6101502,13.981626,139.09827
1.431725,18.227924,2.487925,17.942554,185.8457
3.16,21.024895,4.957575,20.138062,239.6319
2.267415,21.18,1.23,11.181896,212.17603
4.1108704,18.644316,4.86,22.03479,184.81377
6.5673046,20.59,2.954015,17.40266,166.43645
3.92,21.0,2.8684652,13.8,218.04909
5.9551954,20.619999,4.7,22.008871,217.72983
2.611765,18.08033,3.183515,29.153896,110.856575
4.11,16.453535,1.71,25.648605,196.04318
3.1,21.41063,4.67,12.494591,235.19788
6.531385,20.231146,1.7486551,21.95,123.99995
3.9566197,18.309864,3.8899999,22.37306,134.3104
2.04145,19.663984,1.0333649,14.782986,227.39294
4.24,16.96,3.6100001,23.94,160.65749
4.715355,18.92,1.72,17.89758,156.5107
4.81633,17.6,1.5699999,20.062443,216.73198
5.410075,21.36,4.96,10.785235,174.96046
1.7830651,20.552586,2.325315,22.51,135.82011
3.564345,20.060375,3.3501053,27.573936,198.15424
5.8214145,16.929924,2.3,27.327805,206.4914
5.91,15.911125,4.8500004,10.819171,244.61795
3.1139748,15.035335,2.0677502,21.32,181.61682
