ripeness_index,sugar_content_brix,firmness_kgf,length_cm,weight_g
2.9331508,18.617817,2.5537307,7.6123934,252.9549
3.2814102,15.078493,1.7095392,24.117018,220.2376
2.1054957,18.990301,1.9846144,14.85108,163.69327
1.3363802,23.784803,1.0046769,10.689789,194.7328
6.4649878,19.093592,3.228734,26.460827,132.10832
4.020034,23.145996,1.8312962,10.800812,214.62724
6.6587896,16.84812,3.7820127,18.677225,14.881592
5.630775,15.945841,3.3909855,27.964085,187.7694
5.026799,15.646895,0.3095038,22.292868,161.80702
2.7390485,18.142397,0.043030977,8.465035,210.13214
1.5804842,18.38025,3.4350274,22.941946,150.83678
3.902539,19.36518,3.9502897,26.75029,238.67923
5.1391754,20.40534,0.5081966,13.748674,253.9621
5.971574,16.08391,0.7131076,16.635828,172.55388
3.9390898,18.528154,2.9980698,24.095629,120.95726
2.8053212,18.967846,3.2113254,3.5777073,145.17325
3.2503982,19.43868,3.1414843,13.084424,123.950775
-0.81665707,19.453144,3.2552118,6.179796,241.9364
5.3418217,18.035532,2.2406392,13.738807,176.57645
4.857452,20.867641,1.6209147,24.162079,85.06402
7.0359387,14.220119,-0.2865126,19.141281,194.52155
2.7273612,21.21208,2.387387,16.417233,134.33249
1.4724009,20.432076,2.0572116,17.460587,140.71521
2.825583,20.553917,3.7773705,-1.1698952,153.85938
6.124648,15.182587,2.7028356,11.276195,179.40192
5.567145,19.544003,3.0303695,22.01028,180.29184
9.483157,16.286396,4.2396708,26.063967,177.48051
4.028247,19.56392,2.3437827,26.595568,106.73936
5.186366,14.152176,3.3195913,14.300472,37.257217
1.9885929,21.527582,4.101145,24.478613,101.08409
1.0193276,18.74736,3.597849,22.777842,186.62051
-1.637846,14.530029,0.9577571,13.059021,177.64102
5.244441,20.128738,3.1670766,29.566572,175.47623
6.229417,19.082571,0.8646004,20.768757,98.160194
2.9140625,20.023233,1.9816853,26.723408,133.35046
5.7638063,19.154676,3.5363615,12.943178,215.46825
4.619666,17.812,2.747972,10.731355,-17.057617
4.632044,19.586658,2.5876713,22.836014,147.73988
5.143874,17.648869,6.654856,21.500725,121.08125
6.457622,21.025686,0.2608378,27.348398,153.94006
5.59394,17.636333,3.7864213,25.800201,189.58012
3.921018,16.952621,-0.579242,32.694958,164.06914
5.8274527,18.076479,-0.020293951,25.086632,108.01614
3.8605964,18.445608,4.4063725,10.944812,217.79413
7.533941,15.902821,-0.8083916,15.448931,185.2859
5.886675,17.481037,6.211849,11.177615,194.51152
5.083083,18.253647,5.510522,29.350735,90.36002
4.4444547,20.077257,3.159616,29.543425,219.42572
5.7231884,23.303135,1.785207,19.378542,36.406845
3.1474707,16.033718,5.8728275,12.001818,236.96588
1.233669,17.093084,-0.030198812,18.483124,155.82664
2.917513,19.515789,1.8077109,22.467714,174.97995
6.826523,22.025253,3.4144201,15.275612,198.05057
3.1405091,17.802511,3.8782415,32.329533,184.84514
5.252013,16.8474,1.9635088,10.200304,105.779144
2.2049031,21.705063,3.5489054,23.574326,135.06703
2.495,20.154388,1.0670252,13.890706,198.62819
3.289393,16.70321,1.6922617,15.266178,122.45108
0.09144211,18.508821,3.5470424,18.821257,261.41266
-0.27117157,19.113083,3.1539595,22.680334,126.73938
2.2600665,18.976366,3.4699614,22.100037,187.723
7.165688,17.023144,4.0332584,28.427536,186.61757
1.6771591,20.831522,3.914187,16.051657,180.00732
4.152067,17.782846,3.4072423,27.310045,68.14446
3.798407,18.505161,-0.6737671,8.568776,109.76742
0.8040395,16.706207,2.9011233,22.592,225.56842
3.7641258,16.613981,1.2905273,15.4525585,176.1636
3.4288962,20.764774,5.686819,16.034555,101.65239
4.314195,16.774452,4.68228,19.394205,141.57925
5.8311844,20.461164,3.8533309,7.9307957,117.365326
3.4433103,17.557295,3.8085005,28.76088,143.08482
3.4363995,19.856644,2.060529,13.4192295,219.54004
4.569072,20.12763,4.117074,30.689085,231.73164
6.3714337,20.190826,4.392424,17.905058,165.08275
3.8957562,13.847946,0.8841258,22.70509,37.257996
5.6544294,18.60183,2.5060143,27.374556,147.99101
