Water,Potassium,Iron,Calcium,Magnesium
82.623,119.56857,0.46168622,3.6875916,12.804026
62.450798,449.6327,0.4508754,47.061615,42.749985
25.26668,466.96307,0.86723965,14.464602,43.032524
80.9544,152.6748,0.206456,6.7229633,12.938654
49.857,627.6929,0.3917197,48.884624,53.248352
61.2514,444.89493,0.820694,51.13765,38.611286
17.150997,489.09952,0.8806417,13.024422,45.03568
39.79498,608.681,0.5378197,28.492943,52.08387
70.176605,200.60896,0.48820123,8.431009,22.712894
27.75392,621.843,0.700387,49.20226,54.251312
85.1152,155.53406,0.18234307,7.5134544,16.701353
43.53278,284.31418,0.7983163,5.1754723,24.628887
61.412594,355.96158,0.41208482,8.31134,34.0587
82.545,167.29782,0.5454532,9.877199,19.32705
83.945,176.298,0.2091974,8.348642,22.359528
58.989197,458.68375,0.81098366,58.991913,43.495514
12.8197975,1183.2318,0.57362163,82.37633,102.236725
31.685999,445.97308,0.8333623,11.207518,37.416317
20.4222,325.3993,3.7659013,41.92475,37.99862
62.3052,273.25464,0.31892127,4.593357,24.887703
85.040596,131.73245,0.4128336,11.030057,13.859224
25.207397,572.80505,0.7363331,18.174671,47.908916
82.3934,283.67996,0.42539483,23.584898,28.815832
43.26094,448.80667,0.43807572,7.3603725,37.93128
43.295258,413.44983,0.6386712,8.313316,35.32994
40.6162,343.51053,0.314425,3.8774261,27.070883
44.796997,485.48474,0.55071497,44.080116,46.502247
63.369778,329.15765,0.41762602,13.073125,33.186974
33.293198,445.357,0.77327,8.333199,36.528137
62.6588,446.96747,0.35662,34.166454,39.966164
41.4862,407.90973,0.6806574,7.4804363,35.049362
84.2,150.22173,0.23108304,7.7702293,14.555571
62.3572,264.88336,1.1200804,42.14867,32.90087
62.2844,509.08725,0.32588917,44.243015,46.521843
83.123795,165.63147,0.77041,15.046954,21.676395
17.463001,541.36554,0.7793156,11.661328,46.465534
43.98466,356.9184,0.3509,3.9615002,32.710133
62.2324,334.79517,0.40680802,6.274351,31.565716
25.24692,549.3614,1.1097718,55.45588,48.776882
83.2474,312.2627,0.25484383,32.84597,32.23329
38.01726,317.56396,0.817054,4.5844364,24.956343
83.3808,169.49057,0.335316,8.967995,19.222843
19.735798,317.08203,2.73026,10.1418915,31.261448
40.210598,448.14584,0.815962,15.825472,40.147182
83.0614,195.36974,0.2629246,7.5900936,22.860672
83.2682,166.82011,0.1617586,7.5649242,16.775192
81.8672,195.44962,0.6163521,5.101776,22.764687
84.2,170.0002,0.21241099,7.8131275,21.165947
82.675,170.18027,0.6026407,12.400299,22.38502
41.585,155.32222,2.63354,13.0568905,21.841589
39.93434,507.68246,0.85714954,52.992996,46.61879
15.352058,668.12256,1.09218,60.386932,58.68277
83.7,177.13344,0.31613404,7.493643,22.436
82.112595,288.00394,0.32240522,9.835598,27.082321
62.5028,437.2746,0.44315338,11.1856785,37.47799
84.6662,150.71234,0.14496422,8.325172,13.746422
59.0308,287.48532,0.75052905,10.302416,26.338383
12.646797,1161.6284,0.6780678,73.55457,100.41757
43.697098,267.83624,2.7141395,44.56884,35.090546
77.1654,149.24051,0.88475996,11.125061,17.121454
29.272999,191.65692,3.3483396,17.61488,30.55729
27.73312,195.71544,3.6899784,31.252327,33.63282
25.119398,633.678,0.8665189,67.1907,56.04933
32.897995,393.8953,0.72450316,4.611204,31.661085
26.437197,510.492,0.69886345,10.776712,44.753216
72.151,289.8053,0.35318798,8.379528,27.063602
25.385239,547.3625,2.4630198,82.50023,52.24212
17.696999,270.54544,3.9972801,33.908394,35.729927
82.2998,451.6183,0.17264116,50.673794,42.778866
71.1816,568.5333,0.1794278,63.46232,47.75125
19.3926,828.8308,0.58503354,54.152588,68.954605
16.760998,445.04895,2.8764808,31.075264,43.09111
62.482,155.91982,1.2047179,13.72921,22.537962
46.450603,411.60312,0.49965167,10.469645,36.263237
81.9712,295.16486,0.55757904,27.90036,30.841574
38.165977,680.62537,0.58489215,82.25241,66.193115
45.108997,481.09857,0.5759897,45.84743,46.36767
31.217999,438.78558,0.77275,6.561455,35.196613
83.252594,169.1508,0.16629297,7.1163883,17.278234
85.3648,155.39284,0.18179399,8.389826,16.198467
26.894798,567.4419,1.0985281,57.499474,49.24521
70.6824,264.18604,0.3691244,7.6215534,24.616669
25.114197,863.82935,0.4632306,75.286194,76.56888
45.4886,182.39586,1.9419949,15.35184,26.566723
28.206999,642.9438,0.58496284,24.170294,54.82444
62.586,452.0267,0.330948,35.863537,42.86342
27.749758,426.69803,0.66382504,3.7257595,33.46769
36.295998,316.6001,1.8628857,15.064713,34.77922
25.10484,570.2687,0.6826428,12.8945465,46.6836
12.8978,1248.0391,0.5748056,123.01783,109.51309
25.148119,594.7809,0.73160106,29.678106,48.96627
71.6808,234.2607,0.41508,8.629824,24.536718
51.474205,383.75943,0.45241988,8.425859,34.437263
83.56799,296.00317,0.42280522,43.102684,30.633419
72.7532,328.21805,0.40555066,9.502798,33.338524
50.013,448.47626,0.4423626,15.733641,41.233253
16.682999,476.71518,1.0949006,14.286972,45.176907
19.5642,572.5936,2.2070704,69.51419,53.39163
83.7,171.27019,0.24676293,7.5837994,22.006783
44.329,514.70654,0.43974283,39.09619,46.570824
30.364998,452.43515,0.6489672,6.9943943,37.958214
27.76224,387.8264,1.4474385,13.3358555,36.453777
42.079,518.92114,0.51110196,15.117987,46.53164
17.229,406.5009,3.0761597,26.418915,42.74549
74.887794,269.64236,0.4245316,6.5966263,26.455807
79.063416,284.94843,0.3601498,11.188799,27.078163
40.481,611.60596,0.584278,60.13022,52.954224
25.031599,445.43402,1.8947432,15.517279,41.41426
25.34572,273.70615,3.95984,52.529152,37.769665
62.533997,180.56943,0.8614739,11.179439,22.723253
71.764,156.00043,0.8751504,10.935052,19.396523
25.111078,600.54346,0.682674,16.495277,50.91877
36.399998,481.89606,0.77093,24.609346,45.584763
81.888,155.14566,0.77301,9.793999,17.225973
59.0724,295.79358,0.33946002,4.4659405,27.047361
62.4716,349.0389,0.554147,14.731052,34.963303
82.519,171.06581,0.20811999,5.1654873,19.558857
58.9684,291.60666,0.58550143,8.384676,25.913437
60.4454,473.2757,0.3363816,42.13409,45.318146
82.493,186.04877,0.549857,13.619885,24.316341
27.466799,404.4292,2.7947402,49.67871,43.37997
49.233,307.8131,0.38417557,5.095297,25.842615
83.155,198.58015,0.224271,8.648127,24.46891
80.704796,194.62717,0.35547602,8.358936,22.51247
16.358002,296.63193,4.03472,37.479862,36.984615
58.803204,276.0692,0.22495222,4.557665,24.69894
84.2,170.38461,0.1929164,9.627598,21.469902
15.169102,499.72534,1.1136376,14.975922,46.52674
43.1658,577.4391,0.4411718,44.894638,48.876724
82.253,164.08356,0.5940711,9.752398,18.944954
50.621403,399.76794,0.67288864,14.642235,36.50583
70.51599,299.3345,0.3967492,9.918798,28.510384
84.2,152.18419,0.18216002,7.6672707,14.502007
83.3184,195.53822,0.2317642,8.3192425,24.418055
59.0932,330.09723,0.40916267,6.770342,30.971678
62.4092,166.66089,0.87652326,10.213238,19.361786
18.8778,841.9551,0.858591,115.63046,74.937256
42.6718,221.55058,0.41848922,3.6990414,16.860153
27.745598,450.90353,2.9430397,74.709015,46.732212
84.2,192.39949,0.20778722,10.543173,22.74915
72.35899,324.45972,0.41068524,15.399109,33.496395
85.3024,155.74591,0.2508034,6.7861347,16.57559
34.874,454.92035,0.6651198,8.374382,38.54686
82.952194,195.56036,0.23868215,8.776255,23.485256
39.899498,569.18823,0.7631206,54.616447,48.62712
15.87154,346.73135,3.0095997,12.728731,35.105522
43.9025,459.43637,0.449331,10.37376,42.319313
25.105877,765.3613,0.768409,81.8807,66.74549
43.61494,445.12598,0.72686905,13.592554,37.107956
12.625999,665.84937,3.9785595,84.76666,66.76354
62.242798,155.93326,1.1084833,12.236083,21.366835
59.1558,263.95358,0.21455342,4.3398323,24.519766
54.91359,428.20898,0.4446978,8.721344,36.567158
31.373999,170.31651,3.9411192,45.645073,34.10602
70.5992,211.76755,0.88201445,19.574137,27.075043
85.48959,102.539154,0.17764425,6.880888,11.592373
84.85339,355.38467,0.2172314,33.96016,34.011383
40.5486,350.7696,0.6754782,5.093445,30.481161
25.11316,739.8298,0.6077825,61.413788,66.70035
25.110037,553.3595,0.91398,42.17783,47.830086
44.641,292.80756,0.77015,7.787388,25.984262
12.615601,789.4575,2.9929605,84.09249,77.11277
83.996994,129.29968,0.35204405,7.558632,13.966354
16.461998,543.36475,1.0503559,24.67308,47.03516
58.3456,181.93924,0.33001202,4.8740196,16.782576
28.841398,566.35046,1.0908196,58.7827,48.8268
27.352398,445.20297,0.93270004,10.427267,36.571526
82.831,172.9563,0.22563338,8.155237,19.431257
46.642998,204.66666,0.6830796,5.125551,21.5525
80.4552,256.54926,0.33544558,8.75795,24.836222
72.333,205.68106,0.24272257,6.6913795,22.665413
31.477999,760.25494,0.7607702,86.33973,66.71841
31.633999,394.99875,3.1094408,61.285423,44.40013
38.612137,672.66907,0.595785,81.13725,60.292107
17.619,487.5816,1.7832456,38.288,46.610687
82.1438,210.75313,0.33063596,7.0553913,24.633778
59.01,402.3575,0.41589963,11.201279,36.416595
83.6512,190.17181,0.3356952,7.5035477,22.75433
72.593,265.11578,0.8449884,30.8982,30.4431
84.479,155.42815,0.21294665,8.538301,16.745655
35.269203,600.0633,0.6201384,15.162768,50.63984
84.2,157.89198,0.17550391,8.13085,16.723503
85.0874,155.25159,0.4042933,5.1036263,16.669874
85.136,141.46355,0.18161088,5.9872494,14.073484
37.336,661.30286,0.5225525,42.3528,56.026817
72.203,168.09398,0.18417352,4.2557564,16.826878
39.3769,195.67114,1.0971678,5.1854553,21.80029
39.551098,568.0968,0.8532928,59.873505,48.60216
12.750801,650.66516,2.8431995,67.563545,64.0473
28.27044,811.3314,0.558437,83.41833,69.49847
54.245804,170.11348,1.9660919,16.009136,25.77179
31.789999,447.22562,0.5848833,5.1205597,36.560604
31.321999,331.9764,0.8643568,4.575512,26.640669
84.2,160.4718,0.18270916,7.6089687,17.644054
25.102758,432.74182,3.0428808,52.29724,45.388756
38.389057,384.19562,0.40897235,4.2977943,30.671482
84.2,167.45705,0.21187544,10.53792,19.083899
25.11732,663.5761,0.62425673,42.236153,56.18443
82.9678,420.65427,0.17871433,42.338223,37.724678
49.154995,266.27798,0.5034685,6.059025,23.875618
60.2842,244.39188,0.817418,10.713375,24.750422
28.651077,559.35626,0.56101096,11.061725,46.58062
40.075397,449.46747,0.560153,7.795969,37.877407
31.020199,343.3645,1.9901907,15.328206,35.79659
74.50818,201.62338,0.41049495,9.191803,23.251038
62.3364,232.23447,0.20973301,4.5665874,23.953691
82.284195,195.69328,0.22835815,7.5712166,23.6414
66.9734,288.9046,0.36249506,5.135536,27.065681
27.009201,923.9983,0.676773,108.24282,78.58861
43.28382,378.30576,0.8657982,13.904311,35.26328
20.5938,704.0866,0.83170134,77.017815,66.69133
83.237,169.71707,0.20148605,7.911356,18.5061
62.6068,414.3732,0.3818915,15.446376,37.046288
27.82636,798.20715,0.81669,130.40573,66.79965
62.315598,359.59177,0.4103046,8.369234,34.5031
72.6284,302.1607,0.3620686,8.327148,30.290842
12.9758,673.8056,0.90929985,50.15517,59.21924
71.4312,565.3533,0.360363,82.1285,47.711838
72.6804,319.99197,0.43695953,16.775204,33.26676
49.311,217.25226,1.1804466,15.257303,28.052212
83.609604,183.3091,0.5187355,15.87139,22.938744
83.7,288.6044,0.21026868,13.765534,27.080242
30.8018,446.7739,0.548999,4.732683,35.996586
37.942898,570.4801,0.5795418,27.60408,48.47736
78.304214,374.29562,0.3361944,27.307777,35.098034
82.415,182.85248,0.3286764,8.501694,21.882889
28.587639,310.33493,3.0595205,42.163254,36.67625
25.11628,468.6897,0.819238,10.966721,42.749424
25.306198,601.0237,0.6690042,20.973625,51.058235
27.72064,469.26297,0.816326,13.215789,42.761955
43.4917,323.3392,0.552431,5.038706,27.066723
64.97141,478.3074,0.31049383,56.273315,45.63369
83.0458,181.48264,0.20469958,7.6593056,20.362402
13.864937,568.31506,3.2724195,74.1318,55.254288
83.841,260.60168,0.20595682,13.551977,26.267557
12.882198,1053.6143,0.77067,82.96888,93.141205
22.660398,410.2181,2.2311692,13.8696165,37.78313
42.1778,319.3225,0.59749883,4.7182827,26.603695
44.589,212.78197,0.6827364,5.0569572,21.065504
83.3392,169.88696,0.6448488,15.23367,22.130678
60.929,178.3866,0.77223,7.646721,20.061071
43.26666,613.0685,0.47095263,34.051846,52.400364
55.6,605.7561,0.33600718,53.224922,52.00475
62.669197,263.72113,1.1033291,42.451057,32.805504
13.430218,669.25916,0.7962052,34.120613,56.07185
42.2766,390.585,2.8598402,68.309204,43.148884
83.7,170.72523,0.20628959,7.761648,20.965061
30.255798,482.69354,0.7095286,12.927015,43.437744
26.665998,451.20984,0.87240475,13.167762,40.690212
16.316399,576.4114,0.89526,24.799627,48.65208
44.1166,370.28552,0.3659327,4.1716843,33.438984
28.39732,447.09656,0.81851,8.323196,36.737926
62.5756,226.15576,0.18344134,4.9682446,22.733612
32.3052,443.31836,0.717405,5.1704807,35.09429
27.7664,191.28564,2.9763207,12.9757185,25.559319
62.773197,195.60468,1.0558681,23.145847,27.076082
57.888,187.8752,0.1387471,4.5487423,16.730888
62.388397,517.51624,0.3124594,46.25216,46.546333
50.169,301.59546,0.323102,5.015356,24.973503
57.201607,354.8078,0.85642886,33.377186,36.19657
82.2062,155.90637,0.547283,8.299484,16.797342
85.240005,145.80617,0.31344223,5.100849,14.609137
84.759796,344.0946,0.1644792,42.192413,33.774784
28.46076,494.41245,0.4555086,8.179626,44.6826
12.605202,671.5325,4.1096,84.317215,68.410706
61.5738,184.22232,0.15584421,4.709358,16.760424
37.752,670.39575,0.6586458,78.7494,57.609863
20.079,572.17096,0.7619454,13.860944,46.790764
24.636398,681.76196,0.7898715,70.668594,66.646194
23.0556,484.68726,0.96078,15.917305,46.025143
83.2006,311.78073,0.20662242,18.454556,31.94719
30.474201,719.4054,0.8130948,85.44084,66.6823
62.794,525.94525,0.335508,68.68208,46.634995
83.7,326.33887,0.17693079,33.93724,33.68014
45.873398,367.61206,0.39423448,5.0752106,33.39593
52.327003,395.55045,0.44140998,10.231073,35.071827
59.082798,447.81543,0.44624218,12.48241,38.933426
72.618,364.93866,0.68283004,42.93977,35.079315
84.075,193.88461,0.22972059,9.247753,23.719473
71.847206,171.70314,1.0393319,16.376465,24.801903
16.41,351.92334,4.053439,58.25969,44.611977
83.7,218.11192,0.21950263,10.480148,24.78474
32.7004,545.3636,0.56888545,11.219997,46.57572
16.4724,504.87268,0.9897241,14.816099,46.49245
43.220898,588.7447,0.43902835,46.0498,50.50038
85.1776,100.106384,0.18435651,4.826906,11.323118
48.3746,403.39337,1.8469582,64.20797,42.7483
49.466995,270.99695,0.18380737,3.919464,24.401102
43.272377,206.69548,0.6129241,3.83539,17.800833
44.1114,263.4887,1.7036043,15.375474,30.74761
43.249496,343.80255,0.58072585,5.078861,29.274006
16.430801,638.3109,0.6828612,15.540912,53.112476
83.737,288.30417,0.31822443,13.479938,27.072964
81.0376,195.51608,0.6825804,13.527965,24.624
22.462797,632.1338,1.112349,80.64164,56.297012
72.67,475.56866,0.22767699,42.613968,44.96506
82.0544,236.28694,0.31213182,9.163826,24.904861
12.792397,482.29483,2.5368197,17.334972,46.594482
53.819397,294.95526,0.87926877,14.940407,31.083485
28.904839,444.7409,0.33650643,4.0455723,36.47608
44.153,401.3217,0.4123344,4.7797947,35.086803
76.02658,332.91602,0.37018836,10.522165,33.352875
52.540195,280.50882,0.19934362,4.6825905,23.32911
44.025738,434.25275,0.8400058,24.316637,37.985153
34.478798,310.81686,2.4453397,24.937449,35.929916
44.302998,220.26108,0.8636361,8.315292,24.265984
34.0836,270.0939,2.38346,13.843596,30.945656
83.0146,314.67236,0.31475264,28.789244,32.328663
84.5726,293.1078,0.17728746,24.680988,28.35766
31.269999,446.3867,0.68667465,5.1954403,36.468647
44.1998,674.94226,0.37444407,61.028717,58.14633
36.815998,386.17123,0.783538,5.915474,33.48204
83.289,155.56938,0.32797956,5.046007,16.693968
39.13266,385.9403,0.8650775,11.223118,35.101776
62.5444,446.8384,0.36164218,33.731316,39.785145
84.713,155.18098,0.16901362,7.653013,15.067091
44.06682,294.11694,0.76989,6.417904,25.134373
27.95324,313.7085,2.279365,12.071867,32.519398
16.217861,664.71277,0.7750932,44.73174,56.16191
50.325,155.35751,2.3034618,13.895638,22.639923
37.128,348.46204,2.9264004,56.954514,41.595264
43.306698,209.73872,2.82698,42.250736,34.247982
12.678001,1269.6409,0.8557081,156.26231,111.33212
82.2374,163.5676,0.43753362,8.317266,17.902693
83.5888,318.31833,0.18197697,31.429405,33.295467
41.0894,285.58264,0.40764013,3.729576,20.764174
83.692795,167.77551,0.31508023,8.739645,18.840746
46.835396,452.33304,0.43437618,13.4319105,42.747177
43.25522,464.70508,0.67936265,18.734459,43.61106
72.774,173.79172,0.34403604,7.5299644,18.910217
72.255,342.63443,0.6427896,32.491814,34.533783
27.73728,478.70615,0.6551449,8.25279,42.75167
58.11679,242.36559,0.818874,10.391596,24.653328
60.606598,602.46436,0.3605762,83.19361,52.16299
54.03259,155.8123,2.3275607,15.304573,24.367199
72.6076,155.60469,1.0062599,13.774207,21.428604
16.420399,598.1424,0.762533,14.020522,48.34249
62.3676,298.20404,0.6830172,12.318194,30.214714
26.780397,388.3781,1.0944471,7.753069,34.748543
14.625698,398.7321,4.1657605,80.39382,46.6755
82.571,170.45276,0.43581137,10.248907,21.635098
53.179806,290.706,0.27908617,5.035055,24.502813
43.40954,379.64246,0.7678214,8.94002,33.91674
43.73818,659.9311,0.548141,42.29448,55.959274
33.4908,566.1322,0.6304344,21.975065,46.9374
44.771,472.12918,0.46477503,13.407897,43.7266
62.969395,169.20743,0.44093364,3.6761417,17.591793
83.076996,168.25322,0.59064317,4.7955,18.97969
12.740398,656.8424,0.76899666,11.229359,52.875103
12.6572,945.60175,0.60092676,43.917213,73.8495
85.343994,170.99771,0.1832583,13.656326,19.6593
30.583399,452.1288,0.58497167,6.4896793,37.971684
41.6838,383.9775,1.0889401,20.133928,36.558422
44.693,479.10486,0.4404573,24.462992,45.52999
38.760857,411.14145,1.0283083,15.963222,37.7966
83.1706,163.05162,0.17514718,5.200432,16.753038
82.0128,222.84007,0.326586,10.001999,24.655773
49.077,223.2699,0.36486876,4.8426113,20.663733
84.2,155.89294,0.16719985,7.9357452,16.104185
18.019802,688.7682,1.6876769,126.71205,66.70938
22.857998,561.35516,0.8483103,22.414108,46.659298
41.7826,400.28583,2.3516595,56.818275,42.752792
62.274,566.5688,0.35865742,42.396545,47.1818
81.9088,306.68262,0.432941,10.195402,30.867596
14.95174,597.6622,0.6836274,11.176319,47.6706
83.97099,187.4186,0.312787,13.756541,22.759506
47.797398,471.55597,0.73869896,50.905704,45.780487
21.108599,477.2884,2.40114,51.601475,47.32844
44.1582,298.76926,0.8929967,11.743438,30.595354
17.307,744.9365,0.743431,62.716606,66.72743
44.822998,318.9878,0.3597234,4.921131,26.418835
12.73,1140.0249,0.8004276,79.32662,96.779526
44.953,384.63177,0.9748199,39.50026,37.292976
49.623,271.4485,0.86291534,11.415005,26.825527
59.8006,353.07712,0.43143725,5.8436985,34.295303
44.927,450.5972,0.4477866,10.532669,39.423134
72.0968,185.13553,0.7613578,10.495905,22.692177
14.408337,597.18195,3.1260805,84.99138,56.536953
15.582939,824.4558,0.59921277,59.514923,70.04233
44.1062,693.8746,0.38794765,61.157066,62.974396
48.75939,409.75644,0.65102637,13.886965,36.543133
81.8464,283.04572,0.55672103,21.81332,29.12128
12.928997,571.11414,2.6013,49.361084,52.71685
49.779,290.10553,0.88750565,13.800229,30.328905
23.648401,468.11646,1.1319008,29.085524,46.123013
35.862,312.7446,1.0724039,7.684429,28.968555
82.905396,351.34644,0.20562398,19.854042,34.93262
79.443,407.44803,0.39297712,46.960434,36.569344
25.167877,476.14197,2.1347778,55.728355,46.88852
85.4272,126.86688,0.2069552,5.155504,14.01992
83.7,389.48154,0.17657405,51.36956,36.48352
83.5264,171.40643,0.3244956,10.506409,22.171978
40.4134,308.37836,0.18121141,3.7028599,24.619112
13.038197,793.83215,1.6558206,86.115005,73.30563
72.6492,447.65024,0.3712523,55.183395,40.509205
58.958,173.37401,0.84997106,8.684734,21.5112
59.478203,323.0045,0.66123545,12.82961,31.470348
19.220999,495.17142,1.3746232,34.25814,46.602585
44.614998,265.8131,0.57006955,5.07156,22.728432
16.3684,450.6993,2.0142894,14.597827,43.01561
40.6838,617.45575,0.5849805,61.79885,53.964752
83.242195,295.37445,0.4210788,37.075798,30.802544
62.6484,221.98041,0.77171,10.558929,24.614223
84.2,165.1155,0.2025572,7.523361,18.606668
83.893,109.83746,0.40878204,3.7333927,11.8616295
25.8652,368.94882,2.69802,32.137688,38.095867
43.30098,591.82806,0.4352373,43.265594,50.360924
25.128359,412.98816,1.1007519,9.585999,36.44634
50.834595,317.9836,0.5340028,7.483738,27.44132
39.28138,572.3823,0.58492744,14.375787,48.06658
25.522,444.97195,0.94206005,9.107874,36.554054
59.051598,331.03683,0.40052125,5.097147,31.127975
43.57386,451.82248,0.56533337,12.845843,40.871216
81.37039,399.25,0.3272828,43.754303,36.54095
71.348,170.52086,0.14807278,4.6647434,16.767807
72.690796,267.3847,0.3355704,7.98452,25.27602
23.253199,570.6914,0.6827052,12.564516,46.72411
25.115238,523.13556,1.0779158,43.591393,47.377323
45.296204,527.37286,0.76664627,62.34378,46.741882
84.94701,155.8795,0.19505882,7.329874,17.330492
27.708158,451.51617,0.5889293,4.8583145,36.57371
36.92,662.43945,0.47293404,58.36429,56.251976
72.567,441.80746,0.30332863,40.712517,37.823536
62.2012,309.853,0.584901,10.28458,29.732178
44.901,293.69778,0.1886316,4.0876102,24.64355
84.291794,151.20296,0.1847226,7.744488,14.662701
59.0204,446.5803,0.41158563,16.146885,38.997856
22.265198,521.7307,0.42971084,6.754549,45.106293
84.2,222.41023,0.20612317,13.105595,24.733261
39.655617,448.31104,0.65720403,9.219778,37.601334
58.5744,315.1543,0.3669966,4.7004375,30.138586
82.2686,156.86006,0.13719285,6.7071724,14.12705
69.3758,448.97186,0.65308553,59.096504,42.74493
25.11212,679.4888,0.6973398,60.643646,65.12021
13.053799,1226.4355,0.5849098,86.564445,107.69394
73.36939,136.59799,0.8737775,10.043598,15.632778
16.306,479.90234,2.4276597,42.32364,46.70791
16.275578,846.3301,0.682518,47.263973,71.67398
28.143559,750.04254,0.80465,85.66556,66.736465
81.992004,170.92958,0.6146381,10.681709,22.334038
36.087997,382.8871,1.7673168,28.19664,37.663006
62.419598,338.55353,1.0668921,49.043434,36.43147
72.541,169.09418,0.14185566,5.1091805,14.823397
29.709799,457.93103,0.6060685,6.62821,38.224716
28.33388,457.17834,1.0338202,25.23373,44.073235
15.7561,598.6226,0.8607531,26.715197,50.77931
70.7656,279.24036,0.4118352,8.828114,25.41767
38.537777,405.98297,2.0865822,48.090538,42.747738
25.109,677.2155,1.1226574,100.855194,66.67327
25.750801,855.0797,0.7590074,119.32414,74.39336
