Water,Potassium,Iron,Calcium,Magnesium
49.94551,411.96982,0.5478583,14.89543,36.186996
47.78777,295.88028,1.3357056,20.05749,28.233627
56.16197,325.59613,0.63689065,12.816269,30.136862
39.762978,1037.8065,0.48723036,122.04244,84.541504
22.735596,716.4259,1.0170346,68.24086,65.25711
55.517998,333.37036,0.85259753,24.952595,31.844288
18.027199,677.0843,1.8389809,80.89142,67.08739
21.903992,469.3127,1.9552987,27.370073,42.029705
77.47815,629.01013,0.046322525,66.765366,50.809128
46.226475,335.96823,1.6357809,38.251045,35.713455
41.676643,472.84863,0.6440853,20.451979,40.762623
45.512985,167.76077,2.8933818,37.896885,25.723602
32.616024,642.3216,1.8468448,83.63303,63.298927
48.446377,450.3394,0.8095222,41.487114,41.92723
23.882742,512.1235,1.2509274,19.810366,43.80924
19.946085,411.33154,3.2902474,57.14309,46.72213
15.332188,447.216,4.1704516,85.18212,57.828545
18.749409,922.2526,1.1623714,108.9371,84.948944
12.242748,941.1112,1.0787182,105.05898,89.93843
56.79855,326.9367,0.481873,7.053667,29.511913
22.342104,697.51746,0.8430393,43.96174,61.592045
39.808426,409.43628,1.1672089,27.22174,38.12344
25.517626,538.08777,0.8748981,10.630758,44.317448
24.226124,392.04895,3.3460813,64.78243,47.800648
49.076508,409.47433,0.68630904,25.008514,36.63163
23.912275,369.47504,3.2854292,55.39245,43.122856
60.28,721.99854,0.3197475,80.65762,58.39782
47.35409,419.79495,0.57927287,11.262345,36.75624
25.065134,348.46326,3.5806713,61.994644,44.579514
28.57151,1018.34784,1.1477152,125.1242,89.17984
69.920494,185.73448,1.1745081,21.781807,22.761337
72.0704,269.24475,0.3930292,14.394111,26.560734
12.653603,522.09143,4.2766213,95.915886,65.05081
12.067837,1018.33026,0.8316827,109.52842,94.87399
58.497276,305.1162,0.59041,10.617086,28.504578
64.00307,352.19492,0.4100341,24.250378,31.739931
12.915085,625.4436,2.9739962,91.455696,69.182106
87.30525,132.63431,0.13201672,8.370647,15.702209
7.4901237,1023.6481,0.9637332,110.43659,98.706184
55.412968,188.90372,2.1972613,32.56745,26.458836
16.398853,709.858,1.2830346,37.9255,64.879524
45.460342,420.9278,0.6018286,9.905558,36.79771
15.99036,367.38086,4.6335864,76.75758,49.664658
19.863384,726.5569,1.7045281,87.024635,70.129944
25.151978,656.0978,0.9353881,54.607536,59.186436
69.9337,239.16234,0.29604656,7.965227,24.061356
24.865295,345.155,2.8912811,39.72841,36.179253
29.656832,1485.3564,0.42682636,183.66855,119.03877
54.1264,342.9385,0.5106416,6.313347,30.835327
23.604914,457.8555,1.8677285,29.386892,42.40818
26.146824,460.05798,1.6984351,33.132492,43.446674
67.62706,152.30197,1.0442247,16.609337,18.713774
17.922157,567.83,1.2060466,19.244308,47.917217
24.069916,728.4475,0.79526067,54.807255,64.04874
18.955383,414.27783,3.988466,75.20205,52.5338
65.741425,276.54993,0.4284526,8.377598,26.663055
19.852297,549.0056,1.2617809,29.489534,48.534393
34.20067,915.86316,0.6316499,101.968315,77.06241
20.886568,765.19196,1.4336889,88.12668,71.768295
33.59149,249.79665,3.1763785,47.88422,32.75317
24.4366,348.98492,3.2995672,53.28911,40.802864
70.497734,248.61165,0.4255743,7.2152157,25.631926
17.796276,1081.7379,0.8041829,121.87006,95.41194
55.11126,329.93173,0.5428865,7.3022995,29.835844
80.77075,196.79828,0.31114608,12.252971,22.072695
20.7107,492.3226,1.8250816,26.547176,43.517838
51.72765,221.00829,2.168888,35.158577,28.795391
42.925312,435.27527,0.5933417,7.3097286,36.740807
62.390785,184.4943,1.7380269,27.431385,24.663952
46.978844,396.08627,0.58006775,6.4152737,34.62855
30.39611,903.5886,0.73972875,94.290215,76.91615
53.053577,552.7938,0.49689713,49.57016,46.771664
36.288456,464.48264,0.7693856,9.363728,38.833996
54.450954,192.71779,2.0178099,30.600214,25.397795
45.71761,335.20303,1.8016043,41.998035,36.520878
62.78404,228.01512,0.9612763,18.490934,24.33048
14.935856,838.2207,0.88952136,59.949684,74.968765
46.611828,235.54364,1.9147372,27.186657,25.369415
24.628044,815.90594,1.2645184,94.838844,74.58241
19.984068,390.28827,3.9579592,72.38825,49.97297
45.708664,422.6219,0.7923284,6.278948,38.640358
14.7297325,1035.3838,1.2140523,128.92534,96.937836
67.53485,230.0772,0.5353749,11.314252,22.988914
42.054394,427.32944,0.647058,6.8069267,36.785896
9.52367,1239.1243,1.4635718,160.03445,113.48979
31.23209,471.52307,1.0711802,14.284929,39.514908
70.91174,698.2607,0.14695239,77.77404,56.662483
9.09491,771.93677,1.6846716,81.41593,78.192505
37.40624,657.666,1.106937,74.48496,60.647167
43.48957,368.7877,1.3582852,32.138317,36.428883
19.445158,518.5047,3.012947,77.987595,58.447796
61.132977,315.07367,0.45735025,8.770281,29.293585
7.37743,866.13354,0.9777452,71.88391,84.25865
34.762783,244.93265,3.2881625,49.200817,33.671978
34.57319,489.97614,0.7000086,6.0236015,41.047276
48.04884,254.26672,2.369292,40.55201,32.567806
57.78605,239.27698,1.1883745,21.116306,25.708794
42.824295,711.1112,0.60647845,68.6427,60.0141
20.073708,610.0952,0.9033773,30.569538,54.40358
11.6497,997.32526,2.090342,132.28749,94.96718
77.98251,342.02176,0.22518253,33.03807,30.33572
16.514675,591.5691,1.5720642,50.942226,56.901905
52.535892,443.17368,0.5525892,33.507153,39.13004
18.579826,488.67926,2.9391396,70.610695,55.203026
36.389053,696.82947,0.6518655,64.857704,59.89885
83.936806,209.88824,0.19757485,18.586643,21.72232
77.07683,235.16194,0.27132326,14.338752,23.825497
75.13321,408.8084,0.3276407,40.93718,36.06067
22.207413,565.25305,0.85377073,6.7308598,48.297474
66.7341,499.96005,0.6032338,50.736954,43.147675
67.005325,250.3465,0.8694443,23.896812,26.423805
35.43525,392.0624,2.6720848,60.567535,45.226173
42.595917,563.9101,0.6020447,44.614677,48.659866
30.015976,783.9824,0.7819247,80.54308,68.597084
53.701347,920.8164,0.4834521,108.19936,76.12027
20.949259,386.70834,3.1166077,45.30694,40.81336
36.881004,500.45685,0.69352776,18.296085,43.32574
24.794125,764.68555,0.7785039,63.782295,67.07718
64.19828,370.51022,0.40722275,28.733782,33.103542
53.792294,405.25797,0.6739938,17.4063,36.12269
33.921635,635.81494,0.6966077,49.922188,55.393616
59.38842,314.68097,0.50550044,9.349815,29.330936
45.381977,939.5806,0.7079772,112.11589,79.23749
49.514633,240.51645,1.9620364,33.456413,28.78231
72.6748,352.66888,0.65441114,36.788094,33.836994
49.206974,375.5092,0.7213243,15.384191,33.58893
34.54982,571.54156,2.8302162,83.9241,60.957165
13.545162,932.9875,0.7990258,90.74637,86.08129
49.613503,396.76245,0.7482532,5.958458,37.000294
21.330593,727.31244,0.8170445,53.55601,64.7283
44.35685,347.63257,2.1379285,49.703926,39.31339
46.286,577.8932,0.6124097,55.513714,50.474945
77.7744,229.8552,0.286133,16.498316,23.254707
57.177666,251.55502,1.3683983,26.931946,27.878115
94.44031,76.813385,-0.110675395,5.042015,11.764906
64.52957,266.88916,1.0539129,28.708138,28.492176
53.196583,319.69843,0.8052946,13.365542,29.67829
72.19273,256.80267,0.34135914,12.124775,25.391401
41.920662,437.52332,0.64943206,6.0855656,38.230045
36.329018,829.37866,0.69903153,91.24235,70.8762
36.93545,932.3986,0.8122134,101.450066,78.718
30.979097,507.67288,0.8068963,9.0473385,41.70807
54.436596,356.28067,0.5301838,6.1070557,32.378487
22.24693,395.8755,3.2661803,60.255592,46.418976
38.256313,330.47144,1.9188316,32.13871,34.204224
22.468311,416.50516,2.6365268,42.117565,42.681652
14.13599,917.41644,2.0785677,120.81128,88.05091
55.123184,392.0231,0.50193775,19.307953,34.82767
51.95951,292.2968,1.7453908,38.280922,33.044044
80.52223,361.17816,0.1816675,36.87735,31.299389
49.65399,396.08896,0.69116694,6.196951,36.223618
18.343735,681.7592,1.3326316,68.0208,65.191025
11.348209,1296.7246,1.1424654,161.9343,114.319016
61.859875,302.52295,0.39899236,6.255453,28.32343
88.65882,110.266235,0.18225706,5.940468,13.931763
15.067558,432.99277,4.3141007,82.264725,55.99012
78.43385,196.51009,0.2929005,12.318933,21.05092
39.707294,385.91537,2.123807,53.563828,42.58291
60.18335,281.13492,1.0680767,27.685472,29.329727
38.557392,486.06873,0.8963729,15.89282,43.35106
68.60931,313.076,0.42194542,25.203793,29.330765
73.14319,229.31505,0.40051877,7.4726124,24.32603
9.398548,614.39557,3.1073315,86.530754,69.78816
37.032806,534.6625,0.7663815,38.894142,47.5459
67.778854,834.68335,0.14939553,98.39733,66.20978
45.389763,585.3124,1.0965616,67.88258,54.682396
56.22358,359.04758,0.48156533,6.80678,33.163467
15.567947,592.3281,1.181334,27.036503,52.89899
61.42339,336.65924,0.4396704,16.547297,30.7439
28.620504,598.5023,0.7713666,32.592525,52.422577
39.11705,450.6823,0.673481,7.114683,38.140347
18.202019,592.12067,1.0825399,4.2494984,52.740723
3.8506165,1077.5798,2.915004,153.87746,106.59671
31.19162,498.94427,2.680943,73.85379,54.33058
83.55596,208.49193,0.19497502,16.895279,21.02946
34.087124,350.2622,2.2209575,39.253876,37.611145
47.569145,611.88794,0.68997395,64.39568,53.920338
22.974451,375.92157,3.4268322,60.020485,45.061745
31.61011,506.73294,0.941821,5.71653,45.26244
23.036081,1102.6216,0.96235293,132.01958,94.925156
10.528053,1204.0222,0.6704397,134.43909,108.96762
9.580631,608.1791,2.0402646,47.181572,59.93138
27.41009,799.7179,0.8750809,84.288185,70.74782
59.67597,602.3528,0.5359439,66.98898,52.222233
55.918236,290.841,0.80954105,12.81571,27.59829
23.968391,368.73907,2.805738,37.89192,36.9673
13.818108,514.9073,3.0507386,68.65995,57.234833
27.517525,542.14954,1.0316211,34.3247,48.46226
20.48276,576.9469,0.97379065,6.450573,50.958866
32.71719,430.04382,1.7954535,46.221024,43.892216
55.54073,693.15515,0.38348922,73.97907,57.227077
27.697514,840.9956,1.0089462,95.106514,74.693405
13.647137,1280.6946,1.0216458,158.42924,112.06531
60.54663,288.57993,1.6693263,38.70199,33.08054
19.185167,640.5437,0.7866866,24.510456,57.13005
19.303112,485.9906,2.1007855,37.303707,46.18239
53.54984,465.9601,0.8950888,31.910297,42.384464
80.92977,174.19109,0.24676353,11.2521305,19.58746
33.49671,320.05493,2.970264,52.90813,39.983192
42.973568,437.9867,1.7241843,56.20458,45.421364
10.779522,835.6964,0.7882219,64.86505,78.66797
52.743076,451.1079,0.8679589,47.111244,42.6751
51.29228,240.74135,1.6224568,26.744314,26.947937
12.464996,642.99896,3.6127415,106.09576,73.79892
49.828396,346.05972,0.8339118,15.42996,30.114702
38.99387,628.8729,0.6851411,48.24108,54.144653
29.138409,427.49347,1.6706021,26.51698,39.593506
83.936775,275.60718,0.19392073,27.77555,25.463785
81.80992,117.57028,0.15297085,6.7307014,14.745081
30.383093,611.378,2.161455,82.83793,62.167534
