Engine,Feature,KS Statistic,P-Value
Physics-Informed Monte Carlo,Water,0.2535384615384615,0.32360557664193096
Physics-Informed Monte Carlo,Fat,0.24846153846153857,0.3468902693128291
Physics-Informed Monte Carlo,Palmitic,0.23853846153846156,0.3948966560044457
Physics-Informed Monte Carlo,Stearic,0.25623076923076926,0.312485322753252
Mcmc,Water,0.3013076923076923,0.15719785121755134
Mcmc,Fat,0.27930769230769226,0.22298966234753564
Mcmc,Palmitic,0.26338461538461544,0.2820802042635799
Mcmc,Stearic,0.23830769230769228,0.3965817744670425
Regression,Water,0.2983846153846154,0.16476829815378424
Regression,Fat,0.2833846153846154,0.20925521813696918
Regression,Palmitic,0.27146153846153853,0.2505547342994788
Regression,Stearic,0.3163076923076923,0.12184170156939989
Variational Autoencoder,Water,0.33553846153846145,0.08589379160921015
Variational Autoencoder,Fat,0.33546153846153853,0.08607036058214043
Variational Autoencoder,Palmitic,0.31753846153846155,0.11889346277987198
Variational Autoencoder,Stearic,0.24730769230769228,0.35266114205480065
Physics-Informed VAE,Water,0.3353076923076923,0.08654696924322339
Physics-Informed VAE,Fat,0.2993076923076923,0.1624632686144119
Physics-Informed VAE,Palmitic,0.2933846153846154,0.1786908253923587
Physics-Informed VAE,Stearic,0.2563076923076923,0.3119521955806166
