Engine,Feature,KS Statistic,P-Value
Physics-Informed Monte Carlo,RindFresh,0.10144444444444445,0.46264985680279214
Physics-Informed Monte Carlo,RindDry,0.1321111111111111,0.17466532259970355
Physics-Informed Monte Carlo,MoistureLoss,0.1342222222222222,0.16169095494961377
Physics-Informed Monte Carlo,ChillingInjury,0.3124444444444444,2.556043620220152e-06
Physics-Informed Monte Carlo,Colour,0.2264444444444445,0.0016516055757588226
Mcmc,RindFresh,0.2314444444444445,0.0012028479623671002
Mcmc,RindDry,0.2548888888888889,0.00024707756490661303
Mcmc,MoistureLoss,0.21988888888888886,0.0024759042835217353
Mcmc,ChillingInjury,0.06411111111111123,0.9278332186598556
Mcmc,Colour,0.2687777777777778,8.971231276984275e-05
Regression,RindFresh,0.12322222222222229,0.23843525418768063
Regression,RindDry,0.1448888888888889,0.10741043398332006
Regression,MoistureLoss,0.10188888888888892,0.4570907783658162
Regression,ChillingInjury,0.3014444444444444,6.611241513899116e-06
Regression,Colour,0.25444444444444453,0.00025497665568043255
Variational Autoencoder,RindFresh,0.15144444444444444,0.08224249018895449
Variational Autoencoder,RindDry,0.15288888888888882,0.07741554461217148
Variational Autoencoder,MoistureLoss,0.2032222222222222,0.006558791428305678
Variational Autoencoder,ChillingInjury,0.45444444444444443,3.7433749888503745e-13
Variational Autoencoder,Colour,0.24944444444444452,0.0003619264601751264
Physics-Informed VAE,RindFresh,0.12544444444444447,0.2210523346031874
Physics-Informed VAE,RindDry,0.16488888888888892,0.04582231597957346
Physics-Informed VAE,MoistureLoss,0.10211111111111115,0.4543958098930503
Physics-Informed VAE,ChillingInjury,0.04544444444444451,0.9979665192338535
Physics-Informed VAE,Colour,0.21011111111111114,0.004426851156225885
