RindFresh,RindDry,MoistureLoss,ChillingInjury,Colour
7.2078342,2.067103,5.0572133,-1.0235195,0.63756925
6.1013956,1.7826991,4.4052215,11.110862,0.6728567
4.4122562,1.3628507,3.1979141,17.332788,0.5700932
11.108147,3.5742707,7.468356,32.11978,0.6474682
6.520318,2.0880218,4.73185,27.790766,0.67395115
11.888336,3.3333712,8.548511,-3.434432,0.79197884
6.489534,2.0192928,4.5260305,33.710403,0.6653824
7.697857,2.7323875,4.9293637,45.910667,0.57753426
3.7670007,1.117894,2.6671696,18.254791,0.48195887
10.073814,3.3113003,6.8503036,31.138649,0.6462289
8.501897,2.643001,5.980547,-1.7957382,0.57416725
10.218635,3.3623967,6.8700676,39.841286,0.73908585
5.3241987,1.4260536,3.851915,2.1032476,0.4712972
11.07886,3.4557562,7.700242,13.350293,0.64907503
9.931081,2.9339194,6.9309893,4.4854317,0.6558915
8.103896,2.5069938,5.61328,45.409443,0.62871987
8.2866,2.4736705,5.8047743,8.081947,0.61114955
8.160484,2.3916728,5.6784463,15.146892,0.5793758
4.610189,1.4355667,3.1231215,24.222576,0.6656359
7.5518155,2.1014721,5.381851,-1.8469458,0.55130863
5.6102314,1.6109605,3.9401531,30.69714,0.49513897
9.53188,3.1835074,6.4203095,39.587955,0.68131423
9.72043,3.256699,6.5274954,52.26022,0.672689
8.272184,2.476101,5.7286015,26.082901,0.5480806
6.881175,2.2137928,4.905343,16.880264,0.59169805
6.068906,1.5955266,4.4510016,1.2753,0.4931181
10.799413,3.1354485,7.974497,13.920229,0.86315954
7.041461,2.3573194,4.7788725,18.152548,0.51574916
3.88269,1.2041688,2.8583663,15.656788,0.5251467
8.47615,2.7866642,5.6365795,13.10913,0.7452102
8.987609,2.673471,6.3199186,4.2341948,0.6386349
6.032972,1.5885715,4.3452144,-1.5044069,0.54914105
10.005863,3.1701145,6.804831,15.19265,0.61890584
9.654202,2.9246469,6.7390084,25.126423,0.6739732
6.919429,2.2563267,4.905474,35.17179,0.70520574
5.6506195,1.8225491,3.7894883,3.7432327,0.7637735
10.394592,2.7851045,7.5172615,-5.500005,0.8675405
5.560787,1.633684,3.8838158,1.0374651,0.62205946
4.538273,1.408454,3.2301698,23.066528,0.58095366
9.619017,2.876422,6.701569,7.5898075,0.6312921
6.626201,2.0892954,4.5733476,27.073719,0.5985998
8.992104,2.9262035,6.0614395,31.039993,0.6313659
4.8924227,1.3570222,3.5493002,-0.62123394,0.5608137
4.4806423,1.3005872,3.1364002,22.965305,0.43816972
7.448473,2.03643,5.3114505,-2.3172913,0.596588
9.460221,2.7449226,6.6579475,9.686619,0.5968451
8.889229,2.839571,5.9484043,35.91189,0.59495795
6.4555197,1.8177916,4.6128545,19.48425,0.43144652
8.812326,2.9249167,5.986583,17.978775,0.7480638
8.025385,2.811266,5.3252344,57.15562,0.5925211
6.7122555,2.1531422,4.495058,28.53911,0.64582676
8.133549,2.5222092,5.528506,23.386055,0.5291059
10.806725,3.3740246,7.506914,30.903181,0.63999563
11.1068125,3.3713312,7.7053604,2.811789,0.745445
4.889436,1.6566374,3.2110806,46.58005,0.58165807
10.758539,3.6199336,7.096588,47.065636,0.63685715
11.077255,3.4802747,7.6109743,6.5959463,0.5995331
8.34077,2.7439916,5.8474636,23.29581,0.8411025
6.7234874,2.1104884,4.581928,32.45256,0.58599985
8.23407,2.5671003,5.642273,25.771122,0.5902464
7.478651,2.3747416,5.197021,22.446434,0.58496773
6.8474803,2.118236,4.7015767,25.30339,0.6842772
5.9089575,1.4955865,4.294965,-2.7619305,0.3799438
6.1476636,1.688533,4.4093037,-1.5826559,0.7698503
10.666904,3.1611075,7.416588,-2.403986,0.73369235
7.943988,2.5588284,5.41123,-0.3080883,0.6590769
4.6845837,1.218739,3.4034355,-0.15475559,0.46657115
4.611102,1.4220667,3.118176,25.50171,0.6076749
7.551605,2.2767155,5.1580725,-0.54991436,0.6202996
4.0629187,1.0456223,2.9131985,3.662736,0.4861083
9.500366,2.883761,6.665036,18.738964,0.6836353
5.3186345,1.7077546,3.7352867,11.058758,0.60055125
8.133843,2.4212914,5.7767553,3.170988,0.5677009
10.027199,3.3639517,6.528324,38.778305,0.622181
