Engine,Feature,KS Statistic,P-Value
Structural Monte Carlo,Glucose,0.1508416485900217,9.759199124255287e-07
Structural Monte Carlo,Fructose,0.17034924078091107,1.7804248827300386e-08
Structural Monte Carlo,MalicAcid,0.21394577006507592,3.8446955569248675e-13
Structural Monte Carlo,TartaricAcid,0.06417570498915404,0.14086462905043787
Structural Monte Carlo,Potassium,0.29372668112798267,1.5784831192856247e-24
Structural Monte Carlo,Magnesium,0.212234273318872,6.157208389535899e-13
Structural Monte Carlo,Calcium,0.2606963123644252,2.327652226065493e-19
Mcmc,Glucose,0.03902603036876351,0.703299989174157
Mcmc,Fructose,0.043548806941431595,0.5685036404724308
Mcmc,MalicAcid,0.03937744034707158,0.6928618897475911
Mcmc,TartaricAcid,0.05775054229934917,0.23190588501357387
Mcmc,Potassium,0.05237960954446852,0.337317690445433
Mcmc,Magnesium,0.06278958785249455,0.15759360746625004
Mcmc,Calcium,0.037804772234273365,0.7392640620050634
Regression,Glucose,0.03381127982646423,0.8478710986199556
Regression,Fructose,0.05662689804772236,0.25164346084887157
Regression,MalicAcid,0.059000000000000004,0.21139220864783004
Regression,TartaricAcid,0.030798264642082462,0.9139659263382794
Regression,Potassium,0.07141648590021693,0.07532917393997332
Regression,Magnesium,0.08124945770065084,0.02894394726855936
Regression,Calcium,0.07697396963123648,0.04454265433310169
Variational Autoencoder,Glucose,0.1638546637744034,7.132548209227802e-08
Variational Autoencoder,Fructose,0.17100867678958787,1.5414374991080176e-08
Variational Autoencoder,MalicAcid,0.15837744034707157,2.2038091480596442e-07
Variational Autoencoder,TartaricAcid,0.09892841648590023,0.003804784224551443
Variational Autoencoder,Potassium,0.2812646420824295,1.6756918618084736e-22
Variational Autoencoder,Magnesium,0.3952494577006508,1.322203931526272e-44
Variational Autoencoder,Calcium,0.3476963123644252,2.1254683997341646e-34
Physics-Informed VAE,Glucose,0.034704989154013016,0.8252234446298959
Physics-Informed VAE,Fructose,0.03395227765726681,0.8443763717327706
Physics-Informed VAE,MalicAcid,0.03754663774403472,0.7467304407302394
Physics-Informed VAE,TartaricAcid,0.034728850325379645,0.8246445971335136
Physics-Informed VAE,Potassium,0.03937960954446851,0.6927807196787579
Physics-Informed VAE,Magnesium,0.060882863340563975,0.18312711684046235
Physics-Informed VAE,Calcium,0.044804772234273316,0.5321332658017985
