Glucose,Fructose,MalicAcid,TartaricAcid,Potassium,Magnesium,Calcium
458.6,428.9,107.5,109.4,50.1,2.4,2.2
35.7,12.9,393.6,236.9,37.1,3.9,3.7
588.1,593.0,54.9,71.3,56.7,1.9,2.1
422.6,356.4,224.6,193.8,51.7,2.5,2.9
45.9,13.5,344.1,237.2,35.3,4.6,4.5
698.3,628.8,21.5,91.2,36.1,3.2,3.6
558.1,526.2,45.6,101.9,59.5,3.3,3.5
449.9,416.9,74.1,113.2,68.3,3.8,3.3
134.4,150.5,272.4,126.5,78.2,4.0,6.0
52.6,18.1,414.3,175.0,43.7,1.5,3.1
53.2,16.7,547.8,152.6,35.9,1.4,3.0
472.7,469.3,67.0,83.9,52.8,2.2,1.9
543.6,459.3,86.1,189.5,55.7,3.1,3.3
322.8,268.5,156.7,147.1,54.2,3.4,5.2
480.1,426.2,81.2,141.3,59.9,2.7,2.9
467.1,476.7,6.2,74.7,222.0,5.5,4.0
532.3,496.4,100.3,101.2,45.4,1.8,1.7
56.4,18.8,453.6,148.0,45.4,1.6,4.2
43.8,12.0,483.0,232.5,41.3,3.4,4.4
291.4,275.3,62.9,82.8,178.8,6.7,5.8
810.2,729.7,21.2,84.6,39.2,1.1,1.5
692.4,614.0,6.6,92.7,154.6,6.8,4.8
394.4,391.3,156.7,92.8,56.4,1.9,2.1
276.8,267.6,65.3,58.3,214.9,4.7,3.6
655.7,608.9,41.6,92.1,67.2,3.4,3.2
531.9,519.1,58.7,81.9,65.5,2.6,2.5
438.6,394.0,85.0,163.9,57.5,2.8,3.2
91.0,35.4,118.3,156.1,151.1,13.9,32.7
618.5,572.6,58.9,95.8,63.9,2.7,2.7
598.7,558.0,30.1,60.1,42.7,1.4,2.0
155.6,116.1,193.7,116.8,60.3,2.9,4.6
888.9,823.9,3.7,82.0,32.2,1.7,1.9
452.0,443.5,19.2,71.6,216.5,5.7,4.6
73.4,28.1,400.7,134.8,127.1,4.1,4.9
320.2,294.7,200.2,124.3,69.7,4.0,3.0
363.6,318.7,141.1,113.8,48.6,2.2,2.6
333.0,299.7,227.2,120.9,64.2,3.0,3.4
525.5,497.9,48.7,100.7,60.4,3.4,3.7
393.5,330.1,83.6,157.8,56.0,2.9,3.2
715.2,648.2,7.2,59.4,41.7,3.3,3.9
634.4,561.9,37.1,79.8,40.6,3.3,3.1
442.3,420.2,72.3,88.3,52.2,2.3,2.1
342.8,289.4,119.0,141.8,51.4,3.1,3.7
156.3,55.2,358.4,238.0,42.0,2.5,3.9
612.9,619.3,48.1,112.1,52.1,2.1,1.4
437.6,394.2,135.5,156.7,54.1,4.8,7.1
482.7,487.7,24.9,73.3,205.9,5.7,3.9
349.2,309.8,128.4,115.8,48.1,2.4,2.8
47.0,13.4,175.7,165.6,56.2,6.2,16.0
519.9,470.3,77.1,160.7,62.6,3.9,4.6
619.3,577.7,31.2,89.2,51.5,2.4,2.4
342.9,281.9,174.9,177.6,62.3,6.5,12.0
561.7,514.1,51.5,110.0,51.4,2.8,2.7
294.3,283.0,68.4,121.0,224.7,13.9,9.2
72.3,22.4,271.9,255.6,74.1,12.4,30.5
714.5,696.7,41.5,70.5,57.1,1.5,3.2
45.2,18.3,455.4,147.7,47.0,1.0,4.5
368.7,276.2,203.4,223.7,53.0,2.2,2.9
46.6,13.3,422.8,294.1,44.3,3.1,6.2
375.6,323.4,78.6,125.3,57.9,2.5,2.8
369.2,380.7,38.0,64.5,53.0,1.5,1.4
527.0,505.8,70.2,128.2,61.8,3.1,2.1
266.4,265.5,135.1,108.5,157.2,2.9,5.2
510.1,470.4,99.8,109.1,48.5,2.1,2.0
52.8,18.7,416.7,136.4,50.1,2.3,4.7
536.1,477.4,139.5,171.4,50.2,2.7,2.0
496.9,480.6,3.3,83.7,97.0,5.1,8.1
134.3,94.5,347.1,142.5,68.8,3.8,5.5
398.8,370.2,140.5,150.8,66.3,4.4,4.1
106.6,47.6,357.8,213.0,51.1,4.4,4.7
219.0,188.0,321.2,168.4,57.1,3.8,5.5
545.0,493.8,75.9,124.1,53.7,2.7,2.4
706.9,642.1,46.2,114.2,51.0,3.3,3.2
438.0,431.1,57.8,82.0,71.5,3.3,3.4
398.0,414.5,23.6,43.6,35.4,1.7,1.6
54.5,19.0,502.8,218.5,38.2,2.5,4.8
229.3,234.2,106.7,99.4,47.5,1.9,3.9
580.2,581.1,55.9,50.9,68.1,2.6,1.9
466.5,428.5,90.8,134.7,64.6,4.4,6.1
570.0,549.3,63.0,72.9,61.8,2.4,1.9
389.8,400.6,31.5,76.4,233.0,6.5,5.2
614.0,590.8,37.2,76.7,61.7,2.2,3.3
511.3,502.7,2.4,70.1,253.1,6.6,3.6
45.6,15.1,338.4,123.6,124.7,3.0,6.2
53.1,15.8,396.1,159.6,44.6,1.7,4.1
52.1,15.4,400.0,159.1,47.4,2.6,5.0
39.0,13.0,145.0,150.9,63.9,5.7,5.7
356.4,344.3,88.3,89.9,53.3,1.9,1.4
105.1,35.2,381.7,215.1,45.3,1.8,3.0
423.5,428.7,58.7,75.0,59.1,2.6,2.4
376.1,335.2,115.9,122.8,57.6,2.8,2.8
84.7,29.6,261.4,128.5,234.9,5.5,7.9
241.6,217.3,161.3,91.0,51.0,2.3,3.7
440.9,430.1,3.0,58.6,87.3,4.9,5.6
367.3,309.3,97.9,171.5,54.0,2.9,3.4
69.2,19.6,273.9,218.3,68.4,7.4,12.8
688.0,642.7,33.1,62.7,69.0,3.0,3.0
578.2,538.2,77.4,125.7,51.9,2.5,1.6
116.2,65.4,333.0,106.9,43.4,1.5,4.0
204.5,187.9,126.4,100.7,152.6,4.3,8.6
166.6,145.6,287.0,147.6,76.3,5.4,5.6
61.9,22.5,201.9,181.5,165.4,13.6,12.2
391.7,378.2,81.2,110.9,61.7,3.1,3.2
266.4,233.1,195.6,115.8,55.0,1.8,2.5
445.1,405.5,96.7,128.5,52.6,3.2,3.4
51.9,15.6,496.0,204.2,41.8,3.1,6.0
388.7,387.4,149.9,87.9,60.0,2.2,2.6
417.3,421.1,61.0,80.3,62.4,2.9,2.7
51.2,15.2,358.7,133.1,46.7,2.0,4.5
48.2,16.0,159.6,149.5,71.9,6.8,10.7
435.4,432.8,25.1,74.2,194.0,5.8,4.9
461.7,407.1,178.9,172.5,53.4,2.7,2.7
39.0,13.2,191.1,239.2,173.1,22.2,41.9
49.4,21.2,456.1,155.0,116.3,1.3,5.9
312.4,279.4,86.2,89.2,62.4,2.7,3.3
611.0,556.2,31.1,94.8,50.5,2.5,2.1
105.9,40.9,404.7,177.5,36.1,2.4,3.3
322.2,254.6,293.2,205.2,46.4,2.1,4.2
109.2,46.7,281.7,201.5,61.5,5.3,6.1
536.9,533.7,4.7,56.0,266.7,6.0,2.9
60.7,19.7,460.8,134.6,40.4,1.0,2.8
672.6,669.1,16.4,59.2,39.1,1.0,0.7
755.5,647.1,21.9,173.1,65.8,2.8,2.2
551.6,524.6,67.1,91.4,66.3,2.7,2.2
356.7,306.6,152.9,162.3,57.8,5.1,8.5
490.0,449.5,64.0,123.4,63.2,3.5,4.0
169.9,86.7,281.7,204.7,39.6,2.2,3.2
450.5,379.4,172.7,175.4,48.6,2.4,3.4
139.8,58.2,321.4,207.6,42.2,3.3,5.0
304.3,264.9,83.8,138.6,50.2,2.7,3.1
54.4,18.9,360.1,157.8,70.8,4.6,8.0
287.7,234.7,345.6,161.9,37.8,1.3,4.1
521.5,496.9,26.8,85.7,63.9,3.5,4.0
333.1,301.3,187.1,103.1,49.9,1.6,2.3
570.6,540.3,37.0,78.2,49.5,1.9,4.1
364.8,331.7,170.9,97.4,50.7,1.9,2.3
85.8,25.0,455.8,190.8,43.6,3.4,4.5
443.7,446.9,29.6,68.4,156.5,3.4,2.9
512.8,472.5,92.5,117.4,54.6,2.4,2.1
495.2,447.5,89.1,146.1,57.8,2.7,2.5
384.1,383.8,82.4,83.4,86.4,3.7,4.2
69.5,16.5,431.7,201.0,41.6,1.5,3.7
217.9,204.4,305.2,121.5,51.8,2.0,3.5
681.3,616.0,58.2,146.7,58.2,2.5,1.8
473.8,447.1,83.3,123.0,51.1,2.3,1.8
78.0,17.6,189.5,224.1,29.0,2.3,3.7
51.4,17.8,376.5,152.7,36.1,1.3,4.5
645.7,579.2,10.9,103.0,66.8,5.0,5.4
480.9,448.9,65.5,99.7,46.9,2.7,2.5
166.9,115.4,109.1,175.8,172.9,16.1,29.9
166.0,165.8,184.3,111.9,125.1,3.8,6.7
316.7,276.9,150.2,107.8,51.7,2.0,2.5
87.7,27.6,177.1,119.2,208.7,7.9,8.2
545.3,530.8,32.0,66.6,45.5,2.2,1.9
461.3,431.9,109.1,111.8,55.2,2.3,1.9
729.2,660.7,62.2,119.4,52.3,1.0,1.2
411.3,425.3,14.3,59.0,71.9,3.7,2.7
538.4,525.1,57.8,82.3,62.0,2.3,1.9
37.7,13.4,299.5,184.0,165.5,10.0,15.1
546.5,492.3,80.2,133.1,55.4,2.6,2.4
167.0,103.7,215.3,120.4,55.3,1.5,2.1
43.7,13.6,241.1,204.1,129.5,11.9,19.5
162.1,103.0,236.9,177.0,72.6,6.8,8.4
44.8,12.8,493.0,189.7,44.8,2.6,5.5
444.1,420.2,44.7,83.5,219.1,9.0,11.0
466.6,469.8,69.6,86.2,63.6,2.6,1.6
507.5,478.9,67.7,92.9,55.0,1.4,4.3
123.5,69.8,175.0,132.3,208.6,8.2,10.8
84.7,26.6,363.8,184.0,67.7,5.4,7.4
95.8,33.2,558.1,180.0,25.7,1.4,1.8
63.4,21.0,466.2,147.5,45.4,1.4,3.9
480.1,490.2,28.1,65.7,180.5,4.7,3.0
565.9,503.2,62.2,133.7,57.2,1.9,2.5
676.7,618.6,9.4,80.6,44.8,3.5,4.4
393.3,348.6,183.7,169.4,52.4,4.5,3.2
73.8,23.2,382.9,128.0,45.4,1.3,2.7
409.7,333.8,180.8,200.6,50.3,3.3,4.2
208.4,170.1,119.6,156.3,161.2,11.5,23.2
553.6,524.8,66.7,102.4,48.3,2.5,1.8
469.8,463.6,44.4,73.2,153.8,4.5,4.1
58.7,13.5,398.2,253.8,42.6,3.1,6.2
157.0,111.9,113.7,157.1,168.7,15.9,37.4
169.1,119.2,400.3,150.5,45.7,2.4,4.2
631.2,587.0,53.4,106.7,50.3,2.1,2.5
389.9,372.8,81.3,103.2,51.7,3.1,4.1
312.5,253.8,227.8,176.7,41.1,3.2,5.8
400.6,398.1,36.8,74.0,206.2,7.2,5.9
405.9,355.5,141.6,141.9,52.8,2.6,2.9
465.0,471.8,60.9,62.5,64.6,2.4,2.0
122.3,52.4,170.2,180.9,73.6,7.5,9.8
584.7,515.3,58.8,139.2,60.2,1.2,1.6
49.5,16.7,437.5,199.6,62.3,4.5,6.9
651.4,603.2,60.0,103.5,63.3,2.7,2.6
120.8,60.8,391.2,171.1,60.2,3.8,4.5
540.2,514.3,64.1,95.5,66.7,3.0,2.4
53.3,14.4,248.1,171.2,77.0,6.9,15.9
82.2,16.4,418.3,266.5,36.8,2.6,5.0
507.7,488.5,72.2,102.2,58.6,2.4,2.1
669.7,624.6,55.4,95.6,61.7,2.5,1.9
320.1,274.1,301.5,144.6,46.7,2.4,3.2
41.6,15.2,473.5,213.1,37.5,1.5,4.5
521.0,492.5,43.4,83.5,48.2,1.8,2.1
40.6,11.5,485.9,207.6,33.4,2.1,3.4
73.7,22.6,211.5,205.1,138.7,13.0,19.5
271.6,181.3,390.9,220.4,38.7,1.6,3.6
39.8,10.9,452.1,146.7,64.1,3.0,3.6
863.7,790.6,6.1,89.3,52.0,1.3,1.4
40.8,11.4,355.1,139.2,51.3,2.2,3.5
185.2,70.1,264.3,213.9,46.4,3.6,5.7
