Glucose,Fructose,MalicAcid,TartaricAcid,Potassium,Magnesium,Calcium
344.1829,333.06775,72.356186,78.03253,178.80215,5.1860676,4.701761
417.76334,414.5746,28.257004,74.84264,224.50494,7.663783,6.2010336
520.4633,480.54022,13.545105,104.08006,109.574615,7.658252,8.586125
279.86398,239.53645,180.47313,133.12125,52.785202,2.81757,4.045946
204.23453,180.66144,135.63875,134.87717,196.00555,12.464675,11.454758
643.63043,607.6686,44.7213,71.69061,83.23144,3.7284617,2.0748153
78.69417,35.347748,204.40219,182.66118,139.85973,11.844392,28.488256
340.4193,257.32535,241.38376,207.07896,52.442764,1.7724167,3.0044556
233.94318,168.20226,237.64777,239.36223,41.141747,7.6563616,8.516101
114.60405,75.66855,260.88287,184.46703,64.27341,5.815366,18.81106
265.59106,243.15538,69.98284,100.504654,121.07005,7.536298,10.167777
410.41696,389.6241,35.799072,112.69352,197.0155,11.474568,12.642482
394.06882,363.0091,141.32767,163.44266,140.86772,13.2853,15.930761
318.08472,264.03638,142.67413,137.42676,50.28515,3.6349409,5.1181297
373.8919,332.56168,19.484238,79.69719,72.51865,6.968359,12.000607
383.20816,357.1701,67.66719,97.02531,164.81429,7.63328,5.89682
436.1639,425.19995,76.18023,79.59127,56.66384,1.7863655,1.6474652
264.2309,273.9806,108.60361,51.700844,62.28858,1.6814777,1.6142743
87.96037,90.591354,284.89496,130.27303,187.97516,3.9215918,4.4687176
17.545532,-20.57605,248.91153,238.29103,172.91367,17.074116,32.44523
177.97162,134.3818,365.55615,186.32718,49.20099,3.1146555,4.5532384
106.499344,62.75554,183.4851,232.04712,169.01945,19.29839,55.259224
122.63556,94.4332,82.19104,107.17154,102.72471,6.5649934,11.019522
305.25848,301.76135,58.358955,73.25166,192.47603,6.7686076,7.325247
603.7337,576.6767,38.89914,72.30794,47.22058,2.1058135,2.489214
538.035,529.1129,7.092514,72.66669,134.1357,6.047288,5.1285944
96.476685,65.70772,225.70529,146.26297,157.63553,8.3144,21.965143
97.48276,51.61499,339.17908,184.63133,42.644897,3.0417624,5.9524927
227.92233,199.94017,99.7207,113.24738,129.90709,8.185419,15.366148
111.63118,51.358414,359.22534,192.27208,41.685966,1.2542021,3.3751276
438.25653,401.81906,104.81851,126.14211,57.82121,2.00575,2.737898
95.417816,67.0134,176.51048,113.01227,136.51456,6.331268,12.260809
121.01297,90.03163,170.49596,162.71736,138.00208,11.585573,20.56369
76.187225,53.009964,206.12091,163.8577,181.54272,11.457345,23.260817
480.42657,465.87018,17.27156,85.223236,219.35103,9.915556,7.914833
399.56766,345.53333,154.59085,145.73975,56.503067,2.356101,2.6498005
162.72713,148.15324,168.85194,153.70183,199.30557,12.321695,21.357615
220.67282,192.8303,161.2378,110.71373,49.352345,2.0316994,3.710414
386.8949,392.4631,73.05957,69.95886,223.45212,5.7091327,2.6758423
732.6657,673.2645,43.059334,81.41269,52.78089,3.2978475,2.6136112
313.99405,308.24155,55.60829,57.934685,202.30466,5.0001116,3.5755587
463.37674,391.86237,25.624039,133.84605,99.87215,10.390354,24.41723
366.19147,314.97937,79.82822,151.88232,50.282394,4.5233126,5.8575506
83.04245,33.667755,442.56738,219.14014,40.787487,2.513639,10.89273
399.4673,385.56415,32.127625,67.285706,88.88171,3.6522613,3.7486253
523.02814,490.69305,50.9076,104.513275,56.90235,2.8056202,2.8264086
335.6084,341.01813,145.4713,77.79726,179.52783,4.5996137,3.3926473
23.520844,20.659485,436.81055,169.10468,168.38809,6.937662,12.422418
241.65338,228.10342,87.98177,92.7048,194.51973,9.664861,9.548956
152.40045,127.382416,390.8064,208.77815,92.77814,8.688381,6.0658464
64.535736,17.049377,279.30267,183.71848,93.84162,5.9185,9.051901
75.94702,43.746567,156.04219,192.49261,117.32333,10.62376,22.722965
431.1878,363.36865,144.79272,157.12372,53.35099,2.160676,2.7146413
67.789734,18.337463,449.851,250.80344,42.66116,3.905424,6.1521187
396.92233,391.74548,128.22928,89.06082,78.023155,2.637385,3.9585414
494.63678,472.00388,15.918381,87.43264,185.97984,8.05603,6.761012
668.1548,612.71387,45.525085,124.61224,60.055164,3.7317717,3.5980575
30.071991,-11.191315,274.2951,182.76675,162.16953,9.510761,13.429005
586.9289,546.2868,24.586136,78.1403,100.999535,8.506005,10.109344
85.133484,40.674255,516.21716,254.5028,34.86412,2.8086746,4.864779
74.16098,23.677979,457.0758,246.18532,41.547768,3.0452447,5.30608
312.58847,284.62274,23.217575,78.11982,84.46598,7.1335845,13.430828
495.9676,425.86734,148.80598,170.08896,51.880737,2.7332401,2.8577802
159.96835,170.85257,394.0099,115.36422,131.74684,2.8752754,3.2413301
64.03223,45.117783,404.3376,155.48462,81.33686,4.3420014,8.18223
307.9405,283.1106,79.66882,119.35422,175.15512,10.500167,13.494858
111.69656,48.289276,355.48776,231.55066,40.505913,3.5651739,5.8539753
587.53033,536.1834,101.46106,125.56817,58.074112,3.6096158,2.2296047
293.7035,302.63605,38.73996,51.741463,124.14771,3.1641111,3.2907517
642.2593,608.7411,50.621536,90.097305,61.87739,2.6358473,2.4980304
107.694565,74.06357,229.97443,218.08388,37.85543,4.6216908,6.4821086
150.06555,124.75354,193.89227,130.46394,166.42581,8.685195,11.204952
671.91455,629.7632,38.268692,94.27476,73.47259,4.5135527,4.099245
84.74255,64.65056,457.41217,208.61383,109.52806,7.837914,6.3926353
97.71823,43.134354,294.71942,232.21701,40.825848,3.9568763,7.1455255
111.330185,60.311905,226.17363,229.36493,38.038483,3.8358877,6.066634
497.72375,446.71643,122.30187,151.04353,57.67377,3.392953,3.599361
337.7452,271.7291,134.70804,160.28514,54.730965,2.9496114,3.7474556
536.3388,508.7589,15.539627,98.81828,116.409164,6.039366,7.6007648
425.0008,407.69846,10.458954,95.8564,182.07133,9.53406,13.459433
262.52582,229.78537,315.28998,186.12624,56.086338,4.437171,3.8905187
558.6164,541.0775,-24.902267,88.569885,227.46481,9.931185,10.433853
79.26248,16.374268,208.50665,182.45036,103.3599,8.066236,36.219414
269.47488,188.20645,199.405,173.43045,56.122375,4.0862956,9.519625
621.3932,563.9816,92.2943,97.050095,97.78084,5.7520556,2.387015
338.3144,337.88614,46.42044,36.06166,116.223816,5.99199,4.6971126
558.0221,515.9739,-19.894424,93.509834,131.3839,8.2601185,16.48172
31.026794,-8.787018,234.73889,184.24867,140.12636,7.615542,14.484692
317.73553,289.84418,47.31983,41.971947,73.84813,7.716243,9.145533
82.39322,32.819794,235.00296,167.16016,130.94345,8.924761,28.599205
391.7779,346.85205,26.3181,133.91696,172.01294,14.077392,25.84598
348.96866,366.7501,21.716553,44.772026,173.99596,4.053049,2.5607476
367.39883,375.33267,64.19173,61.61004,123.79283,2.9228637,2.2397122
315.29007,275.56982,82.23203,104.92508,102.18602,5.645099,6.1388006
547.84625,491.19507,76.07825,141.27141,52.450806,2.9787455,2.9956663
174.70084,151.37419,267.95953,83.12808,55.722565,0.8051467,1.812191
82.20924,32.926056,376.92044,197.60335,40.63598,1.8861108,4.0792313
162.75461,118.962265,220.27666,172.35492,55.96672,5.240314,11.547396
412.79144,327.72656,143.3381,202.99956,64.48241,5.5763316,9.589093
387.30453,354.3784,30.17781,104.52396,158.43341,10.913036,15.823145
376.8534,381.98795,39.302826,65.65901,209.4375,6.4862413,4.483149
18.852997,-3.2164001,370.88416,169.34221,173.81958,5.5283155,9.103563
121.52063,88.632416,355.586,142.20078,56.28826,2.1672776,4.2039266
54.273804,21.572845,251.92484,151.81534,177.68146,9.316349,12.944555
254.92644,206.57343,234.42725,109.546844,51.057503,1.8081175,2.5476005
511.19513,453.11926,121.720146,130.59833,86.72823,7.725511,4.934636
238.1167,191.29987,267.199,127.542465,51.20777,2.0466104,3.3062766
378.70404,368.16547,46.476807,56.309174,168.89844,7.9082766,6.3596582
281.1201,265.85748,28.442017,69.851715,135.76164,7.3165483,8.649819
480.49884,438.8761,72.70792,131.03815,63.475777,5.325519,5.098704
396.43506,356.58136,123.67775,129.87167,40.645824,5.4090815,10.47727
163.3679,120.66354,193.88704,191.21075,88.40643,8.746535,19.701412
736.67004,674.7711,35.34192,100.06426,73.72745,5.444862,4.19114
56.01886,18.895538,182.95857,181.33972,119.78551,9.316309,18.52157
347.1656,286.22192,240.26562,166.791,48.962387,2.0221124,3.060855
210.34074,162.9886,340.58585,199.63861,48.4041,3.708286,5.211114
339.30884,327.1293,99.231026,73.835846,155.1795,4.3933916,4.8589087
305.32755,232.78412,230.56754,205.1142,55.04798,4.172322,8.1786995
468.34167,428.13794,85.775276,126.274765,60.625824,3.1393728,2.7971616
163.79462,129.07547,224.5613,145.99353,119.92455,7.406234,9.259594
106.933136,90.280014,344.50366,143.76553,126.15622,5.933843,8.264596
519.65594,449.12024,121.1303,167.10558,51.5051,2.889611,2.695113
419.263,366.27655,101.398895,141.17375,95.50245,8.890545,7.7919755
362.42944,342.86246,33.589645,41.977783,68.78118,5.730175,5.9421606
675.04535,622.6715,70.03763,163.99242,69.094955,5.739998,9.578995
446.10773,432.9522,49.70732,83.519104,249.83626,10.555872,5.9770117
29.596832,-5.9331055,330.14868,219.06381,137.50598,11.187102,28.954435
318.33173,282.14413,275.1693,168.96075,61.535816,4.600989,4.540162
256.68008,267.3304,39.489594,34.898544,128.01866,4.1473246,3.9685597
355.93842,352.90762,13.880585,50.335564,119.02858,4.7867994,4.8634834
450.2223,423.24103,34.91162,89.169586,172.89252,7.9280753,6.9039707
554.8971,517.0796,64.225395,124.634766,56.63031,4.181834,4.8242664
197.72397,141.66237,275.0052,166.53766,44.62629,2.2144113,3.848267
