Engine,Feature,KS Statistic,P-Value
Structural Monte Carlo,VitaminC,0.09014285714285714,0.7468889855146935
Structural Monte Carlo,TA,0.09042857142857144,0.7434843186472729
Structural Monte Carlo,SSC,0.101,0.6142032761233356
Mcmc,VitaminC,0.12542857142857156,0.3446678379657156
Mcmc,TA,0.11142857142857143,0.49008295137249774
Mcmc,SSC,0.07699999999999999,0.8868419951532065
Regression,VitaminC,0.1305714285714286,0.2990842029106167
Regression,TA,0.13942857142857143,0.23086179653884684
Regression,SSC,0.1061428571428571,0.5518626414528915
Variational Autoencoder,VitaminC,0.12071428571428566,0.39025143388073236
Variational Autoencoder,TA,0.15742857142857142,0.12913081910535815
Variational Autoencoder,SSC,0.132,0.2872175292043704
Physics-Informed VAE,VitaminC,0.11542857142857155,0.445573579345137
Physics-Informed VAE,TA,0.09842857142857142,0.6458612740189714
Physics-Informed VAE,SSC,0.088,0.772072655369036
