VitaminC,TA,SSC
22.96,432.1,14.827
36.375,490.1449,19.47
26.391,625.6,13.24
43.0085,447.236,8.695
73.18549,754.514,10.84
38.52,655.521,25.507
30.987,526.794,14.61
32.1931,604.87,25.254
53.531,346.849,8.825
50.3255,545.0449,21.924
52.364,505.7765,8.32
40.375,685.827,18.312
53.33333,320.1,20.56
46.44279,698.235,16.447
37.5583,714.5,14.425
43.6971,429.208,17.42
57.7986,494.5555,19.9
70.2785,528.1099,14.99
23.0614,422.6739,14.425
42.4001,655.521,13.0
34.207,183.4,16.14
43.6971,186.5524,21.95
33.3884,342.8858,15.987
42.3144,452.9449,8.965
40.375,949.1667,12.154
41.114,648.236,21.237
44.9391,490.1449,17.42
50.71856,178.6667,21.2
55.10417,366.324,18.0974
38.4167,515.6,9.23
38.1133,697.892,14.95
57.08333,576.364,16.625
67.1712,429.208,15.465
44.1717,617.3739,19.034
57.7986,643.942,16.26
48.23,294.1,19.594
38.52,732.806,13.11
20.51,663.414,15.82
38.1,420.714,8.825
50.71856,317.3739,17.42
44.1085,714.5,14.425
39.874,532.8,14.42
73.18549,420.014,18.214
32.1931,321.4,17.87
51.5065,621.5739,10.36
33.21305,461.09,18.594
20.805,429.208,18.214
23.4881,360.104,10.84
28.967,650.662,13.384
69.46215,515.6,10.13
50.3255,342.8858,11.907
57.08333,111.6667,13.09
50.71856,528.1099,14.054
71.3438,491.436,10.007
36.375,418.3739,12.154
66.9035,371.78,19.594
21.07,526.794,18.87
42.86,609.371,15.465
23.195,538.6,15.28
71.3438,683.114,10.68
42.4001,480.1,16.43
57.08333,480.1,18.87
56.0611,674.5,15.347
18.4874,422.6739,14.33
69.46215,452.9449,19.9
30.72,581.36,15.347
56.875,233.114,17.434
51.741,346.3951,10.47
49.17485,515.6,10.13
34.207,321.4,19.354
32.146,420.014,13.95
41.02,643.942,17.52
51.5065,308.9445,12.85
37.37718,331.321,18.0974
40.9557,651.9449,14.42
69.46215,656.1449,8.695
55.7637,185.9,14.61
37.65692,592.136,10.68
36.7671,432.1,25.507
33.21305,515.6,17.494
44.325,353.961,13.0
30.965,191.1991,12.4374
42.94437,422.4,8.695
58.3936,511.75,19.354
25.34,584.912,18.87
35.1991,631.014,17.434
70.3466,366.324,17.75
71.3438,412.06,17.494
21.07,611.578,14.417
63.841,592.136,13.24
18.925,599.6819,16.447
28.62967,510.4739,19.03
42.6873,654.1942,17.494
66.9035,439.614,10.31
34.5694,705.826,21.91
39.785,655.521,17.537
31.71,644.3,19.9
40.7743,366.324,17.434
46.9741,294.1,17.75
23.0614,545.0449,17.447
44.325,617.3739,21.111
43.8683,374.254,19.034
44.351,376.3858,22.04
22.597,683.114,18.67
60.381,201.321,12.95
23.0614,652.81,18.94
20.51,301.5,14.0074
38.52,648.236,14.33
38.264,683.114,15.465
38.1,674.1,13.24
63.841,432.1,13.384
28.0621,452.9449,16.43
57.29167,374.254,10.007
62.096,346.849,15.21
39.5308,625.6,11.982
50.71856,515.6,23.384
44.9391,156.7747,16.447
43.87225,674.1,18.78
46.241,697.892,14.95
36.95,610.4445,21.91
22.96,492.036,14.95
37.65692,690.092,16.625
28.93,621.4,14.21
59.9083,376.3858,16.42
55.7637,710.4739,11.295
37.65692,376.3858,19.034
36.7671,167.9413,16.897
51.741,365.892,8.825
44.1717,491.336,14.335
22.96,464.366,16.447
53.531,252.1,14.054
62.30433,346.849,14.99
51.741,690.092,10.31
57.029,420.714,16.564
44.351,321.4,14.335
33.21305,576.364,16.625
30.987,331.321,19.044
54.1613,197.121,18.214
37.6771,346.849,16.564
33.3884,611.578,21.237
45.8884,399.208,10.007
23.0614,458.985,21.924
43.6971,197.121,18.0974
20.51,399.208,10.84
38.4167,663.414,25.507
62.51267,375.332,10.31
34.5694,464.366,16.897
35.0193,643.942,11.534
71.3438,871.0,8.32
21.07,488.5819,19.354
62.30433,342.74,18.0974
50.71856,191.1991,16.43
23.195,480.1,17.625
36.375,391.31,14.28
70.2785,610.4445,8.965
37.65692,366.324,19.044
55.10417,511.75,17.494
35.64,698.45,14.61
46.44279,190.1,16.42
32.99609,690.092,23.384
73.18549,825.836,9.435
20.805,510.4739,12.807
28.93,190.1,14.99
62.3081,734.736,10.31
63.841,610.4445,12.54
46.9741,652.81,21.924
21.4146,321.4,15.6174
57.7986,190.1,14.33
31.3534,578.682,12.4374
62.096,492.036,8.32
28.62967,549.249,21.2
36.95,871.0,15.28
42.4001,674.1,15.73
42.52,331.321,15.465
21.07,365.892,15.465
28.93,651.256,13.574
62.096,538.6,19.684
42.52,422.4,17.87
33.21305,532.8,16.897
58.55433,294.1,18.397
26.391,663.414,14.827
42.6873,949.1667,12.95
30.72,371.78,21.415
22.96,378.1,16.38
28.0621,346.3951,9.94
35.64,346.3951,21.924
65.0968,360.104,18.594
30.965,346.3951,21.2
38.4167,399.208,21.924
35.0193,252.1,9.225
44.1717,515.302,19.147
46.44279,301.5,21.415
31.585,308.9445,13.24
35.64,185.9,10.36
70.99602,539.44,12.85
23.195,515.94,14.054
42.0051,191.1991,15.347
67.1712,538.6,9.225
39.5933,447.236,21.95
40.375,621.4,22.66
22.95,353.032,19.147
38.4167,576.364,14.127
66.9035,399.208,19.684
42.952,652.1,13.384
21.4146,705.826,12.54
32.99609,581.36,13.705
42.52,705.826,21.2
41.3144,317.3739,12.807
42.94437,698.235,13.24
33.7034,452.9449,21.38
23.4881,458.985,10.13
21.4146,599.6819,14.85
52.364,825.836,12.95
26.391,412.06,19.47
57.29167,321.4,13.24
20.51,592.136,19.675
60.381,185.9,11.982
55.10417,609.371,9.435
57.29167,461.09,10.17
58.55433,621.4,17.625
54.1613,178.6667,18.594
38.52,650.662,17.447
40.7743,515.6,14.28
48.23,488.5819,19.147
39.785,378.1,18.594
43.87225,732.806,15.73
70.99602,650.662,17.447
29.985,420.014,22.04
38.1133,631.014,17.625
44.9391,328.42,15.6174
30.965,391.31,12.112
71.3438,494.5555,17.52
39.5308,651.9449,14.0074
33.7034,541.08,11.2074
20.815,621.4,13.917
32.99609,317.3739,15.6174
28.93,674.1,14.95
44.325,604.87,11.534
54.1613,186.5524,16.43
35.0193,671.255,12.4374
54.1613,576.364,10.84
56.875,505.7765,9.435
37.37718,441.932,21.38
41.3144,185.9,15.82
42.6873,183.4,17.42
38.37037,186.5524,12.154
42.52,418.3739,17.75
24.08667,301.5,14.28
42.23092,658.536,18.78
18.4874,331.7,21.38
43.0085,191.1991,16.26
22.95,346.849,17.52
41.114,412.06,21.05
40.375,185.9,14.85
46.44279,697.892,11.2074
46.9741,541.08,21.91
38.1133,690.092,23.384
44.325,949.1667,13.705
50.3255,186.5524,14.33
18.925,418.3739,17.75
40.375,625.6,10.68
24.11,374.254,13.705
37.6771,621.5739,11.2074
25.34,505.7765,11.982
57.029,233.114,16.38
39.5933,458.985,25.254
42.3144,599.6819,22.46
51.5065,541.08,19.675
36.7671,533.062,10.68
55.7637,825.836,10.68
42.3144,371.78,14.28
35.1991,167.9413,18.0974
41.114,663.414,18.94
41.114,714.5,14.42
67.1712,651.9449,8.825
44.1048,754.514,21.38
30.987,122.8333,8.965
43.0085,167.9413,14.28
35.0193,702.336,15.38
38.264,439.614,15.347
42.0051,167.9413,11.237
57.08333,455.5739,10.47
32.99609,366.324,22.66
32.99609,683.114,13.09
24.08667,365.892,21.2
53.451,625.6,16.304
54.1613,604.87,19.147
67.1712,491.336,9.23
29.72387,429.208,21.91
62.3081,511.75,18.312
43.87225,183.4,18.94
29.72387,625.6,14.95
35.955,491.336,25.507
37.65692,111.6667,10.21
19.51267,651.9449,14.827
43.0085,122.8333,16.38
36.7671,539.44,13.705
22.597,490.1449,18.0974
30.965,492.036,22.66
34.5694,585.931,21.237
55.10417,156.7747,15.987
52.364,375.332,23.285
70.2785,532.8,9.225
65.0968,391.31,19.96
48.23,532.8,11.907
44.1717,197.121,13.917
50.3255,651.9449,14.417
46.241,652.81,18.94
57.08333,342.74,12.807
51.5065,399.208,10.13
42.23092,652.81,19.684
42.52,702.336,19.96
41.3144,317.3739,10.17
38.4167,616.091,25.254
25.34,545.0449,21.95
28.967,545.0449,14.28
31.3534,652.1,18.594
22.96,585.931,12.95
58.3936,317.3739,14.99
34.5694,458.985,13.0
42.86,439.614,19.9
53.531,360.104,11.2074
28.93,439.614,15.28
32.99609,391.31,13.574
31.71,491.436,18.67
43.8683,156.7747,14.33
33.7034,685.827,17.87
44.325,342.8858,13.917
39.5933,331.7,16.625
25.34,538.6,12.807
65.0968,754.514,13.24
35.955,510.4739,22.66
18.925,399.208,16.14
56.875,122.8333,18.67
20.815,656.1449,21.415
38.4167,122.8333,18.594
43.0085,698.235,18.312
29.985,611.578,19.47
42.94437,754.514,13.09
67.1712,650.662,8.825
42.3144,610.4445,23.285
53.451,457.2449,10.13
39.785,644.3,17.447
62.30433,825.836,14.28
33.3884,491.436,15.987
23.0614,452.9449,21.924
33.7034,353.961,13.11
38.52,585.931,23.384
57.7986,581.36,8.825
20.815,585.931,16.625
58.3936,447.236,14.127
69.46215,439.614,16.14
18.4874,578.682,16.897
34.207,655.521,25.507
22.597,422.4,18.397
50.71856,233.114,14.95
18.4874,491.336,14.85
48.23,197.121,10.17
32.146,617.3739,18.94
28.967,441.932,19.89
27.98,611.578,17.52
29.72387,353.961,16.304
44.325,457.2449,12.112
49.17485,111.6667,15.347
20.815,651.256,25.254
18.327,375.332,14.425
48.23,122.8333,16.304
71.772,674.5,10.36
30.72,233.114,19.9
44.1048,399.208,16.43
32.1931,644.3,21.95
69.46215,353.961,14.99
37.5583,505.7765,14.417
39.5308,674.1,17.625
35.955,186.5524,17.537
32.1931,584.912,18.312
22.597,510.4739,17.447
38.264,714.5,10.13
44.9391,321.4,14.425
44.1048,652.81,14.335
66.9035,604.87,14.21
56.875,490.1449,15.38
45.8884,599.6819,10.47
70.99602,375.332,13.384
33.3884,190.1,18.87
42.3144,320.1,10.21
70.2785,871.0,10.21
23.4881,652.1,25.254
34.5694,365.892,21.237
18.4874,549.249,12.54
56.0611,526.794,16.304
49.17485,447.236,14.61
42.0051,949.1667,13.574
51.741,474.14,18.594
24.08667,399.208,13.574
69.46215,458.985,19.594
70.99602,432.1,14.335
38.1133,320.1,17.494
57.29167,488.5819,21.111
31.585,365.892,12.95
34.207,654.1942,15.38
57.029,825.836,9.94
29.985,621.5739,16.564
55.7637,191.1991,16.38
19.51267,576.364,16.447
57.7986,418.3739,20.56
46.9741,422.4,19.96
42.52,871.0,14.33
71.772,734.736,9.94
70.99602,457.2449,16.42
71.772,671.255,9.94
51.741,342.74,15.6174
45.8884,650.662,10.13
42.94437,317.3739,12.112
70.3466,674.5,10.68
42.86,651.9449,10.47
39.5933,652.1,19.03
66.9035,452.9449,16.26
37.5583,648.236,16.447
18.327,491.336,20.815
38.52,754.514,14.21
59.9083,422.4,14.28
18.4874,650.662,14.95
46.241,422.4,22.66
59.9083,515.94,10.21
32.146,412.06,14.33
56.97211,461.09,14.054
70.2785,399.208,19.03
44.325,342.8858,14.33
44.351,654.1942,13.52
22.96,458.985,15.987
23.4881,621.5739,14.33
24.11,584.912,16.71
38.1,328.42,10.84
53.531,252.1,19.675
60.381,420.714,22.46
41.114,576.364,20.815
59.9083,371.78,8.965
39.5308,697.892,18.78
45.8884,480.1,8.965
32.1931,353.032,12.4374
36.375,252.1,14.417
46.9741,533.062,14.33
44.1085,515.302,14.33
26.391,610.4445,15.21
31.3534,698.45,12.85
53.33333,375.332,8.32
45.8884,533.062,11.982
42.86,621.4,19.89
23.195,432.1,21.05
39.785,412.06,8.32
42.94437,533.062,10.36
42.6873,825.836,13.95
62.51267,492.036,17.494
39.785,235.892,13.09
42.4001,652.81,13.705
27.98,342.74,12.807
37.5583,515.94,17.87
35.64,621.5739,17.625
31.71,656.1449,13.574
35.955,541.08,18.67
44.1085,510.4739,23.285
42.6873,734.736,16.304
36.95,308.9445,13.0
24.11,492.036,14.0074
53.531,492.036,10.36
44.1085,491.336,14.95
41.114,732.806,12.154
63.841,457.2449,19.89
56.97211,452.9449,19.96
35.955,185.9,16.625
23.4881,331.7,21.05
44.9391,191.1991,14.0074
28.62967,422.4,12.807
38.1133,474.14,14.127
25.34,366.324,12.154
40.9557,156.7747,13.52
53.33333,342.8858,11.907
23.0614,538.6,12.54
40.9557,652.1,22.04
22.95,488.5819,16.14
37.6771,515.94,10.31
43.0085,734.736,11.2074
18.4874,671.255,17.75
73.18549,702.336,12.54
38.37037,365.892,12.154
42.23092,683.114,14.33
37.5583,317.3739,8.695
37.9481,375.332,22.04
42.0051,399.208,13.11
56.0611,658.536,13.917
56.0611,353.032,16.26
53.33333,308.9445,17.42
44.1717,754.514,14.33
27.98,178.6667,17.52
58.3936,515.302,15.82
24.08667,378.1,14.61
50.3255,178.6667,16.447
20.805,420.014,15.987
60.381,732.806,10.36
31.585,461.09,16.625
37.37718,422.6739,11.295
29.985,492.036,12.154
22.597,511.75,14.28
37.9481,710.4739,14.054
34.5694,474.14,22.66
36.375,399.208,9.435
38.37037,167.9413,11.295
58.55433,592.136,18.397
43.0085,576.364,8.825
27.98,674.5,14.28
38.1,494.5555,16.14
71.3438,494.5555,20.56
38.264,617.3739,17.87
22.95,422.6739,19.89
62.30433,378.1,14.33
49.17485,464.366,18.397
43.6971,185.9,13.705
35.1991,581.36,17.42
55.7637,156.7747,15.347
19.51267,545.0449,14.335
28.967,342.74,11.237
50.3255,604.87,18.67
70.99602,656.1449,12.54
55.10417,111.6667,14.587
35.1991,643.942,22.46
23.4881,353.961,16.447
56.97211,584.912,14.61
36.7671,611.578,18.594
29.985,328.42,21.91
18.327,648.236,14.85
23.195,328.42,17.625
37.5583,328.42,9.435
39.5308,825.836,19.675
39.5933,353.032,25.507
20.805,533.062,19.47
60.381,233.114,19.354
46.241,197.121,21.95
41.3144,651.9449,21.91
24.11,422.4,13.384
31.3534,651.256,25.254
35.64,360.104,10.84
40.7743,631.014,22.04
44.1048,644.3,19.03
57.7986,190.1,16.71
33.21305,698.45,16.564
59.9083,625.6,11.534
42.94437,447.236,9.225
34.207,698.45,12.112
26.391,515.6,18.87
57.29167,342.8858,18.78
22.597,511.75,14.587
18.925,378.1,19.044
44.1717,294.1,14.587
51.5065,690.092,21.38
40.7743,609.371,9.94
28.0621,584.912,13.917
28.967,474.14,15.21
41.02,376.3858,9.225
27.98,611.578,15.28
37.5583,526.794,21.237
44.9391,656.1449,19.147
28.93,674.1,21.05
56.875,353.961,14.33
36.95,515.94,19.9
53.451,631.014,19.034
35.64,167.9413,13.95
21.4146,346.3951,19.594
38.52,648.236,15.347
46.44279,197.121,16.447
22.95,549.249,16.897
29.72387,320.1,16.71
43.6971,156.7747,11.295
31.71,604.87,14.587
45.8884,320.1,14.61
57.08333,616.091,16.897
23.0614,452.9449,13.09
20.805,432.1,21.2
20.805,690.092,14.33
43.8683,122.8333,16.447
42.23092,685.827,11.2074
31.585,365.892,14.95
24.08667,581.36,14.95
40.9557,111.6667,15.38
42.23092,294.1,16.447
51.5065,252.1,11.907
26.391,621.4,14.95
24.08667,494.5555,14.127
60.381,420.714,18.0974
30.72,526.794,16.38
56.97211,474.14,10.47
62.3081,578.682,8.32
49.17485,308.9445,19.684
23.195,308.9445,10.17
22.597,353.961,21.38
34.5694,714.5,14.827
33.3884,685.827,13.917
23.195,610.4445,25.507
27.98,698.45,18.397
21.4146,652.81,14.827
62.096,949.1667,14.127
40.375,111.6667,14.21
37.6771,331.7,18.78
40.9557,190.1,23.285
56.875,458.985,12.54
38.37037,616.091,18.594
56.0611,494.5555,15.6174
32.146,581.36,17.434
70.2785,732.806,10.17
33.7034,235.892,9.23
43.8683,674.5,17.75
50.71856,549.249,22.66
30.987,663.414,16.43
37.37718,183.4,14.417
70.3466,422.6739,14.95
37.9481,461.09,10.47
58.3936,474.14,11.534
30.987,710.4739,14.587
40.9557,201.321,19.034
42.952,420.014,23.384
53.451,331.321,14.827
40.9557,621.4,9.225
22.96,621.4,15.28
38.1133,671.255,17.447
39.5933,702.336,14.61
58.3936,674.5,15.28
38.1133,734.736,14.335
58.3936,183.4,10.007
31.585,441.932,10.007
42.0051,156.7747,14.33
43.87225,346.849,20.815
65.0968,185.9,13.0
56.875,252.1,13.11
70.3466,252.1,13.0
42.23092,585.931,21.111
39.874,644.3,14.99
29.72387,656.1449,14.99
44.1717,374.254,19.47
30.965,585.931,16.897
21.07,510.4739,14.587
53.33333,233.114,14.417
70.2785,515.302,16.71
41.02,658.536,25.254
20.815,655.521,16.26
51.741,616.091,14.425
31.3534,671.255,11.237
34.207,655.521,19.044
18.327,549.249,16.304
32.146,376.3858,21.111
35.955,480.1,13.11
35.64,643.942,22.46
52.364,366.324,22.04
51.5065,235.892,9.435
59.9083,539.44,17.75
37.9481,321.4,10.31
44.1048,480.1,16.564
42.52,375.332,9.23
28.0621,464.366,17.494
57.029,371.78,10.31
51.741,541.08,19.594
26.391,353.032,21.415
42.86,576.364,23.285
44.351,399.208,16.43
32.146,420.714,22.46
53.33333,702.336,11.982
56.97211,651.256,15.465
53.451,705.826,9.94
30.72,617.3739,10.68
38.37037,643.942,21.2
53.531,301.5,14.054
20.815,461.09,20.56
20.805,353.032,19.675
40.7743,655.521,10.47
62.51267,526.794,16.447
62.30433,365.892,14.587
67.1712,391.31,15.465
20.51,374.254,21.95
37.65692,599.6819,18.214
71.3438,511.75,14.827
31.71,491.436,13.0
43.87225,532.8,16.897
21.07,533.062,16.564
20.51,515.94,17.87
42.4001,621.5739,21.95
31.71,464.366,22.04
49.17485,581.36,19.96
20.815,643.942,21.05
57.08333,455.5739,9.435
39.874,515.94,17.537
24.11,331.7,8.965
37.5583,492.036,18.214
29.985,654.1942,11.907
58.3936,674.5,11.2074
58.55433,353.032,12.54
19.51267,376.3858,10.21
65.0968,420.014,14.28
37.37718,480.1,17.447
39.874,455.5739,21.95
44.1717,515.302,23.285
24.08667,549.249,13.11
54.1613,308.9445,13.09
19.51267,526.794,16.42
52.364,658.536,17.75
33.21305,201.321,19.47
39.5308,698.45,11.534
20.805,457.2449,19.47
38.37037,301.5,13.574
66.9035,494.5555,11.534
51.741,710.4739,19.044
43.6971,374.254,9.23
22.95,663.414,15.6174
42.6873,391.31,16.43
58.55433,235.892,13.95
60.381,464.366,10.31
42.952,294.1,16.447
30.987,455.5739,20.815
31.71,418.3739,18.214
23.195,366.324,14.42
56.0611,156.7747,13.24
35.0193,186.5524,11.295
18.327,545.0449,25.507
20.51,698.235,14.33
35.1991,651.9449,17.625
56.97211,183.4,17.52
46.44279,331.321,19.354
28.62967,447.236,17.434
53.33333,621.5739,19.147
40.375,655.521,12.112
41.3144,422.6739,9.23
62.096,412.06,19.03
62.30433,301.5,18.0974
70.3466,617.3739,16.42
29.72387,631.014,14.95
33.7034,439.614,14.425
62.3081,488.5819,8.825
38.264,609.371,16.38
54.1613,609.371,19.147
44.351,320.1,19.354
34.5694,346.3951,19.034
39.785,474.14,21.05
39.874,197.121,16.564
21.4146,510.4739,11.982
24.08667,625.6,16.26
49.17485,541.08,19.594
33.3884,191.1991,14.28
42.6873,625.6,16.564
54.1613,376.3858,11.295
44.1048,549.249,15.82
41.02,683.114,18.67
42.952,464.366,14.827
18.925,441.932,19.675
59.9083,652.1,14.21
29.985,611.578,19.9
55.7637,376.3858,20.56
31.3534,511.75,19.89
62.30433,490.1449,9.23
39.785,671.255,17.87
24.11,515.94,14.054
70.2785,734.736,10.17
46.241,490.1449,10.21
28.62967,491.436,11.907
62.3081,578.682,16.71
30.72,631.014,21.415
37.65692,871.0,15.82
22.95,331.7,21.91
37.6771,599.6819,16.71
38.4167,616.091,18.94
42.952,702.336,12.112
43.87225,732.806,12.807
62.3081,674.1,14.42
18.925,617.3739,15.21
44.1048,584.912,18.67
30.987,346.3951,12.85
56.0611,491.436,14.054
39.874,429.208,14.95
56.97211,201.321,15.38
33.3884,643.942,17.42
38.1,441.932,10.13
25.34,399.208,21.111
40.7743,294.1,17.494
40.375,167.9413,13.384
69.46215,331.321,13.917
18.327,511.75,17.434
30.72,609.371,19.96
40.7743,656.1449,23.285
65.0968,371.78,18.87
43.87225,178.6667,18.312
52.364,197.121,15.28
62.51267,346.849,14.33
62.51267,235.892,14.99
45.8884,714.5,18.214
59.9083,644.3,8.695
28.967,690.092,14.335
27.98,697.892,14.42
41.114,320.1,9.23
37.6771,441.932,14.28
42.86,651.256,14.42
28.62967,578.682,21.05
23.0614,610.4445,14.0074
35.955,697.892,21.237
55.7637,528.1099,19.594
39.874,505.7765,20.815
55.10417,674.5,19.675
50.3255,167.9413,19.034
24.11,331.7,12.95
28.93,412.06,21.237
19.51267,422.6739,16.625
71.772,599.6819,19.684
58.55433,458.985,21.05
50.71856,714.5,11.534
30.72,418.3739,10.36
53.531,233.114,15.28
70.3466,505.7765,17.625
58.55433,698.235,9.435
57.029,532.8,13.11
46.44279,378.1,14.85
41.02,658.536,12.112
36.95,871.0,14.28
44.351,420.014,11.982
42.0051,391.31,18.594
62.096,360.104,13.09
31.3534,690.092,16.38
27.98,360.104,19.03
37.6771,528.1099,19.044
37.37718,235.892,12.4374
37.9481,178.6667,18.397
31.71,420.714,14.127
57.29167,610.4445,13.52
41.3144,533.062,19.89
37.9481,412.06,15.987
42.952,732.806,18.594
35.64,301.5,14.21
42.52,464.366,20.815
52.364,631.014,10.17
57.29167,585.931,13.52
55.7637,658.536,13.52
63.841,611.578,10.007
29.985,346.3951,15.987
41.3144,201.321,19.684
39.5308,528.1099,13.95
50.3255,371.78,13.705
42.4001,488.5819,8.695
42.3144,949.1667,13.09
31.585,418.3739,14.85
24.11,658.536,14.21
25.34,584.912,17.537
57.029,604.87,13.11
70.3466,331.321,16.304
38.52,671.255,19.96
42.3144,539.44,12.4374
28.0621,651.256,13.95
18.327,480.1,21.415
32.99609,578.682,16.304
28.0621,505.7765,18.78
39.5308,698.235,18.594
30.965,654.1942,12.4374
70.99602,652.1,8.965
32.146,658.536,12.85
35.0193,585.931,23.384
28.967,455.5739,13.52
60.381,652.1,10.007
44.9391,515.302,9.94
34.207,331.7,11.907
31.585,949.1667,14.335
28.967,371.78,21.415
62.096,539.44,22.04
62.3081,490.1449,8.32
34.207,457.2449,11.237
48.23,549.249,16.14
67.1712,490.1449,15.465
38.264,871.0,13.52
42.952,342.74,15.73
38.37037,654.1942,15.21
44.325,399.208,23.285
62.3081,491.436,17.42
18.925,455.5739,19.96
42.0051,698.235,20.56
46.241,539.44,22.46
31.3534,328.42,18.87
37.37718,654.1942,11.237
63.841,663.414,11.295
36.7671,353.032,19.354
73.18549,539.44,18.594
55.10417,342.8858,21.38
56.0611,317.3739,16.26
43.8683,201.321,13.384
42.3144,663.414,20.56
23.4881,420.714,15.38
44.1085,190.1,19.594
35.1991,734.736,14.28
65.0968,533.062,21.111
32.1931,648.236,16.71
36.375,474.14,15.82
20.815,528.1099,19.034
38.1,648.236,15.82
41.02,651.256,16.447
32.1931,650.662,18.78
57.029,617.3739,19.89
46.9741,183.4,12.4374
62.30433,754.514,16.447
46.9741,683.114,16.42
71.772,650.662,14.127
35.1991,825.836,14.33
62.51267,697.892,11.982
43.6971,235.892,18.67
36.95,328.42,9.225
69.46215,418.3739,10.68
71.3438,491.336,13.574
73.18549,702.336,10.17
67.1712,539.44,14.95
40.9557,671.255,20.815
37.9481,685.827,15.73
37.9481,754.514,17.434
42.4001,422.6739,19.044
33.7034,702.336,12.85
57.7986,301.5,19.89
22.597,374.254,12.95
21.4146,447.236,14.33
19.51267,631.014,14.33
71.772,592.136,18.397
65.0968,541.08,11.534
46.9741,441.932,17.447
53.531,705.826,13.95
44.351,510.4739,20.815
36.375,683.114,18.312
36.375,648.236,16.42
42.94437,710.4739,15.73
42.4001,191.1991,12.112
22.95,710.4739,14.33
62.51267,233.114,14.28
57.29167,685.827,16.26
44.1085,515.302,18.94
28.62967,399.208,13.574
21.07,488.5819,17.52
46.241,710.4739,11.237
38.264,122.8333,19.03
36.7671,705.826,17.537
48.23,599.6819,11.295
28.93,378.1,11.237
41.02,528.1099,21.91
42.94437,342.8858,14.127
42.23092,732.806,13.52
28.0621,321.4,19.675
33.21305,455.5739,22.46
37.65692,710.4739,23.384
53.451,581.36,14.95
42.86,584.912,10.36
44.351,494.5555,18.594
48.23,616.091,15.6174
32.1931,294.1,14.425
35.1991,705.826,18.594
44.1048,654.1942,15.38
45.8884,432.1,21.415
46.241,538.6,8.965
19.51267,491.336,19.9
52.364,353.961,15.73
43.6971,320.1,10.21
36.7671,331.321,21.111
53.451,604.87,16.14
38.37037,429.208,14.0074
73.18549,461.09,18.397
56.97211,439.614,21.2
57.7986,178.6667,18.214
26.391,697.892,15.21
30.965,439.614,14.42
38.1,685.827,18.87
43.8683,111.6667,15.347
29.72387,186.5524,8.32
35.0193,201.321,19.354
41.02,342.74,9.94
43.0085,186.5524,12.95
36.95,432.1,13.95
53.33333,949.1667,11.237
57.029,235.892,15.6174
33.3884,545.0449,12.85
43.87225,541.08,22.46
44.1085,698.45,21.237
38.264,698.45,17.537
28.0621,526.794,19.684
30.987,447.236,12.85
39.874,111.6667,15.73
39.5933,429.208,10.84
18.925,515.6,18.312
43.8683,644.3,17.52
39.5933,538.6,23.384
41.3144,616.091,15.21
70.99602,457.2449,15.987
21.07,532.8,19.147
42.0051,714.5,14.417
42.86,420.714,21.924
32.146,592.136,15.82
18.327,457.2449,10.84
71.772,592.136,13.917
66.9035,609.371,17.537
36.95,360.104,14.0074
33.21305,183.4,18.78
38.1,532.8,19.03
63.841,391.31,16.38
73.18549,578.682,8.695
63.841,375.332,14.85
