VitaminC,TA,SSC
70.077034,802.89246,15.683848
55.34089,784.99133,16.191017
45.560383,639.9612,21.106297
26.00491,433.9988,11.09987
38.07507,325.6305,25.975082
22.125055,500.09503,11.651202
52.37211,232.15176,17.288624
35.893997,670.77356,16.623306
23.797672,331.90356,21.405151
44.728683,753.29553,13.028462
65.29585,500.73785,20.64336
47.150345,508.32382,20.289675
40.445908,316.2036,20.555428
45.600723,182.42593,16.347816
49.020382,367.92456,18.365438
43.89021,591.8842,24.246029
42.583065,180.65216,15.575922
51.813538,79.609924,17.878546
20.498585,322.2745,9.536121
44.849396,265.8983,20.629667
39.39826,658.50616,21.867382
29.160393,395.2085,14.624757
23.423138,498.51712,18.192402
36.041977,703.092,14.712422
51.25997,587.47864,11.259319
55.1657,349.18103,9.420491
37.540524,364.78754,20.945862
65.6884,586.69763,23.949116
22.659405,501.9746,17.178827
62.493637,320.35925,21.747866
58.259464,379.6548,13.274002
24.319195,585.6749,15.80628
33.285942,599.48,16.707739
45.720505,773.75037,12.63311
52.433746,649.50415,16.40055
40.625725,719.49976,10.727058
45.662464,307.89697,20.745537
32.858192,355.87115,18.869835
41.00956,705.3414,17.565182
58.13499,465.79907,11.654146
26.184946,659.5431,12.500437
58.839867,566.9527,19.676882
50.87621,176.69043,22.608528
16.117083,475.17935,14.848351
35.751694,623.3467,22.01784
48.659412,145.38016,20.498869
61.52516,326.4652,18.059692
55.7196,86.81024,12.966667
13.838299,535.0001,18.683084
19.147337,363.20926,12.093992
51.46911,546.66724,12.148702
34.445244,334.7851,12.900208
75.09019,803.35034,10.402277
43.307655,868.1318,18.488806
66.91787,512.2301,18.213518
68.396545,904.03723,13.448086
39.960266,611.5097,17.295143
42.559193,551.28314,25.302778
30.922836,621.6997,20.418661
53.86904,840.1669,12.500396
40.21228,722.62134,22.158188
55.91365,139.9096,12.703259
46.87514,750.7689,9.856812
67.99432,750.30804,10.696394
55.824,104.753876,8.490343
69.967705,663.16284,12.994783
30.854942,431.02985,20.973679
43.72485,770.9758,15.650936
17.347239,232.06534,7.79731
41.809456,876.3683,13.070975
37.269318,199.64212,16.397127
49.710896,240.56229,16.719166
