Engine,Feature,KS Statistic,P-Value
Structural Monte Carlo,SSC,0.15333333333333332,0.0008080949874907297
Structural Monte Carlo,Malic,0.1666923076923077,0.0001958185686379016
Structural Monte Carlo,Citric,0.2093076923076923,9.499860492630874e-07
Structural Monte Carlo,Glutamic,0.09479487179487178,0.09899324940101596
Structural Monte Carlo,Fructose,0.17238461538461536,0.00010320132238135039
Structural Monte Carlo,Glucose,0.1671538461538461,0.00018606069106410637
Mcmc,SSC,0.026897435897435873,0.9995510467885242
Mcmc,Malic,0.09220512820512822,0.1161956982026805
Mcmc,Citric,0.06607692307692309,0.4523961921227262
Mcmc,Glutamic,0.08071794871794873,0.22409238406028548
Mcmc,Fructose,0.07038461538461538,0.37417343934568514
Mcmc,Glucose,0.07376923076923081,0.3190609882550918
Regression,SSC,0.1303333333333333,0.007011624891541546
Regression,Malic,0.14169230769230767,0.0025208816912356143
Regression,Citric,0.18330769230769228,2.840001410953647e-05
Regression,Glutamic,0.05571794871794872,0.667440655313149
Regression,Fructose,0.12266666666666659,0.013322418103309735
Regression,Glucose,0.11715384615384616,0.020633617064460975
Variational Autoencoder,SSC,0.1977948717948717,4.527242196569745e-06
Variational Autoencoder,Malic,0.3113333333333333,1.6227853866899957e-14
Variational Autoencoder,Citric,0.28830769230769226,1.7577360085024147e-12
Variational Autoencoder,Glutamic,0.14700000000000002,0.0015175923984020307
Variational Autoencoder,Fructose,0.20264102564102565,2.3723907476145456e-06
Variational Autoencoder,Glucose,0.19215384615384612,9.412939351942694e-06
Physics-Informed VAE,SSC,0.09379487179487178,0.1053681201092226
Physics-Informed VAE,Malic,0.09341025641025635,0.10790994158330162
Physics-Informed VAE,Citric,0.0793076923076923,0.24141423932793676
Physics-Informed VAE,Glutamic,0.06471794871794873,0.4788003694380581
Physics-Informed VAE,Fructose,0.11676923076923085,0.02125714378552411
Physics-Informed VAE,Glucose,0.10976923076923084,0.035923837151013646
