SSC,Malic,Citric,Glutamic,Fructose,Glucose
4.6489906,1.8548329,3.99157,0.6390734,16.10845,13.406413
4.2973166,1.978488,7.988888,2.2854266,16.345835,13.447935
4.36481,0.7562588,3.1369798,1.291651,12.194397,11.193391
6.6766963,1.7062502,5.7378654,4.459209,26.168587,23.82626
5.4745393,0.92696965,5.8819323,2.6978455,19.735504,17.830173
3.34207,2.0964336,3.4345922,1.6126552,8.857982,7.2687516
5.234267,0.8319347,5.9813027,2.352182,12.299145,12.993038
5.0821943,1.9059706,4.1188955,0.9680162,17.462397,15.770569
3.9423738,1.486022,3.7305665,1.9079149,9.73336,8.709623
4.9897,2.4509022,7.1752024,2.6289215,23.46487,21.99673
4.297718,2.7288861,6.933264,2.679078,21.162386,19.967337
4.5748954,1.0669525,4.291618,0.87878567,20.10433,18.137125
4.3023176,1.4113226,3.2134771,1.62046,17.113285,15.717737
5.489663,0.8963281,5.6436543,1.2796867,13.165178,14.283816
4.8209443,1.762825,2.9961085,0.5080658,15.177071,13.288309
4.249782,1.830981,6.37447,2.562531,20.627106,18.901781
4.481774,0.59512675,2.54985,0.74867564,10.077642,10.726353
5.04482,1.8034399,6.0943966,1.0249848,17.877523,15.797397
5.133038,2.4127078,11.274061,2.251803,17.46278,14.571247
5.498472,3.4690766,3.295089,0.21758735,14.0442295,12.050661
6.1379876,2.3702698,7.3407135,1.9963793,22.326998,20.767189
3.7197108,1.4361223,3.9318638,0.9843506,8.061314,6.6482835
5.794614,1.3400393,10.138103,2.1924157,20.515856,17.412766
5.230043,1.3872011,8.885631,0.54473114,26.604204,22.20031
4.683427,0.79120135,5.494326,1.5742296,12.442587,11.984302
4.663022,1.1617146,6.4867454,0.77039593,13.34986,11.805436
4.040463,1.1563457,7.2679415,0.68383145,14.191875,10.34063
4.655666,1.7715285,3.8257437,0.783963,15.353155,13.547876
4.448855,0.666279,2.853258,0.9894984,9.103122,9.794154
5.0176234,1.7751648,5.673646,2.084649,14.163141,12.797414
5.344509,2.301733,9.180005,0.6264809,12.711433,11.836416
2.82061,1.976517,5.4529634,1.6018689,12.327422,11.144262
5.138519,1.5667087,3.4731207,0.70272225,18.84062,17.593374
4.116093,1.0710425,3.9620605,1.9986155,16.014507,14.287725
5.029294,2.0024824,8.725036,3.1496747,24.10815,21.167429
4.789091,0.94671077,5.0623956,2.4483106,10.47324,10.7385
5.5337105,1.5060676,3.3979084,1.3442875,17.2647,16.760296
6.1196365,1.1997373,8.028237,1.0340949,24.510784,22.471195
4.2361026,1.3992469,3.112413,1.7548543,16.451439,15.008928
5.8148785,1.3459164,8.017165,1.0208144,15.286466,15.605276
3.979403,1.2951128,5.376191,2.2528884,13.355818,11.55082
4.1229386,1.089231,3.0973482,1.2337792,13.332602,12.227677
4.2487836,1.5491498,4.173873,0.9171137,16.030313,14.50834
4.0494475,1.1360252,4.750078,1.6024804,12.52436,11.086006
5.604538,0.9818511,4.1791053,3.0256073,14.8841505,13.064849
6.77088,2.4937017,5.168042,2.0358224,24.068237,22.559048
4.9186726,1.0457623,8.248434,1.0526593,16.93427,13.925711
5.3468046,1.1848218,7.5696363,1.1257615,20.78268,18.571434
4.7635756,2.6615582,9.656653,3.0768483,18.52598,15.814694
5.266472,1.6881729,4.3377743,0.66591656,17.439775,16.24774
4.6814485,1.3251449,2.896869,0.90655047,13.797919,13.325637
4.7295685,1.3520055,5.5050883,1.929538,21.412775,19.512392
4.386615,1.1943597,3.7772014,1.8259289,11.559746,10.801216
4.5961,1.3428577,4.691031,2.8966744,12.173487,10.947418
